#
# Linsky & Wood 1996 Alpha Centauri B
# Hubble Space Telescope HRS UV spectra
# Extracted from the HST Archive (MAST), dataset z2mp010dt
#
# lam - wavelength in Angstroms, range: ~1212.3 to 1218.8A
# flam - flux in relative F-lambda (erg/s/cm^2/A)
#
lam               flam
1.21285840E+03    -8.11579928E-04
1.21286169E+03     4.68949461E-03
1.21286499E+03    -5.09506464E-03
1.21286829E+03     1.03011576E-03
1.21287146E+03     1.01806363E-03
1.21287476E+03    -3.86455003E-03
1.21287805E+03     2.84811109E-03
1.21288135E+03     2.85501801E-03
1.21288464E+03    -1.42075191E-03
1.21288794E+03    -4.48886119E-03
1.21289111E+03    -2.04523699E-03
1.21289441E+03    -2.04376504E-03
1.21289771E+03    -2.09996258E-04
1.21290100E+03    -3.86670022E-03
1.21290430E+03    -1.42269267E-03
1.21290759E+03    -3.86802503E-03
1.21291077E+03    -2.05025019E-04
1.21291406E+03    -5.08435210E-03
1.21291736E+03     1.01341028E-03
1.21292065E+03    -3.86499777E-03
1.21292395E+03     1.01413683E-03
1.21292725E+03     4.01504425E-04
1.21293042E+03    -2.03800062E-03
1.21293372E+03     2.83744978E-03
1.21293701E+03    -5.08285128E-03
1.21294031E+03    -8.20205431E-04
1.21294360E+03    -5.08314231E-03
1.21294690E+03     3.99439188E-04
1.21295007E+03    -2.03473470E-03
1.21295337E+03    -1.42435043E-03
1.21295667E+03     2.23134062E-03
1.21295996E+03    -2.07688805E-04
1.21296326E+03     3.98151373E-04
1.21296643E+03    -3.86351161E-03
1.21296973E+03    -1.42663682E-03
1.21297302E+03     4.02070029E-04
1.21297632E+03    -1.42357301E-03
1.21297961E+03     1.00879127E-03
1.21298291E+03     1.00675493E-03
1.21298608E+03    -1.42804463E-03
1.21298938E+03    -1.42466999E-03
1.21299268E+03    -2.03228835E-03
1.21299597E+03    -5.68030914E-03
1.21299927E+03    -2.08710422E-04
1.21300256E+03    -2.03863368E-03
1.21300574E+03    -4.46552085E-03
1.21300903E+03    -1.42375915E-03
1.21301233E+03    -5.06881578E-03
1.21301562E+03     1.00485689E-03
1.21301892E+03     3.43670230E-03
1.21302209E+03    -3.24627175E-03
1.21302539E+03    -2.03234074E-03
1.21302869E+03    -1.41989533E-03
1.21303198E+03    -2.02667550E-03
1.21303528E+03    -2.63581611E-03
1.21303857E+03     1.61648192E-03
1.21304175E+03    -5.66936936E-03
1.21304504E+03     2.82475725E-03
1.21304834E+03    -3.84384673E-03
1.21305164E+03    -2.63202749E-03
1.21305493E+03    -2.01998255E-03
1.21305811E+03     1.01527420E-03
1.21306140E+03     2.82779499E-03
1.21306470E+03     1.00668904E-03
1.21306799E+03    -1.99876362E-04
1.21307129E+03    -3.23509565E-03
1.21307446E+03     1.62377500E-03
1.21307776E+03     1.62197766E-03
1.21308105E+03    -2.62781465E-03
1.21308435E+03    -3.84012377E-03
1.21308765E+03    -2.01835996E-03
1.21309094E+03     3.43636493E-03
1.21309412E+03    -5.04972693E-03
1.21309741E+03    -1.41428690E-03
1.21310071E+03    -8.09508550E-04
1.21310400E+03    -1.41108583E-03
1.21310730E+03     4.05046681E-04
1.21311047E+03    -2.62047211E-03
1.21311377E+03     4.12372465E-04
1.21311707E+03    -4.43414878E-03
1.21312036E+03     4.04525490E-04
1.21312366E+03    -1.41113868E-03
1.21312683E+03    -3.83438682E-03
1.21313013E+03    -3.22564202E-03
1.21313342E+03    -4.43102792E-03
1.21313672E+03    -4.42899950E-03
1.21314001E+03    -2.61480594E-03
1.21314319E+03     1.01705082E-03
1.21314648E+03    -1.97486850E-04
1.21314978E+03    -8.01192713E-04
1.21315308E+03    -2.61551677E-03
1.21315637E+03    -8.01089744E-04
1.21315955E+03    -2.04825876E-04
1.21316284E+03     4.08997788E-04
1.21316614E+03     4.03749465E-04
1.21316943E+03     5.84404822E-03
1.21317273E+03     1.01698074E-03
1.21317590E+03    -1.40277075E-03
1.21317920E+03    -1.99912669E-04
1.21318250E+03     2.20930320E-03
1.21318579E+03    -2.05599354E-04
1.21318909E+03    -2.01924937E-03
1.21319226E+03     4.07939660E-04
1.21319556E+03    -2.00849585E-03
1.21319885E+03    -4.41893609E-03
1.21320215E+03    -1.40220206E-03
1.21320532E+03    -2.00106832E-03
1.21320862E+03    -2.00718013E-03
1.21321191E+03     2.22595665E-03
1.21321521E+03    -8.01569666E-04
1.21321851E+03    -3.81960603E-03
1.21322168E+03    -1.40390382E-03
1.21322498E+03    -2.60886247E-03
1.21322827E+03     3.97878001E-04
1.21323157E+03    -3.21597932E-03
1.21323486E+03    -1.94841195E-04
1.21323804E+03     1.61063182E-03
1.21324133E+03    -7.99401547E-04
1.21324463E+03     4.62898239E-03
1.21324792E+03    -2.60496140E-03
1.21325122E+03    -7.99637812E-04
1.21325439E+03     3.42240930E-03
1.21325769E+03    -5.01222955E-03
1.21326099E+03    -1.40301697E-03
1.21326428E+03    -2.60406150E-03
1.21326746E+03     3.40801757E-03
1.21327075E+03     1.61083404E-03
1.21327405E+03    -3.80297261E-03
1.21327734E+03     1.61470682E-03
1.21328064E+03    -3.80593492E-03
1.21328381E+03    -7.98350316E-04
1.21328711E+03    -2.00760760E-03
1.21329041E+03    -2.60749436E-03
1.21329370E+03     4.60017426E-03
1.21329688E+03     1.00198330E-03
1.21330017E+03    -2.60594627E-03
1.21330347E+03     3.38787236E-03
1.21330676E+03    -3.21349548E-03
1.21331006E+03    -2.06512239E-04
1.21331323E+03     9.91395325E-04
1.21331653E+03    -2.08384707E-04
1.21331982E+03     2.20184564E-03
1.21332312E+03    -1.40767032E-03
1.21332629E+03    -4.40348452E-03
1.21332959E+03     4.59961453E-03
1.21333289E+03    -2.00278033E-03
1.21333618E+03    -2.00851425E-03
1.21333948E+03     2.19253334E-03
1.21334265E+03     3.97000666E-04
1.21334595E+03     3.99610261E-03
1.21334924E+03     1.59722497E-03
1.21335254E+03    -3.20284907E-03
1.21335571E+03     9.95098148E-04
1.21335901E+03     3.39554739E-03
1.21336230E+03     4.58201813E-03
1.21336560E+03     3.38282366E-03
1.21336877E+03     1.58602081E-03
1.21337207E+03    -3.20072705E-03
1.21337537E+03    -2.60000769E-03
1.21337866E+03    -2.06648168E-04
1.21338196E+03     5.18361945E-03
1.21338513E+03    -2.05524761E-04
1.21338843E+03    -1.99919776E-03
1.21339172E+03     3.92477465E-04
1.21339502E+03     9.90361907E-04
1.21339819E+03     2.18965998E-03
1.21340149E+03    -2.00037699E-04
1.21340479E+03     2.79437029E-03
1.21340808E+03    -2.00382038E-03
1.21341125E+03    -8.01510352E-04
1.21341455E+03     6.97776256E-03
1.21341785E+03     2.19603698E-03
1.21342114E+03    -1.99982221E-03
1.21342432E+03     1.58025359E-03
1.21342761E+03     1.58128527E-03
1.21343091E+03     9.91340028E-04
1.21343420E+03     9.88960965E-04
1.21343738E+03    -3.19625577E-03
1.21344067E+03     8.74521118E-03
1.21344397E+03    -2.05570046E-04
1.21344727E+03     2.18207017E-03
1.21345044E+03    -7.96376669E-04
1.21345374E+03    -1.41143659E-03
1.21345703E+03    -2.04974072E-04
1.21346033E+03     3.92809743E-04
1.21346362E+03     3.38222645E-03
1.21346680E+03    -1.39530911E-03
1.21347009E+03     5.15850028E-03
1.21347339E+03     9.83475009E-04
1.21347668E+03     2.17293669E-03
1.21347986E+03     3.81237827E-04
1.21348315E+03     2.17895722E-03
1.21348645E+03     2.17402587E-03
1.21348975E+03     9.74844676E-04
1.21349292E+03    -1.99849857E-03
1.21349622E+03     3.90914443E-04
1.21349951E+03     2.17734184E-03
1.21350281E+03     3.36021255E-03
1.21350598E+03    -8.12819868E-04
1.21350928E+03     2.16303160E-03
1.21351257E+03     2.16696830E-03
1.21351587E+03    -8.14696483E-04
1.21351904E+03    -7.99384725E-04
1.21352234E+03     2.77255941E-03
1.21352563E+03     2.77217827E-03
1.21352893E+03     3.91313224E-04
1.21353210E+03    -1.39083248E-03
1.21353540E+03     2.77860928E-03
1.21353870E+03     9.95403738E-04
1.21354187E+03    -1.39485288E-03
1.21354517E+03     4.56048222E-03
1.21354846E+03     3.38051585E-03
