#
# Linsky & Wood 1996 Alpha Centauri A
# Hubble Space Telescope HRS UV spectra
# Extracted from the HST Archive (MAST), dataset z2mp010dt
#
# lam - wavelength in Angstroms, range: ~1212.3 to 1218.8A
# flam - flux in relative F-lambda (erg/s/cm^2/A)
#
lam               flam
1.21285742E+03    -3.61009594E-03
1.21286072E+03     6.79706805E-04
1.21286389E+03     5.02986554E-03
1.21286719E+03     2.84064934E-03
1.21287048E+03    -7.90478569E-03
1.21287378E+03     1.14135388E-02
1.21287708E+03     2.84933741E-03
1.21288037E+03    -5.77793503E-03
1.21288354E+03     7.33114313E-04
1.21288684E+03     9.25082713E-03
1.21289014E+03    -7.90442061E-03
1.21289343E+03    -7.91264791E-03
1.21289673E+03    -5.71957603E-03
1.21290002E+03    -1.00432336E-02
1.21290320E+03    -7.89961405E-03
1.21290649E+03    -5.75240282E-03
1.21290979E+03    -7.89861009E-03
1.21291309E+03    -5.75035252E-03
1.21291638E+03     4.96405456E-03
1.21291968E+03    -1.46675622E-03
1.21292285E+03     7.02839578E-04
1.21292615E+03    -1.00353584E-02
1.21292944E+03    -3.61616956E-03
1.21293274E+03    -3.61188082E-03
1.21293604E+03    -5.74636646E-03
1.21293933E+03    -1.00355269E-02
1.21294250E+03    -1.00305993E-02
1.21294580E+03     7.08891125E-03
1.21294910E+03     6.76697236E-04
1.21295239E+03     6.59674522E-04
1.21295569E+03    -1.44528691E-03
1.21295886E+03     2.80123367E-03
1.21296216E+03    -3.57762375E-03
1.21296545E+03     1.57394558E-02
1.21296875E+03    -1.21488282E-02
1.21297205E+03    -1.00152269E-02
1.21297534E+03     2.83592590E-03
1.21297852E+03    -5.69480518E-03
1.21298181E+03    -1.44356501E-03
1.21298511E+03     2.81404727E-03
1.21298840E+03     2.83647818E-03
1.21299170E+03    -5.70498826E-03
1.21299500E+03    -1.00018596E-02
1.21299817E+03     6.61295839E-04
1.21300146E+03     7.09533319E-03
1.21300476E+03     2.63177585E-02
1.21300806E+03     4.94195474E-03
1.21301135E+03    -1.00059621E-02
1.21301453E+03    -3.59506044E-03
1.21301782E+03     6.99691940E-04
1.21302112E+03    -1.46611023E-03
1.21302441E+03    -1.42616527E-02
1.21302771E+03    -1.42563712E-02
1.21303101E+03     6.83915918E-04
1.21303418E+03    -3.56633565E-03
1.21303748E+03    -9.99485329E-03
1.21304077E+03    -1.44065381E-03
1.21304407E+03     2.81879609E-03
1.21304736E+03     7.32541783E-04
1.21305054E+03    -1.43921422E-03
1.21305383E+03    -3.58153041E-03
1.21305713E+03    -7.83929788E-03
1.21306042E+03    -5.71094267E-03
1.21306372E+03    -1.21011147E-02
1.21306689E+03    -1.44321308E-03
1.21307019E+03     9.24093742E-03
1.21307349E+03    -7.83811416E-03
1.21307678E+03    -1.42313242E-02
1.21308008E+03    -7.83419143E-03
1.21308325E+03    -1.42158801E-02
1.21308655E+03    -3.57078062E-03
1.21308984E+03     2.82375072E-03
1.21309314E+03    -7.83124100E-03
1.21309644E+03     1.13630192E-02
1.21309961E+03    -3.57003417E-03
1.21310291E+03    -3.57396086E-03
1.21310620E+03    -1.40777277E-03
1.21310950E+03     7.30738975E-04
1.21311279E+03     6.96100818E-04
1.21311597E+03    -5.69233531E-03
1.21311926E+03     2.81500607E-03
1.21312256E+03    -5.69032831E-03
1.21312585E+03     2.84376345E-03
1.21312915E+03    -7.80884316E-03
1.21313232E+03     2.85687740E-03
1.21313562E+03    -9.94494651E-03
1.21313892E+03    -3.55183682E-03
1.21314221E+03    -7.80818705E-03
1.21314551E+03    -1.40149810E-03
1.21314868E+03    -7.79820327E-03
1.21315198E+03     4.98925429E-03
1.21315527E+03     2.81310035E-03
1.21315857E+03     2.79913633E-03
1.21316187E+03     4.93422104E-03
1.21316504E+03     1.13395024E-02
1.21316833E+03    -5.68404654E-03
1.21317163E+03     7.04617531E-04
1.21317493E+03     7.07435887E-04
1.21317822E+03     7.09821470E-03
1.21318140E+03     9.16054938E-03
1.21318469E+03     2.79745227E-03
1.21318799E+03    -1.43455749E-03
1.21319128E+03    -7.78804207E-03
1.21319458E+03    -1.44741673E-03
1.21319775E+03     9.18079820E-03
1.21320105E+03    -3.53866699E-03
1.21320435E+03    -3.53696058E-03
1.21320764E+03     2.82134232E-03
1.21321094E+03    -3.55316582E-03
1.21321411E+03     6.81971724E-04
1.21321741E+03     7.08470237E-04
1.21322070E+03     1.33801280E-02
1.21322400E+03     7.07673654E-03
1.21322717E+03     9.17753205E-03
1.21323047E+03    -5.66347968E-03
1.21323376E+03    -5.67813031E-03
1.21323706E+03     6.81960722E-04
1.21324036E+03     7.06475752E-04
1.21324353E+03    -5.69447409E-03
1.21324683E+03    -3.55910975E-03
1.21325012E+03     9.14520025E-03
1.21325342E+03     7.09594635E-04
1.21325671E+03    -1.42092945E-03
1.21325989E+03    -3.54423514E-03
1.21326318E+03     2.82373675E-03
1.21326648E+03    -1.42541272E-03
1.21326978E+03     4.95354924E-03
1.21327295E+03    -9.89642553E-03
1.21327625E+03     4.91116103E-03
1.21327954E+03    -3.54847033E-03
1.21328284E+03     2.82541593E-03
1.21328613E+03     2.77169095E-03
1.21328931E+03     6.88719214E-04
1.21329260E+03     6.70002715E-04
1.21329590E+03    -3.52130923E-03
1.21329919E+03    -3.56027880E-03
1.21330237E+03     2.76635797E-03
1.21330566E+03    -5.67441620E-03
1.21330896E+03     1.54759008E-02
1.21331226E+03     9.09599848E-03
1.21331555E+03    -1.43850013E-03
1.21331873E+03     6.76010095E-04
1.21332202E+03     4.88700811E-03
1.21332532E+03    -3.53639969E-03
1.21332861E+03    -7.76319252E-03
1.21333179E+03    -5.63466595E-03
1.21333508E+03     9.17481352E-03
1.21333838E+03    -7.76121626E-03
1.21334167E+03    -5.64474938E-03
1.21334485E+03     2.83823279E-03
1.21334814E+03     6.63877756E-04
1.21335144E+03    -3.54326377E-03
1.21335474E+03    -1.43408449E-03
1.21335803E+03     6.88665779E-04
1.21336121E+03    -1.82875041E-02
1.21336450E+03     6.97508920E-03
1.21336780E+03     4.85807937E-03
1.21337109E+03    -3.54166469E-03
1.21337427E+03     4.87139728E-03
1.21337756E+03    -1.43452187E-03
