READ SERR 1 2
@0761100101/analysis/pnspec_err.pco
!
0.332783997 2.61998177E-3 -1.73741353 1
0.338023007 2.61901319E-3 -2.80780387 1
0.3432585 2.61649489E-3 -1.21535587 1
0.34849 2.61500478E-3 -1.00246656 1
0.353717983 2.61299312E-3 1.41466594 1
0.358942509 2.61150301E-3 -1.17321432 1
0.364163518 2.60950625E-3 0.21761696 1
0.369380504 2.60749459E-3 -1.24208486 1
0.374593496 2.60549784E-3 -0.859975338 1
0.379803002 2.60400772E-3 -2.89243516E-2 1
0.385008514 2.60148942E-3 -0.957157612 1
0.390209973 2.59999931E-3 0.642033041 1
0.395408005 2.59801745E-3 -0.125520572 1
0.40060252 2.59649754E-3 1.38274705 1
0.405793011 2.59399414E-3 -0.299833506 1
0.410979509 2.59248912E-3 -1.02253866 1
0.416162014 2.59001553E-3 -1.27261317 1
0.421340495 2.58848071E-3 0.152701244 1
0.42651549 2.58651376E-3 -1.14987028 1
0.431686521 2.5845021E-3 4.04147916E-2 1
0.436853528 2.58250535E-3 -0.291339368 1
0.442016482 2.58047879E-3 2.02241731 1
0.44717598 2.57901847E-3 0.716649771 1
0.452331483 2.57648528E-3 1.22313321 1
0.457482994 2.57501006E-3 0.286959618 1
0.46263051 2.57250667E-3 0.938725829 1
0.467774004 2.57098675E-3 1.78593171 1
0.47291398 2.56900489E-3 -9.65484157E-2 1
0.478049994 2.56700814E-3 -1.12558126 1
0.485745013 5.12798131E-3 -0.596402526 1
0.493433982 2.56100297E-3 -1.41243184 1
0.498554498 2.55951285E-3 1.60990691 1
0.50367099 2.55697966E-3 0.346278369 1
0.50878346 2.55551934E-3 2.43013477 1
0.513891995 2.55298615E-3 -0.885011613 1
0.518996477 2.55149603E-3 -1.46161056 1
0.524097443 2.54949927E-3 -1.80635345 1
0.529194951 2.54800916E-3 0.181839943 1
0.534288526 2.54550576E-3 -0.866922915 1
0.539377987 2.54398584E-3 0.389867485 1
0.544463992 2.54201889E-3 -1.75781238 1
0.549546003 2.53999233E-3 0.377269477 1
0.554623961 2.53799558E-3 0.331963539 1
0.559698462 2.53650546E-3 0.96267575 1
0.564769506 2.53450871E-3 1.13212788 1
0.569836497 2.53251195E-3 1.36812246 1
0.574899554 2.53048539E-3 1.95532143 1
0.579959035 2.52899528E-3 1.57472134 1
0.585014999 2.52699852E-3 0.934470475 1
0.590067506 2.5255084E-3 2.16499114 1
0.595116496 2.52351165E-3 2.96210098 1
0.600161552 2.52148509E-3 2.52892399 1
0.605203032 2.51999497E-3 0.643124938 1
0.610240996 2.51799822E-3 2.48303962 1
0.615275502 2.5165081E-3 1.40581489 1
0.620307028 2.51501799E-3 -0.398302555 1
0.625334501 2.51245499E-3 -0.805740178 1
0.630358458 2.51153111E-3 -1.56715143 1
0.635379493 2.50947475E-3 -1.16789794 1
0.640396476 2.5075078E-3 -0.328491449 1
0.645410478 2.50649452E-3 0.463559836 1
0.6504215 2.50452757E-3 -0.102681495 1
0.655428529 2.50250101E-3 0.373390585 1
0.660432518 2.50148773E-3 0.76199913 1
0.667931497 4.99749184E-3 -0.132629529 1
0.675425529 2.49651074E-3 0.593593597 1
0.680416524 2.49451399E-3 1.62443924 1
0.687896013 4.98497486E-3 0.527085841 1
0.697860003 4.9790144E-3 -0.295185596 1
0.707811475 4.97248769E-3 1.46674478 1
0.717751026 4.96700406E-3 -0.283892334 1
0.727679491 4.96149063E-3 -1.04599655 1
0.737596512 4.95550036E-3 0.452982217 1
0.747501969 4.95001674E-3 -0.148004487 1
0.757396996 4.94498014E-3 -3.10526509E-2 1
0.767281532 4.93952632E-3 1.8278017 1
0.777155519 4.93448973E-3 -0.77172786 1
0.787019491 4.92948294E-3 0.911515176 1
0.796873987 4.92501259E-3 -0.429110646 1
0.806719542 4.92051244E-3 -0.458086789 1
0.8165555 4.91550565E-3 0.690952063 1
0.826382518 4.91148233E-3 -0.147892162 1
0.836201549 4.90751863E-3 -3.89462337E-2 1
0.846011996 4.90295887E-3 1.29647505 1
0.855814457 4.8995316E-3 1.65640914 1
0.868056059 7.34201074E-3 -2.05554087E-2 1
0.882732034 7.33396411E-3 -0.188344061 1
0.897392511 7.32651353E-3 -1.9028976 1
0.912038445 7.31948018E-3 9.81072187E-2 1
0.926671505 7.31351972E-3 -0.376601309 1
0.94372654 9.74151492E-3 -0.214300945 1
0.963199973 9.73197818E-3 0.30568257 1
0.985085487 1.21535063E-2 0.829085171 1
