READ SERR 1 2
@0790381401/analysis/pnspec_err.pco
!
0.332783997 2.61998177E-3 1.60803366 1
0.338023007 2.61901319E-3 -0.521006763 1
0.3432585 2.61649489E-3 -1.13561451 1
0.34849 2.61500478E-3 -0.178816006 1
0.353717983 2.61299312E-3 1.05936694 1
0.358942509 2.61150301E-3 -0.681692362 1
0.364163518 2.60950625E-3 -0.124230094 1
0.369380504 2.60749459E-3 0.132953689 1
0.374593496 2.60549784E-3 -0.327147663 1
0.379803002 2.60400772E-3 0.166910455 1
0.385008514 2.60148942E-3 1.18175757 1
0.390209973 2.59999931E-3 0.644631147 1
0.395408005 2.59801745E-3 8.02646652E-2 1
0.40060252 2.59649754E-3 -0.176103652 1
0.405793011 2.59399414E-3 2.96572924 1
0.41356951 5.18250465E-3 -1.05439317 1
0.423927009 5.17499447E-3 -0.35607484 1
0.431686521 2.5845021E-3 0.417272419 1
0.436853528 2.58250535E-3 0.281317145 1
0.442016482 2.58047879E-3 0.466456801 1
0.44717598 2.57901847E-3 0.178770155 1
0.454906523 5.15149534E-3 -5.22398986E-2 1
0.465201497 5.14349341E-3 -1.76940346 1
0.475481004 5.13601303E-3 0.247456506 1
0.485745013 5.12798131E-3 -5.68323322E-2 1
0.495993495 5.12051582E-3 -2.01272821 1
0.50367099 2.55697966E-3 0.842486084 1
0.50878346 2.55551934E-3 0.300902337 1
0.513891995 2.55298615E-3 -0.193005353 1
0.518996477 2.55149603E-3 -1.26343453E-2 1
0.524097443 2.54949927E-3 0.516928315 1
0.529194951 2.54800916E-3 0.426171601 1
0.534288526 2.54550576E-3 -2.41066527 1
0.539377987 2.54398584E-3 -0.992083848 1
0.544463992 2.54201889E-3 -1.99628055 1
0.549546003 2.53999233E-3 -0.839473486 1
0.554623961 2.53799558E-3 -0.470550597 1
0.559698462 2.53650546E-3 1.19466913 1
0.564769506 2.53450871E-3 0.122722924 1
0.569836497 2.53251195E-3 -0.148957655 1
0.574899554 2.53048539E-3 3.77834463 1
0.579959035 2.52899528E-3 0.576950252 1
0.585014999 2.52699852E-3 0.881507814 1
0.590067506 2.5255084E-3 0.919144273 1
0.595116496 2.52351165E-3 0.91405642 1
0.600161552 2.52148509E-3 2.37008953 1
0.605203032 2.51999497E-3 0.553589821 1
0.610240996 2.51799822E-3 0.884477615 1
0.615275502 2.5165081E-3 -1.25241327 1
0.620307028 2.51501799E-3 1.90025663 1
0.625334501 2.51245499E-3 0.28619355 1
0.630358458 2.51153111E-3 1.93663061 1
0.637887001 5.01698256E-3 -2.13572979 1
0.647915006 5.01102209E-3 -0.946947634 1
0.657930017 5.00398874E-3 -0.299253076 1
0.667931497 4.99749184E-3 -1.01080143 1
0.677919984 4.99102473E-3 -0.50642544 1
0.687896013 4.98497486E-3 0.734372079 1
0.697860003 4.9790144E-3 0.31266591 1
0.707811475 4.97248769E-3 7.97028989E-2 1
0.717751026 4.96700406E-3 -2.1003077 1
0.727679491 4.96149063E-3 -1.47127342 1
0.737596512 4.95550036E-3 0.210401595 1
0.747501969 4.95001674E-3 -1.19956875 1
0.757396996 4.94498014E-3 0.863915861 1
0.767281532 4.93952632E-3 1.70018804 1
0.777155519 4.93448973E-3 0.469705939 1
0.787019491 4.92948294E-3 -0.113517798 1
0.799334466 7.38549232E-3 -1.23487365 1
0.811638474 4.91851568E-3 0.563794613 1
0.821470499 4.91347909E-3 0.932687044 1
0.833746493 7.36254454E-3 -1.27299249 1
0.848461986 7.35297799E-3 0.486851901 1
0.863160014 7.34499097E-3 -0.447835594 1
0.877841473 7.33649731E-3 -0.574575901 1
0.892506957 7.32901692E-3 -0.196229711 1
