READ SERR 1 2
@0790380501/analysis/pnspec_err.pco
!
0.33801949 7.85548985E-3 1.17495573 1
0.353714496 7.8395009E-3 -0.772535741 1
0.369376481 7.82249868E-3 0.747397423 1
0.385004491 7.80549645E-3 -0.555963993 1
0.40319097 1.03809983E-2 -0.54349792 1
0.423921496 1.03495121E-2 -0.568310499 1
0.444589496 1.03184879E-2 -0.735858321 1
0.465195477 1.02875084E-2 -0.290104061 1
0.485738993 1.02559924E-2 0.634437561 1
0.506219983 1.0224998E-2 -0.929893553 1
0.524093986 7.64900446E-3 -0.150404155 1
0.539374471 7.6315105E-3 -0.789050579 1
0.554620504 7.61449337E-3 -6.79651648E-2 1
0.569832504 7.59750605E-3 1.31044447 1
0.585011482 7.5815022E-3 -0.201619804 1
0.600157976 7.56499171E-3 0.25426057 1
0.615272522 7.54952431E-3 0.80674088 1
0.632863045 1.00409687E-2 -0.862232804 1
0.652918994 1.00150108E-2 -0.588991165 1
0.672922492 9.98851657E-3 0.360570371 1
0.695361972 1.24509633E-2 1.43488371 1
0.720227003 1.24140084E-2 1.55850625 1
0.745019495 1.23785138E-2 1.0040946 1
0.769744039 1.23459995E-2 0.14375928 1
0.794404984 1.23149753E-2 1.33574784 1
0.819006979 1.22870207E-2 0.510075927 1
0.843554497 1.22604966E-2 0.719359875 1
0.868052006 1.22370124E-2 -0.60662055 1
0.892503977 1.22149885E-2 -8.81483126E-3 1
0.916914999 1.21960044E-2 -0.581771433 1
0.941289544 1.21785104E-2 0.494576782 1
0.965631485 1.21634901E-2 -0.785146177 1
0.989947498 1.2152493E-2 -0.940054595 1
1.01424003 1.21400356E-2 1.1776557 1
1.03851008 1.21299624E-2 7.04895481E-2 1
1.062765 1.21250153E-2 -0.353657126 1
1.08701003 1.21200085E-2 1.28015327 1
1.11125004 1.21200085E-2 1.12849057 1
1.137905 1.45349503E-2 -0.972405612 1
1.16456008 1.21200681E-2 1.18831146 1
1.18879509 1.21150017E-2 0.199607238 1
1.21303511 1.21249557E-2 0.631502032 1
1.23971009 1.45500302E-2 2.06378031 1
1.26882005 1.45599842E-2 -0.582891643 1
1.29795003 1.45699978E-2 1.94880331E-3 1
1.32954001 1.70199871E-2 -0.289265484 1
1.35872507 1.216501E-2 0.166413605 1
1.38306499 1.2174964E-2 0.55522722 1
1.40742493 1.21850371E-2 -1.60353851 1
1.43180501 1.21949911E-2 -1.2064147 1
1.45621002 1.22100115E-2 -1.36833787 1
1.48063993 1.22199655E-2 2.5113883 1
1.50509501 1.22349858E-2 0.263945103 1
1.52957487 1.22449994E-2 -0.678104103 1
1.554075 1.2255013E-2 0.912626266 1
1.57859993 1.22700334E-2 -0.211157769 1
1.61298501 2.21149921E-2 -0.247241586 1
1.65971494 2.46149898E-2 0.833880901 1
1.70898998 2.46599913E-2 1.17751002 1
1.75588 2.22300291E-2 2.49693918 1
1.80285001 2.47399807E-2 -8.25615898E-2 1
1.85236502 2.47750282E-2 0.922517002 1
1.90195 2.48099566E-2 -1.16728401 1
1.95159996 2.48399973E-2 2.01104403 1
2.00129986 2.48600245E-2 1.56001306 1
2.05104995 2.4889946E-2 1.45455539 1
2.10084486 2.49050856E-2 5.26134968E-2 1
2.15067005 2.49199867E-2 1.34000421 1
2.20053005 2.49400139E-2 0.380340725 1
2.25042009 2.49500275E-2 0.273601979 1
2.30282497 2.74549723E-2 0.263448179 1
2.36024499 2.99649239E-2 -1.45111096 1
2.41767979 2.74699926E-2 8.85787383E-2 1
2.47263002 2.74801254E-2 1.53054667 1
2.5300951 2.9984951E-2 -0.321680814 1
2.59257007 3.2490015E-2 -0.933941543 1
2.65505004 2.99899578E-2 0.872889459 1
2.72003508 3.49949598E-2 -2.32770324 1
2.790025 3.4995079E-2 -0.281822532 1
2.86251497 3.74950171E-2 -1.32540715 1
2.93751001 3.74999046E-2 -1.88612831 1
3.01250505 3.74950171E-2 -0.918502927 1
3.0875001 3.75000238E-2 -0.404904842 1
3.15499997 2.99999714E-2 0.850525558 1
3.22000003 3.50000858E-2 -0.550994456 1
3.29250002 3.74999046E-2 0.257463157 1
3.36500001 3.50000858E-2 0.831411421 1
3.43000007 2.99999714E-2 0.523490727 1
3.49499989 3.49999666E-2 -0.126069546 1
3.56750011 3.75000238E-2 -7.49823079E-2 1
3.64249992 3.75000238E-2 -1.14522636 1
3.71500015 3.49999666E-2 0.811902583 1
3.78999996 3.99999619E-2 -1.43453503 1
3.86749983 3.75000238E-2 0.339979619 1
3.94000006 3.49999666E-2 2.29723167 1
4.01499987 3.99999619E-2 0.141914681 1
4.09500027 4.00002003E-2 0.189367577 1
4.17500019 3.99999619E-2 0.144881174 1
4.25750017 4.25000191E-2 -1.96635163 1
4.3375001 3.74999046E-2 0.696925282 1
4.41499996 3.99999619E-2 -0.387227327 1
4.49250031 3.75001431E-2 -1.13591449E-2 1
4.56750011 3.74999046E-2 2.27147412 1
4.6500001 4.50000763E-2 -0.665388882 1
