#
# Ionization fraction vs T for C
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI v9 atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..VII = ionization stage of carbon
#
logT  I      II     III    IV     V      VI     VII    
4.73 0.0008 0.3174 0.6804 0.0014 0.0000 0.0000 0.0000 
4.74 0.0007 0.2931 0.7043 0.0019 0.0000 0.0000 0.0000 
4.75 0.0006 0.2702 0.7267 0.0025 0.0000 0.0000 0.0000 
4.76 0.0005 0.2487 0.7475 0.0033 0.0000 0.0000 0.0000 
4.77 0.0005 0.2286 0.7667 0.0042 0.0000 0.0000 0.0000 
4.78 0.0004 0.2100 0.7842 0.0054 0.0000 0.0000 0.0000 
4.79 0.0004 0.1926 0.8000 0.0069 0.0000 0.0000 0.0000 
4.80 0.0003 0.1766 0.8143 0.0088 0.0000 0.0000 0.0000 
4.81 0.0003 0.1617 0.8268 0.0111 0.0001 0.0000 0.0000 
4.82 0.0002 0.1480 0.8377 0.0140 0.0001 0.0000 0.0000 
4.83 0.0002 0.1353 0.8469 0.0174 0.0002 0.0000 0.0000 
4.84 0.0002 0.1236 0.8544 0.0216 0.0002 0.0000 0.0000 
4.85 0.0002 0.1128 0.8600 0.0266 0.0004 0.0000 0.0000 
4.86 0.0001 0.1029 0.8638 0.0325 0.0006 0.0000 0.0000 
4.87 0.0001 0.0938 0.8655 0.0396 0.0010 0.0000 0.0000 
4.88 0.0001 0.0853 0.8651 0.0479 0.0016 0.0000 0.0000 
4.89 0.0001 0.0775 0.8623 0.0576 0.0025 0.0000 0.0000 
4.90 0.0001 0.0703 0.8570 0.0689 0.0038 0.0000 0.0000 
4.91 0.0001 0.0636 0.8488 0.0817 0.0058 0.0000 0.0000 
4.92 0.0001 0.0574 0.8375 0.0964 0.0087 0.0000 0.0000 
4.93 0.0000 0.0516 0.8227 0.1128 0.0129 0.0000 0.0000 
4.94 0.0000 0.0462 0.8041 0.1309 0.0188 0.0000 0.0000 
4.95 0.0000 0.0412 0.7812 0.1505 0.0270 0.0000 0.0000 
4.96 0.0000 0.0365 0.7536 0.1714 0.0384 0.0000 0.0000 
4.97 0.0000 0.0321 0.7210 0.1931 0.0537 0.0000 0.0000 
4.98 0.0000 0.0280 0.6833 0.2148 0.0739 0.0000 0.0000 
4.99 0.0000 0.0242 0.6403 0.2357 0.0997 0.0000 0.0000 
5.00 0.0000 0.0206 0.5925 0.2547 0.1321 0.0000 0.0000 
5.01 0.0000 0.0174 0.5406 0.2706 0.1714 0.0000 0.0000 
5.02 0.0000 0.0144 0.4856 0.2824 0.2175 0.0000 0.0000 
5.03 0.0000 0.0118 0.4291 0.2892 0.2698 0.0000 0.0000 
5.04 0.0000 0.0095 0.3729 0.2906 0.3271 0.0000 0.0000 
5.05 0.0000 0.0075 0.3186 0.2863 0.3876 0.0000 0.0000 
5.06 0.0000 0.0058 0.2679 0.2770 0.4493 0.0000 0.0000 
5.07 0.0000 0.0045 0.2219 0.2635 0.5102 0.0000 0.0000 
