#
# Ionization fraction vs T for O
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..IX = ionization stage of oxygen
#
logT  I      II     III    IV     V      VI     VII    VIII   IX     
6.63 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0130 0.1323 0.8547 
6.64 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0115 0.1235 0.8650 
6.65 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0101 0.1154 0.8745 
6.66 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0089 0.1078 0.8833 
6.67 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0079 0.1007 0.8914 
6.68 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0070 0.0941 0.8989 
6.69 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0062 0.0880 0.9058 
6.70 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0055 0.0824 0.9121 
6.71 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0048 0.0771 0.9180 
6.72 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0043 0.0722 0.9235 
6.73 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0038 0.0677 0.9285 
6.74 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0034 0.0635 0.9331 
6.75 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0030 0.0596 0.9374 
6.76 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0027 0.0559 0.9414 
6.77 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0024 0.0525 0.9450 
6.78 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0021 0.0494 0.9485 
6.79 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0019 0.0465 0.9516 
6.80 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0017 0.0437 0.9545 
6.81 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0015 0.0412 0.9573 
6.82 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0014 0.0388 0.9598 
6.83 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0012 0.0366 0.9621 
6.84 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0011 0.0346 0.9643 
6.85 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0010 0.0326 0.9664 
6.86 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0009 0.0308 0.9683 
6.87 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0008 0.0292 0.9700 
6.88 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0007 0.0276 0.9717 
6.89 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0007 0.0261 0.9732 
6.90 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0006 0.0247 0.9747 
6.91 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0005 0.0234 0.9760 
6.92 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0005 0.0222 0.9773 
6.93 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0211 0.9785 
6.94 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0200 0.9796 
6.95 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0004 0.0190 0.9806 
6.96 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0181 0.9816 
6.97 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0172 0.9825 
6.98 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0003 0.0164 0.9834 
6.99 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0156 0.9842 
7.00 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0002 0.0148 0.9849 
