#
# Ionization fraction vs T for O
#   logT = 3.95 to 7.00
# Calculated using the CHIANTI atomic database and ChiantiPy
#
# logT = log10 of temperature in K
# I..IX = ionization stage of oxygen
#
logT  I      II     III    IV     V      VI     VII    VIII   IX     
4.57 0.0069 0.9626 0.0304 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.58 0.0065 0.9557 0.0378 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.59 0.0061 0.9473 0.0466 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.60 0.0058 0.9373 0.0569 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.61 0.0054 0.9256 0.0690 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.62 0.0051 0.9120 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.63 0.0047 0.8962 0.0990 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.64 0.0044 0.8784 0.1172 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.65 0.0041 0.8582 0.1377 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4.66 0.0038 0.8357 0.1604 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 
4.67 0.0035 0.8110 0.1854 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 
4.68 0.0032 0.7840 0.2127 0.0001 0.0000 0.0000 0.0000 0.0000 0.0000 
4.69 0.0030 0.7548 0.2420 0.0002 0.0000 0.0000 0.0000 0.0000 0.0000 
4.70 0.0027 0.7238 0.2732 0.0003 0.0000 0.0000 0.0000 0.0000 0.0000 
4.71 0.0025 0.6911 0.3060 0.0004 0.0000 0.0000 0.0000 0.0000 0.0000 
4.72 0.0022 0.6570 0.3401 0.0006 0.0000 0.0000 0.0000 0.0000 0.0000 
4.73 0.0020 0.6219 0.3752 0.0009 0.0000 0.0000 0.0000 0.0000 0.0000 
4.74 0.0018 0.5862 0.4107 0.0013 0.0000 0.0000 0.0000 0.0000 0.0000 
4.75 0.0016 0.5501 0.4465 0.0018 0.0000 0.0000 0.0000 0.0000 0.0000 
4.76 0.0014 0.5142 0.4819 0.0025 0.0000 0.0000 0.0000 0.0000 0.0000 
4.77 0.0013 0.4787 0.5167 0.0034 0.0000 0.0000 0.0000 0.0000 0.0000 
4.78 0.0011 0.4440 0.5504 0.0045 0.0000 0.0000 0.0000 0.0000 0.0000 
4.79 0.0010 0.4103 0.5828 0.0060 0.0000 0.0000 0.0000 0.0000 0.0000 
4.80 0.0009 0.3779 0.6134 0.0078 0.0000 0.0000 0.0000 0.0000 0.0000 
4.81 0.0008 0.3469 0.6421 0.0102 0.0000 0.0000 0.0000 0.0000 0.0000 
4.82 0.0007 0.3176 0.6687 0.0131 0.0000 0.0000 0.0000 0.0000 0.0000 
4.83 0.0006 0.2899 0.6929 0.0166 0.0000 0.0000 0.0000 0.0000 0.0000 
4.84 0.0005 0.2640 0.7145 0.0210 0.0000 0.0000 0.0000 0.0000 0.0000 
4.85 0.0004 0.2398 0.7336 0.0262 0.0000 0.0000 0.0000 0.0000 0.0000 
4.86 0.0004 0.2173 0.7498 0.0325 0.0000 0.0000 0.0000 0.0000 0.0000 
4.87 0.0003 0.1964 0.7632 0.0400 0.0000 0.0000 0.0000 0.0000 0.0000 
4.88 0.0003 0.1772 0.7736 0.0489 0.0000 0.0000 0.0000 0.0000 0.0000 
4.89 0.0002 0.1595 0.7810 0.0592 0.0000 0.0000 0.0000 0.0000 0.0000 
4.90 0.0002 0.1432 0.7853 0.0712 0.0001 0.0000 0.0000 0.0000 0.0000 
4.91 0.0002 0.1283 0.7865 0.0849 0.0001 0.0000 0.0000 0.0000 0.0000 
4.92 0.0001 0.1147 0.7844 0.1005 0.0002 0.0000 0.0000 0.0000 0.0000 
4.93 0.0001 0.1023 0.7792 0.1182 0.0002 0.0000 0.0000 0.0000 0.0000 
4.94 0.0001 0.0910 0.7707 0.1379 0.0003 0.0000 0.0000 0.0000 0.0000 
4.95 0.0001 0.0807 0.7590 0.1597 0.0005 0.0000 0.0000 0.0000 0.0000 
4.96 0.0001 0.0713 0.7443 0.1836 0.0007 0.0000 0.0000 0.0000 0.0000 
4.97 0.0001 0.0629 0.7266 0.2095 0.0010 0.0000 0.0000 0.0000 0.0000 
4.98 0.0001 0.0553 0.7060 0.2372 0.0015 0.0000 0.0000 0.0000 0.0000 
4.99 0.0000 0.0484 0.6829 0.2666 0.0020 0.0000 0.0000 0.0000 0.0000 
5.00 0.0000 0.0423 0.6574 0.2975 0.0028 0.0000 0.0000 0.0000 0.0000 
5.01 0.0000 0.0368 0.6299 0.3294 0.0038 0.0000 0.0000 0.0000 0.0000 
5.02 0.0000 0.0319 0.6008 0.3621 0.0052 0.0000 0.0000 0.0000 0.0000 
5.03 0.0000 0.0276 0.5703 0.3952 0.0069 0.0000 0.0000 0.0000 0.0000 
5.04 0.0000 0.0237 0.5388 0.4283 0.0091 0.0000 0.0000 0.0000 0.0000 
5.05 0.0000 0.0204 0.5068 0.4609 0.0119 0.0000 0.0000 0.0000 0.0000 
5.06 0.0000 0.0174 0.4746 0.4926 0.0153 0.0000 0.0000 0.0000 0.0000 
5.07 0.0000 0.0149 0.4426 0.5230 0.0195 0.0000 0.0000 0.0000 0.0000 
