#
# CIE cooling function for Z=10 solar
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
logT   Total    Cont   FFCont  FBCont  2PCont
5.060 -20.329 -22.914 -24.027 -23.619 -23.054
5.070 -20.334 -22.934 -24.021 -23.619 -23.081
5.080 -20.337 -22.953 -24.015 -23.619 -23.109
5.090 -20.340 -22.972 -24.009 -23.620 -23.137
5.100 -20.341 -22.990 -24.003 -23.620 -23.165
5.110 -20.341 -23.008 -23.998 -23.621 -23.193
5.120 -20.340 -23.026 -23.992 -23.621 -23.221
5.130 -20.337 -23.043 -23.986 -23.622 -23.249
5.140 -20.333 -23.060 -23.980 -23.623 -23.277
5.150 -20.328 -23.076 -23.975 -23.624 -23.305
5.160 -20.322 -23.092 -23.969 -23.626 -23.332
5.170 -20.315 -23.107 -23.963 -23.627 -23.359
5.180 -20.308 -23.121 -23.958 -23.628 -23.386
5.190 -20.300 -23.135 -23.952 -23.630 -23.413
5.200 -20.293 -23.149 -23.946 -23.631 -23.440
5.210 -20.286 -23.162 -23.941 -23.633 -23.466
5.220 -20.278 -23.174 -23.935 -23.634 -23.493
5.230 -20.271 -23.186 -23.930 -23.636 -23.519
5.240 -20.265 -23.197 -23.924 -23.637 -23.545
5.250 -20.259 -23.208 -23.919 -23.639 -23.571
5.260 -20.254 -23.219 -23.913 -23.641 -23.596
5.270 -20.249 -23.229 -23.908 -23.643 -23.621
5.280 -20.245 -23.238 -23.903 -23.644 -23.647
5.290 -20.241 -23.247 -23.897 -23.646 -23.671
5.300 -20.238 -23.256 -23.892 -23.648 -23.696
5.310 -20.235 -23.264 -23.887 -23.650 -23.721
5.320 -20.232 -23.272 -23.881 -23.652 -23.745
5.330 -20.229 -23.280 -23.876 -23.654 -23.769
5.340 -20.227 -23.287 -23.871 -23.656 -23.793
5.350 -20.226 -23.294 -23.866 -23.658 -23.817
5.360 -20.225 -23.300 -23.861 -23.660 -23.840
5.370 -20.225 -23.306 -23.856 -23.662 -23.864
5.380 -20.226 -23.312 -23.851 -23.664 -23.887
5.390 -20.229 -23.318 -23.845 -23.666 -23.910
5.400 -20.234 -23.323 -23.841 -23.668 -23.933
5.410 -20.242 -23.328 -23.836 -23.670 -23.956
5.420 -20.252 -23.332 -23.831 -23.672 -23.978
5.430 -20.266 -23.336 -23.826 -23.674 -24.001
5.440 -20.283 -23.340 -23.821 -23.676 -24.023
