#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
4.380 -21.907 -22.650 -24.539 -23.807 -22.688 -22.107 -23.851 -22.999 -23.623 -22.775 -25.440 -23.986 -23.303 -23.457 -23.414
4.390 -21.918 -22.677 -24.528 -23.805 -22.718 -22.135 -23.769 -22.967 -23.607 -22.760 -25.386 -24.047 -23.275 -23.450 -23.459
4.400 -21.928 -22.704 -24.517 -23.802 -22.748 -22.163 -23.692 -22.936 -23.591 -22.745 -25.341 -24.107 -23.249 -23.444 -23.506
4.410 -21.937 -22.730 -24.505 -23.800 -22.777 -22.191 -23.622 -22.904 -23.575 -22.730 -25.304 -24.167 -23.222 -23.439 -23.553
4.420 -21.944 -22.755 -24.493 -23.798 -22.805 -22.218 -23.558 -22.873 -23.559 -22.715 -25.274 -24.226 -23.196 -23.433 -23.601
4.430 -21.949 -22.780 -24.480 -23.796 -22.833 -22.246 -23.502 -22.842 -23.543 -22.701 -25.250 -24.285 -23.170 -23.429 -23.649
4.440 -21.954 -22.803 -24.466 -23.794 -22.861 -22.273 -23.454 -22.812 -23.528 -22.686 -25.231 -24.343 -23.144 -23.424 -23.697
4.450 -21.956 -22.827 -24.453 -23.792 -22.888 -22.300 -23.413 -22.781 -23.511 -22.672 -25.216 -24.400 -23.119 -23.420 -23.744
4.460 -21.958 -22.849 -24.439 -23.790 -22.915 -22.326 -23.382 -22.751 -23.495 -22.658 -25.203 -24.456 -23.094 -23.416 -23.790
4.470 -21.958 -22.871 -24.426 -23.788 -22.941 -22.353 -23.358 -22.721 -23.479 -22.644 -25.192 -24.512 -23.069 -23.413 -23.834
4.480 -21.958 -22.893 -24.413 -23.786 -22.968 -22.379 -23.341 -22.691 -23.463 -22.630 -25.183 -24.566 -23.045 -23.409 -23.875
4.490 -21.956 -22.915 -24.401 -23.784 -22.995 -22.405 -23.331 -22.661 -23.446 -22.616 -25.174 -24.620 -23.021 -23.406 -23.913
4.500 -21.953 -22.936 -24.389 -23.783 -23.021 -22.430 -23.326 -22.632 -23.429 -22.602 -25.165 -24.673 -22.998 -23.402 -23.945
4.510 -21.949 -22.957 -24.378 -23.782 -23.048 -22.456 -23.327 -22.602 -23.412 -22.588 -25.155 -24.725 -22.974 -23.397 -23.970
4.520 -21.944 -22.978 -24.367 -23.781 -23.075 -22.481 -23.332 -22.573 -23.395 -22.574 -25.143 -24.776 -22.952 -23.393 -23.987
4.530 -21.938 -22.999 -24.358 -23.780 -23.101 -22.506 -23.340 -22.543 -23.378 -22.560 -25.128 -24.826 -22.929 -23.387 -23.995
4.540 -21.931 -23.020 -24.349 -23.779 -23.128 -22.530 -23.351 -22.514 -23.360 -22.545 -25.110 -24.875 -22.907 -23.381 -23.992
4.550 -21.922 -23.040 -24.340 -23.779 -23.155 -22.555 -23.364 -22.485 -23.343 -22.531 -25.088 -24.924 -22.885 -23.374 -23.978
4.560 -21.913 -23.059 -24.332 -23.779 -23.181 -22.579 -23.377 -22.456 -23.324 -22.516 -25.061 -24.971 -22.864 -23.366 -23.956
4.570 -21.902 -23.078 -24.324 -23.778 -23.207 -22.603 -23.390 -22.427 -23.306 -22.502 -25.029 -25.018 -22.842 -23.358 -23.926
4.580 -21.891 -23.097 -24.317 -23.778 -23.232 -22.626 -23.402 -22.398 -23.287 -22.487 -24.990 -25.064 -22.822 -23.348 -23.891
4.590 -21.878 -23.114 -24.310 -23.778 -23.257 -22.650 -23.412 -22.369 -23.268 -22.472 -24.945 -25.110 -22.801 -23.337 -23.853
4.600 -21.865 -23.131 -24.303 -23.779 -23.281 -22.673 -23.419 -22.341 -23.249 -22.456 -24.895 -25.154 -22.781 -23.326 -23.814
4.610 -21.851 -23.147 -24.296 -23.779 -23.304 -22.696 -23.423 -22.313 -23.229 -22.441 -24.839 -25.198 -22.761 -23.313 -23.776
4.620 -21.836 -23.161 -24.289 -23.779 -23.326 -22.718 -23.421 -22.285 -23.208 -22.425 -24.778 -25.241 -22.742 -23.300 -23.740
4.630 -21.820 -23.174 -24.283 -23.779 -23.346 -22.741 -23.413 -22.257 -23.187 -22.409 -24.714 -25.284 -22.723 -23.286 -23.707
4.640 -21.804 -23.186 -24.276 -23.780 -23.363 -22.763 -23.399 -22.230 -23.166 -22.392 -24.647 -25.325 -22.704 -23.271 -23.677
4.650 -21.787 -23.195 -24.270 -23.780 -23.378 -22.785 -23.377 -22.203 -23.144 -22.376 -24.578 -25.366 -22.685 -23.255 -23.650
4.660 -21.769 -23.202 -24.263 -23.780 -23.390 -22.807 -23.347 -22.177 -23.122 -22.359 -24.508 -25.407 -22.667 -23.239 -23.626
4.670 -21.751 -23.207 -24.257 -23.781 -23.398 -22.829 -23.310 -22.151 -23.100 -22.341 -24.438 -25.446 -22.649 -23.223 -23.605
4.680 -21.733 -23.209 -24.251 -23.781 -23.402 -22.851 -23.266 -22.126 -23.077 -22.324 -24.369 -25.485 -22.631 -23.205 -23.586
4.690 -21.714 -23.208 -24.245 -23.782 -23.401 -22.872 -23.215 -22.101 -23.054 -22.306 -24.300 -25.523 -22.614 -23.188 -23.569
4.700 -21.694 -23.204 -24.238 -23.782 -23.395 -22.893 -23.159 -22.076 -23.031 -22.288 -24.234 -25.560 -22.597 -23.170 -23.555
4.710 -21.675 -23.195 -24.232 -23.782 -23.383 -22.914 -23.099 -22.053 -23.008 -22.269 -24.169 -25.597 -22.580 -23.151 -23.542
4.720 -21.655 -23.183 -24.226 -23.782 -23.365 -22.935 -23.035 -22.030 -22.985 -22.251 -24.106 -25.633 -22.564 -23.133 -23.531
4.730 -21.635 -23.167 -24.220 -23.782 -23.342 -22.955 -22.969 -22.007 -22.962 -22.232 -24.045 -25.669 -22.548 -23.114 -23.522
4.740 -21.614 -23.148 -24.214 -23.782 -23.314 -22.976 -22.902 -21.985 -22.939 -22.213 -23.987 -25.703 -22.533 -23.094 -23.514
4.750 -21.593 -23.124 -24.208 -23.782 -23.280 -22.996 -22.834 -21.964 -22.916 -22.194 -23.931 -25.737 -22.518 -23.075 -23.507
4.760 -21.573 -23.097 -24.202 -23.781 -23.243 -23.016 -22.766 -21.943 -22.893 -22.174 -23.877 -25.770 -22.504 -23.055 -23.501
4.770 -21.552 -23.067 -24.196 -23.779 -23.203 -23.036 -22.699 -21.923 -22.870 -22.155 -23.826 -25.802 -22.490 -23.035 -23.496
4.780 -21.531 -23.035 -24.190 -23.777 -23.160 -23.056 -22.634 -21.903 -22.848 -22.136 -23.777 -25.833 -22.478 -23.015 -23.492
4.790 -21.510 -23.001 -24.184 -23.775 -23.116 -23.076 -22.570 -21.884 -22.826 -22.117 -23.729 -25.864 -22.468 -22.995 -23.489
4.800 -21.489 -22.966 -24.178 -23.771 -23.072 -23.095 -22.510 -21.865 -22.804 -22.098 -23.684 -25.893 -22.458 -22.975 -23.487
4.810 -21.469 -22.930 -24.172 -23.767 -23.029 -23.115 -22.452 -21.847 -22.782 -22.079 -23.641 -25.920 -22.451 -22.955 -23.486
