#
# CIE cooling function for solar metallicity (Z=1)
#   ne=0.004 cm^-3
#   logT = 4.0 to 8.0
#   sun_photospheric_1998_grevesse abundances
# Calculated using CHIANTI and ChiantiPy
#
# For solar, we also include the line cooling contributions
# by element
#
logT   Total    Cont   FFCont  FBCont  2PCont    H       He      C       N       O       Ne      Mg      Si      S       Fe  
5.630 -21.744 -23.385 -23.733 -23.725 -24.409 -24.359 -23.572 -24.333 -24.120 -22.333 -22.097 -22.878 -23.319 -23.886 -22.578
5.640 -21.751 -23.386 -23.729 -23.728 -24.426 -24.372 -23.589 -24.341 -24.156 -22.386 -22.094 -22.866 -23.292 -23.886 -22.557
5.650 -21.757 -23.387 -23.724 -23.731 -24.443 -24.385 -23.606 -24.345 -24.192 -22.439 -22.091 -22.855 -23.266 -23.883 -22.537
5.660 -21.762 -23.387 -23.720 -23.734 -24.458 -24.397 -23.623 -24.345 -24.227 -22.491 -22.090 -22.844 -23.241 -23.877 -22.518
5.670 -21.766 -23.388 -23.715 -23.738 -24.473 -24.410 -23.640 -24.341 -24.261 -22.541 -22.089 -22.833 -23.217 -23.870 -22.499
5.680 -21.770 -23.389 -23.711 -23.741 -24.487 -24.422 -23.657 -24.333 -24.294 -22.590 -22.091 -22.823 -23.194 -23.860 -22.481
5.690 -21.773 -23.389 -23.707 -23.744 -24.500 -24.435 -23.674 -24.321 -24.326 -22.638 -22.094 -22.813 -23.172 -23.848 -22.464
5.700 -21.777 -23.389 -23.702 -23.747 -24.511 -24.447 -23.691 -24.305 -24.357 -22.685 -22.100 -22.803 -23.152 -23.835 -22.448
5.710 -21.781 -23.389 -23.698 -23.751 -24.521 -24.460 -23.707 -24.285 -24.388 -22.730 -22.108 -22.794 -23.132 -23.819 -22.432
5.720 -21.785 -23.389 -23.693 -23.754 -24.530 -24.472 -23.724 -24.262 -24.417 -22.775 -22.118 -22.785 -23.113 -23.803 -22.416
5.730 -21.791 -23.389 -23.689 -23.758 -24.537 -24.485 -23.740 -24.237 -24.446 -22.819 -22.132 -22.776 -23.094 -23.784 -22.401
5.740 -21.797 -23.389 -23.685 -23.761 -24.542 -24.497 -23.757 -24.209 -24.473 -22.861 -22.149 -22.767 -23.076 -23.765 -22.387
5.750 -21.804 -23.388 -23.680 -23.764 -24.546 -24.510 -23.773 -24.178 -24.499 -22.903 -22.171 -22.759 -23.059 -23.744 -22.373
5.760 -21.812 -23.387 -23.676 -23.768 -24.548 -24.522 -23.789 -24.147 -24.523 -22.944 -22.196 -22.751 -23.043 -23.723 -22.359
5.770 -21.820 -23.387 -23.672 -23.771 -24.548 -24.534 -23.806 -24.114 -24.546 -22.984 -22.226 -22.743 -23.027 -23.700 -22.346
5.780 -21.830 -23.386 -23.667 -23.775 -24.547 -24.547 -23.822 -24.081 -24.567 -23.023 -22.259 -22.735 -23.011 -23.677 -22.333
5.790 -21.839 -23.385 -23.663 -23.778 -24.544 -24.559 -23.838 -24.048 -24.586 -23.061 -22.296 -22.728 -22.996 -23.654 -22.320
5.800 -21.848 -23.383 -23.659 -23.782 -24.539 -24.571 -23.853 -24.014 -24.603 -23.098 -22.337 -22.721 -22.981 -23.630 -22.308
5.810 -21.857 -23.382 -23.654 -23.785 -24.533 -24.584 -23.869 -23.981 -24.618 -23.134 -22.381 -22.714 -22.967 -23.606 -22.296
5.820 -21.866 -23.381 -23.650 -23.789 -24.525 -24.596 -23.885 -23.949 -24.630 -23.169 -22.427 -22.707 -22.954 -23.581 -22.284
5.830 -21.873 -23.379 -23.646 -23.792 -24.517 -24.608 -23.901 -23.918 -24.640 -23.203 -22.476 -22.700 -22.941 -23.557 -22.273
5.840 -21.879 -23.377 -23.642 -23.796 -24.507 -24.620 -23.916 -23.888 -24.647 -23.236 -22.527 -22.694 -22.928 -23.533 -22.262
5.850 -21.885 -23.376 -23.637 -23.800 -24.496 -24.633 -23.932 -23.859 -24.651 -23.269 -22.579 -22.688 -22.916 -23.509 -22.252
5.860 -21.889 -23.374 -23.633 -23.803 -24.485 -24.645 -23.947 -23.831 -24.652 -23.300 -22.632 -22.683 -22.904 -23.486 -22.242
5.870 -21.892 -23.372 -23.629 -23.807 -24.474 -24.657 -23.963 -23.805 -24.651 -23.330 -22.685 -22.678 -22.893 -23.463 -22.232
5.880 -21.894 -23.370 -23.625 -23.811 -24.461 -24.669 -23.978 -23.780 -24.646 -23.358 -22.738 -22.673 -22.883 -23.441 -22.222
5.890 -21.895 -23.368 -23.620 -23.814 -24.449 -24.682 -23.993 -23.756 -24.638 -23.386 -22.791 -22.669 -22.873 -23.419 -22.213
5.900 -21.896 -23.366 -23.616 -23.818 -24.436 -24.694 -24.008 -23.734 -24.628 -23.412 -22.843 -22.666 -22.864 -23.398 -22.205
5.910 -21.896 -23.364 -23.612 -23.822 -24.423 -24.706 -24.024 -23.713 -24.615 -23.436 -22.895 -22.664 -22.855 -23.378 -22.196
5.920 -21.895 -23.361 -23.608 -23.826 -24.410 -24.718 -24.039 -23.693 -24.600 -23.459 -22.946 -22.663 -22.846 -23.358 -22.189
5.930 -21.894 -23.359 -23.603 -23.829 -24.397 -24.730 -24.054 -23.675 -24.582 -23.480 -22.996 -22.663 -22.839 -23.340 -22.181
5.940 -21.894 -23.357 -23.599 -23.833 -24.383 -24.742 -24.068 -23.658 -24.563 -23.499 -23.045 -22.665 -22.831 -23.322 -22.174
5.950 -21.893 -23.354 -23.595 -23.837 -24.370 -24.755 -24.083 -23.642 -24.542 -23.516 -23.093 -22.669 -22.824 -23.306 -22.168
5.960 -21.892 -23.352 -23.591 -23.840 -24.357 -24.767 -24.098 -23.627 -24.520 -23.531 -23.140 -22.675 -22.818 -23.290 -22.162
5.970 -21.892 -23.349 -23.587 -23.844 -24.344 -24.779 -24.113 -23.614 -24.497 -23.543 -23.186 -22.683 -22.812 -23.275 -22.156
5.980 -21.891 -23.346 -23.582 -23.847 -24.330 -24.791 -24.127 -23.602 -24.474 -23.553 -23.231 -22.695 -22.806 -23.261 -22.151
5.990 -21.892 -23.344 -23.578 -23.851 -24.318 -24.803 -24.142 -23.591 -24.450 -23.560 -23.275 -22.709 -22.800 -23.247 -22.147
6.000 -21.892 -23.341 -23.574 -23.854 -24.305 -24.815 -24.156 -23.582 -24.426 -23.564 -23.317 -22.727 -22.795 -23.235 -22.142
6.010 -21.894 -23.338 -23.570 -23.857 -24.293 -24.827 -24.171 -23.574 -24.401 -23.566 -23.359 -22.749 -22.790 -23.223 -22.139
6.020 -21.895 -23.335 -23.566 -23.861 -24.281 -24.839 -24.185 -23.568 -24.378 -23.564 -23.399 -22.774 -22.785 -23.212 -22.136
6.030 -21.897 -23.332 -23.561 -23.864 -24.269 -24.851 -24.199 -23.564 -24.354 -23.561 -23.439 -22.803 -22.780 -23.202 -22.133
6.040 -21.900 -23.329 -23.557 -23.867 -24.257 -24.863 -24.214 -23.561 -24.331 -23.554 -23.477 -22.835 -22.775 -23.192 -22.131
6.050 -21.902 -23.326 -23.553 -23.870 -24.246 -24.875 -24.228 -23.560 -24.308 -23.545 -23.514 -22.870 -22.771 -23.183 -22.129
6.060 -21.905 -23.323 -23.549 -23.873 -24.236 -24.888 -24.242 -23.561 -24.287 -23.534 -23.550 -22.908 -22.767 -23.174 -22.128
6.070 -21.908 -23.320 -23.545 -23.876 -24.225 -24.900 -24.256 -23.564 -24.266 -23.520 -23.585 -22.949 -22.763 -23.166 -22.127
6.080 -21.911 -23.317 -23.540 -23.878 -24.215 -24.912 -24.270 -23.568 -24.245 -23.504 -23.619 -22.992 -22.760 -23.158 -22.127
6.090 -21.914 -23.314 -23.536 -23.881 -24.204 -24.924 -24.284 -23.574 -24.226 -23.487 -23.652 -23.037 -22.756 -23.150 -22.127
6.100 -21.917 -23.311 -23.532 -23.884 -24.194 -24.936 -24.298 -23.582 -24.208 -23.469 -23.684 -23.083 -22.754 -23.143 -22.128
6.110 -21.920 -23.308 -23.528 -23.887 -24.183 -24.948 -24.312 -23.592 -24.191 -23.449 -23.715 -23.130 -22.752 -23.136 -22.129
6.120 -21.923 -23.305 -23.524 -23.889 -24.172 -24.960 -24.325 -23.603 -24.174 -23.428 -23.744 -23.177 -22.750 -23.129 -22.130
6.130 -21.926 -23.301 -23.519 -23.892 -24.161 -24.972 -24.339 -23.615 -24.159 -23.406 -23.772 -23.225 -22.750 -23.123 -22.132
6.140 -21.929 -23.298 -23.515 -23.894 -24.150 -24.984 -24.353 -23.629 -24.145 -23.384 -23.799 -23.273 -22.751 -23.116 -22.135
6.150 -21.933 -23.294 -23.511 -23.896 -24.138 -24.996 -24.366 -23.643 -24.132 -23.362 -23.825 -23.320 -22.753 -23.110 -22.138
6.160 -21.936 -23.290 -23.507 -23.899 -24.126 -25.008 -24.380 -23.659 -24.121 -23.339 -23.849 -23.367 -22.757 -23.104 -22.141
6.170 -21.940 -23.287 -23.503 -23.901 -24.113 -25.021 -24.393 -23.676 -24.111 -23.317 -23.872 -23.414 -22.762 -23.098 -22.144
6.180 -21.945 -23.283 -23.498 -23.903 -24.101 -25.033 -24.407 -23.694 -24.102 -23.295 -23.893 -23.459 -22.770 -23.093 -22.149
6.190 -21.949 -23.278 -23.494 -23.905 -24.088 -25.045 -24.420 -23.712 -24.095 -23.273 -23.913 -23.504 -22.780 -23.087 -22.154
6.200 -21.955 -23.274 -23.490 -23.907 -24.074 -25.057 -24.434 -23.731 -24.089 -23.252 -23.931 -23.548 -22.793 -23.081 -22.159
6.210 -21.961 -23.270 -23.486 -23.909 -24.061 -25.069 -24.447 -23.751 -24.085 -23.231 -23.948 -23.591 -22.809 -23.076 -22.165
6.220 -21.968 -23.266 -23.482 -23.910 -24.048 -25.081 -24.460 -23.771 -24.083 -23.211 -23.963 -23.633 -22.828 -23.071 -22.172
6.230 -21.976 -23.261 -23.477 -23.911 -24.035 -25.093 -24.474 -23.791 -24.082 -23.192 -23.976 -23.674 -22.850 -23.065 -22.181
6.240 -21.985 -23.257 -23.473 -23.913 -24.022 -25.105 -24.487 -23.812 -24.083 -23.174 -23.987 -23.713 -22.875 -23.060 -22.190
6.250 -21.994 -23.252 -23.469 -23.914 -24.009 -25.117 -24.500 -23.833 -24.085 -23.156 -23.996 -23.752 -22.903 -23.056 -22.201
6.260 -22.006 -23.248 -23.465 -23.914 -23.997 -25.129 -24.513 -23.854 -24.089 -23.140 -24.003 -23.789 -22.934 -23.051 -22.214
6.270 -22.018 -23.243 -23.461 -23.915 -23.985 -25.142 -24.526 -23.875 -24.095 -23.124 -24.008 -23.825 -22.968 -23.047 -22.229
6.280 -22.032 -23.238 -23.456 -23.915 -23.974 -25.154 -24.539 -23.897 -24.102 -23.110 -24.012 -23.861 -23.004 -23.043 -22.246
6.290 -22.047 -23.234 -23.452 -23.916 -23.963 -25.166 -24.552 -23.918 -24.111 -23.097 -24.013 -23.895 -23.042 -23.039 -22.266
6.300 -22.063 -23.230 -23.448 -23.916 -23.953 -25.178 -24.565 -23.944 -24.121 -23.085 -24.013 -23.927 -23.081 -23.037 -22.287
6.310 -22.081 -23.225 -23.444 -23.915 -23.944 -25.190 -24.578 -23.965 -24.133 -23.075 -24.011 -23.959 -23.122 -23.035 -22.312
6.320 -22.100 -23.221 -23.439 -23.915 -23.936 -25.202 -24.591 -23.986 -24.145 -23.065 -24.007 -23.989 -23.164 -23.034 -22.338
6.330 -22.119 -23.217 -23.435 -23.914 -23.929 -25.214 -24.604 -24.008 -24.159 -23.057 -24.002 -24.019 -23.207 -23.034 -22.367
6.340 -22.140 -23.213 -23.431 -23.913 -23.923 -25.226 -24.617 -24.029 -24.174 -23.051 -23.995 -24.047 -23.250 -23.035 -22.398
6.350 -22.160 -23.209 -23.427 -23.912 -23.918 -25.239 -24.630 -24.050 -24.189 -23.046 -23.987 -24.073 -23.293 -23.039 -22.429
6.360 -22.181 -23.206 -23.422 -23.911 -23.915 -25.251 -24.642 -24.071 -24.205 -23.043 -23.977 -24.098 -23.335 -23.044 -22.462
6.370 -22.202 -23.202 -23.418 -23.909 -23.913 -25.263 -24.655 -24.092 -24.222 -23.041 -23.966 -24.122 -23.378 -23.051 -22.495
6.380 -22.223 -23.199 -23.414 -23.907 -23.912 -25.275 -24.668 -24.113 -24.240 -23.040 -23.955 -24.145 -23.420 -23.060 -22.528
6.390 -22.244 -23.196 -23.409 -23.906 -23.912 -25.287 -24.681 -24.134 -24.258 -23.042 -23.942 -24.166 -23.461 -23.072 -22.561
6.400 -22.265 -23.194 -23.405 -23.904 -23.914 -25.299 -24.693 -24.154 -24.277 -23.045 -23.929 -24.185 -23.501 -23.086 -22.594
6.410 -22.285 -23.191 -23.401 -23.902 -23.917 -25.311 -24.706 -24.175 -24.296 -23.049 -23.915 -24.204 -23.541 -23.103 -22.625
6.420 -22.305 -23.189 -23.396 -23.900 -23.921 -25.324 -24.719 -24.195 -24.315 -23.055 -23.901 -24.220 -23.580 -23.124 -22.656
6.430 -22.324 -23.187 -23.392 -23.898 -23.927 -25.336 -24.731 -24.215 -24.335 -23.062 -23.886 -24.235 -23.618 -23.147 -22.684
6.440 -22.343 -23.185 -23.387 -23.896 -23.934 -25.348 -24.744 -24.235 -24.354 -23.071 -23.872 -24.249 -23.654 -23.172 -22.712
6.450 -22.362 -23.183 -23.383 -23.895 -23.942 -25.360 -24.757 -24.255 -24.374 -23.081 -23.857 -24.260 -23.690 -23.200 -22.737
6.460 -22.379 -23.182 -23.378 -23.893 -23.951 -25.372 -24.769 -24.275 -24.399 -23.093 -23.842 -24.270 -23.725 -23.231 -22.761
6.470 -22.396 -23.180 -23.374 -23.892 -23.961 -25.384 -24.782 -24.295 -24.419 -23.105 -23.827 -24.279 -23.758 -23.263 -22.783
6.480 -22.413 -23.179 -23.370 -23.890 -23.971 -25.396 -24.794 -24.314 -24.439 -23.119 -23.813 -24.286 -23.790 -23.297 -22.803
6.490 -22.428 -23.178 -23.365 -23.889 -23.983 -25.409 -24.807 -24.334 -24.459 -23.134 -23.798 -24.291 -23.821 -23.333 -22.822
6.500 -22.443 -23.176 -23.361 -23.888 -23.995 -25.421 -24.819 -24.353 -24.479 -23.149 -23.785 -24.295 -23.851 -23.370 -22.838
6.510 -22.457 -23.175 -23.356 -23.888 -24.008 -25.433 -24.831 -24.372 -24.499 -23.166 -23.771 -24.297 -23.880 -23.408 -22.852
6.520 -22.470 -23.174 -23.352 -23.887 -24.020 -25.445 -24.844 -24.391 -24.519 -23.183 -23.758 -24.297 -23.907 -23.446 -22.865
6.530 -22.482 -23.173 -23.347 -23.887 -24.034 -25.457 -24.856 -24.410 -24.539 -23.201 -23.746 -24.297 -23.934 -23.484 -22.876
6.540 -22.492 -23.171 -23.343 -23.887 -24.047 -25.469 -24.869 -24.429 -24.559 -23.219 -23.735 -24.294 -23.958 -23.523 -22.885
6.550 -22.504 -23.170 -23.338 -23.887 -24.063 -25.482 -24.881 -24.447 -24.579 -23.246 -23.724 -24.291 -23.982 -23.561 -22.892
6.560 -22.513 -23.169 -23.334 -23.887 -24.076 -25.494 -24.893 -24.466 -24.598 -23.265 -23.714 -24.286 -24.004 -23.600 -22.898
6.570 -22.520 -23.167 -23.329 -23.887 -24.089 -25.506 -24.906 -24.484 -24.618 -23.285 -23.705 -24.280 -24.025 -23.637 -22.902
6.580 -22.527 -23.166 -23.324 -23.887 -24.101 -25.518 -24.918 -24.502 -24.637 -23.304 -23.698 -24.274 -24.045 -23.674 -22.905
6.590 -22.533 -23.164 -23.320 -23.888 -24.114 -25.530 -24.930 -24.520 -24.657 -23.324 -23.691 -24.266 -24.063 -23.710 -22.907
6.600 -22.539 -23.162 -23.315 -23.888 -24.126 -25.543 -24.943 -24.538 -24.676 -23.344 -23.685 -24.257 -24.080 -23.746 -22.907
6.610 -22.543 -23.161 -23.311 -23.889 -24.137 -25.555 -24.955 -24.556 -24.695 -23.365 -23.680 -24.248 -24.095 -23.780 -22.906
6.620 -22.547 -23.159 -23.306 -23.890 -24.149 -25.567 -24.967 -24.574 -24.714 -23.385 -23.677 -24.238 -24.109 -23.814 -22.904
6.630 -22.549 -23.157 -23.301 -23.891 -24.159 -25.579 -24.979 -24.591 -24.733 -23.406 -23.675 -24.228 -24.121 -23.846 -22.902
6.640 -22.552 -23.154 -23.297 -23.892 -24.170 -25.592 -24.992 -24.609 -24.752 -23.426 -23.674 -24.217 -24.132 -23.878 -22.898
6.650 -22.553 -23.152 -23.292 -23.892 -24.180 -25.604 -25.004 -24.626 -24.771 -23.447 -23.675 -24.206 -24.142 -23.908 -22.893
6.660 -22.554 -23.150 -23.288 -23.893 -24.190 -25.616 -25.016 -24.644 -24.789 -23.467 -23.676 -24.194 -24.150 -23.937 -22.888
6.670 -22.555 -23.148 -23.283 -23.894 -24.199 -25.629 -25.028 -24.661 -24.808 -23.488 -23.680 -24.183 -24.157 -23.966 -22.882
6.680 -22.555 -23.145 -23.278 -23.896 -24.208 -25.641 -25.040 -24.678 -24.826 -23.508 -23.684 -24.172 -24.163 -23.992 -22.876
6.690 -22.554 -23.143 -23.274 -23.897 -24.217 -25.653 -25.053 -24.695 -24.844 -23.529 -23.690 -24.160 -24.167 -24.018 -22.869
6.700 -22.554 -23.140 -23.269 -23.898 -24.226 -25.665 -25.065 -24.712 -24.862 -23.549 -23.696 -24.149 -24.170 -24.043 -22.862
6.710 -22.553 -23.137 -23.264 -23.899 -24.234 -25.678 -25.077 -24.729 -24.880 -23.569 -23.705 -24.138 -24.172 -24.066 -22.855
6.720 -22.551 -23.135 -23.260 -23.900 -24.243 -25.690 -25.089 -24.746 -24.898 -23.589 -23.714 -24.127 -24.172 -24.088 -22.848
6.730 -22.549 -23.132 -23.255 -23.902 -24.251 -25.702 -25.101 -24.762 -24.916 -23.609 -23.724 -24.117 -24.172 -24.109 -22.840
6.740 -22.547 -23.129 -23.250 -23.903 -24.259 -25.715 -25.113 -24.779 -24.933 -23.629 -23.736 -24.107 -24.170 -24.128 -22.832
6.750 -22.545 -23.127 -23.246 -23.904 -24.267 -25.727 -25.125 -24.795 -24.951 -23.649 -23.748 -24.097 -24.168 -24.146 -22.824
6.760 -22.543 -23.124 -23.241 -23.906 -24.275 -25.740 -25.138 -24.812 -24.968 -23.669 -23.772 -24.089 -24.164 -24.163 -22.817
6.770 -22.541 -23.121 -23.236 -23.907 -24.283 -25.752 -25.150 -24.828 -24.985 -23.688 -23.786 -24.080 -24.160 -24.179 -22.809
6.780 -22.538 -23.118 -23.231 -23.909 -24.291 -25.764 -25.162 -24.844 -25.002 -23.707 -23.800 -24.073 -24.155 -24.193 -22.801
6.790 -22.535 -23.115 -23.227 -23.910 -24.299 -25.777 -25.174 -24.860 -25.019 -23.727 -23.816 -24.066 -24.149 -24.206 -22.794
6.800 -22.533 -23.113 -23.222 -23.912 -24.306 -25.789 -25.186 -24.876 -25.036 -23.746 -23.832 -24.060 -24.143 -24.218 -22.787
6.810 -22.530 -23.110 -23.217 -23.914 -24.314 -25.801 -25.198 -24.892 -25.053 -23.765 -23.848 -24.055 -24.136 -24.229 -22.780
6.820 -22.527 -23.107 -23.212 -23.916 -24.321 -25.814 -25.210 -24.908 -25.070 -23.784 -23.865 -24.051 -24.129 -24.238 -22.774
6.830 -22.525 -23.104 -23.208 -23.917 -24.329 -25.826 -25.222 -24.924 -25.086 -23.803 -23.882 -24.048 -24.121 -24.246 -22.768
6.840 -22.522 -23.101 -23.203 -23.919 -24.336 -25.839 -25.234 -24.939 -25.103 -23.821 -23.900 -24.045 -24.113 -24.253 -22.762
6.850 -22.520 -23.097 -23.198 -23.921 -24.343 -25.851 -25.247 -24.955 -25.119 -23.840 -23.918 -24.044 -24.105 -24.259 -22.757
6.860 -22.518 -23.094 -23.193 -23.923 -24.351 -25.864 -25.259 -24.970 -25.136 -23.858 -23.937 -24.044 -24.097 -24.264 -22.752
6.870 -22.516 -23.091 -23.189 -23.925 -24.358 -25.876 -25.271 -24.986 -25.152 -23.877 -23.955 -24.045 -24.088 -24.267 -22.748
6.880 -22.514 -23.088 -23.184 -23.926 -24.365 -25.889 -25.283 -25.001 -25.168 -23.895 -23.974 -24.047 -24.080 -24.270 -22.744
6.890 -22.513 -23.085 -23.179 -23.928 -24.372 -25.901 -25.295 -25.016 -25.184 -23.913 -23.993 -24.050 -24.071 -24.271 -22.741
6.900 -22.512 -23.082 -23.174 -23.930 -24.379 -25.914 -25.307 -25.031 -25.200 -23.931 -24.012 -24.054 -24.063 -24.272 -22.739
6.910 -22.512 -23.078 -23.169 -23.932 -24.388 -25.926 -25.319 -25.046 -25.216 -23.948 -24.031 -24.075 -24.055 -24.272 -22.737
6.920 -22.511 -23.075 -23.165 -23.933 -24.395 -25.939 -25.331 -25.061 -25.231 -23.966 -24.050 -24.081 -24.047 -24.271 -22.736
6.930 -22.511 -23.072 -23.160 -23.935 -24.402 -25.952 -25.344 -25.076 -25.247 -23.984 -24.069 -24.089 -24.040 -24.269 -22.736
6.940 -22.512 -23.068 -23.155 -23.937 -24.408 -25.964 -25.356 -25.090 -25.262 -24.001 -24.088 -24.097 -24.032 -24.267 -22.737
6.950 -22.513 -23.065 -23.150 -23.938 -24.415 -25.977 -25.368 -25.105 -25.278 -24.018 -24.107 -24.106 -24.026 -24.264 -22.738
6.960 -22.514 -23.061 -23.145 -23.940 -24.422 -25.989 -25.380 -25.119 -25.293 -24.035 -24.127 -24.116 -24.019 -24.260 -22.741
6.970 -22.516 -23.058 -23.141 -23.941 -24.429 -26.002 -25.392 -25.134 -25.309 -24.053 -24.146 -24.127 -24.014 -24.256 -22.744
6.980 -22.519 -23.054 -23.136 -23.943 -24.435 -26.014 -25.404 -25.148 -25.324 -24.070 -24.165 -24.138 -24.009 -24.251 -22.748
6.990 -22.522 -23.051 -23.131 -23.944 -24.442 -26.027 -25.417 -25.162 -25.339 -24.087 -24.184 -24.151 -24.004 -24.246 -22.753
7.000 -22.525 -23.047 -23.126 -23.945 -24.449 -26.040 -25.429 -25.177 -25.354 -24.103 -24.203 -24.164 -24.001 -24.241 -22.760
7.010 -22.529 -23.043 -23.121 -23.946 -24.455 -26.052 -25.441 -25.191 -25.369 -24.120 -24.221 -24.177 -23.997 -24.235 -22.767
7.020 -22.534 -23.040 -23.116 -23.947 -24.462 -26.065 -25.453 -25.205 -25.384 -24.136 -24.240 -24.192 -23.995 -24.229 -22.776
7.030 -22.539 -23.036 -23.112 -23.947 -24.469 -26.078 -25.466 -25.219 -25.398 -24.153 -24.259 -24.206 -23.994 -24.223 -22.785
7.040 -22.545 -23.032 -23.107 -23.948 -24.476 -26.091 -25.478 -25.232 -25.413 -24.169 -24.277 -24.222 -23.993 -24.217 -22.796
7.050 -22.552 -23.029 -23.102 -23.948 -24.486 -26.103 -25.490 -25.246 -25.428 -24.185 -24.296 -24.237 -24.011 -24.211 -22.809
7.060 -22.560 -23.025 -23.097 -23.948 -24.493 -26.116 -25.502 -25.260 -25.442 -24.202 -24.314 -24.253 -24.012 -24.206 -22.823
7.070 -22.567 -23.021 -23.092 -23.948 -24.500 -26.129 -25.515 -25.274 -25.457 -24.217 -24.332 -24.270 -24.014 -24.200 -22.838
7.080 -22.576 -23.017 -23.087 -23.948 -24.508 -26.142 -25.527 -25.287 -25.471 -24.233 -24.350 -24.286 -24.017 -24.194 -22.855
7.090 -22.585 -23.013 -23.082 -23.947 -24.515 -26.154 -25.539 -25.301 -25.485 -24.249 -24.368 -24.303 -24.021 -24.189 -22.873
7.100 -22.594 -23.009 -23.078 -23.947 -24.523 -26.167 -25.551 -25.314 -25.500 -24.265 -24.386 -24.320 -24.026 -24.183 -22.892
7.110 -22.604 -23.005 -23.073 -23.946 -24.530 -26.180 -25.564 -25.327 -25.514 -24.280 -24.404 -24.337 -24.032 -24.178 -22.914
7.120 -22.615 -23.001 -23.068 -23.946 -24.538 -26.193 -25.576 -25.340 -25.528 -24.296 -24.421 -24.355 -24.038 -24.174 -22.936
7.130 -22.625 -22.997 -23.063 -23.945 -24.547 -26.206 -25.588 -25.354 -25.542 -24.311 -24.439 -24.372 -24.045 -24.170 -22.960
7.140 -22.636 -22.993 -23.058 -23.945 -24.555 -26.218 -25.601 -25.367 -25.556 -24.326 -24.456 -24.390 -24.053 -24.166 -22.985
7.150 -22.647 -22.989 -23.053 -23.945 -24.563 -26.231 -25.613 -25.380 -25.570 -24.341 -24.474 -24.408 -24.062 -24.163 -23.011
7.160 -22.657 -22.985 -23.048 -23.945 -24.572 -26.244 -25.626 -25.392 -25.584 -24.356 -24.491 -24.425 -24.072 -24.160 -23.038
7.170 -22.668 -22.981 -23.044 -23.944 -24.581 -26.257 -25.638 -25.405 -25.597 -24.371 -24.508 -24.443 -24.082 -24.158 -23.066
7.180 -22.678 -22.977 -23.039 -23.945 -24.590 -26.270 -25.650 -25.418 -25.611 -24.386 -24.525 -24.461 -24.093 -24.157 -23.094
7.190 -22.688 -22.973 -23.034 -23.945 -24.600 -26.283 -25.663 -25.431 -25.625 -24.401 -24.541 -24.479 -24.105 -24.156 -23.123
7.200 -22.697 -22.969 -23.029 -23.945 -24.609 -26.296 -25.675 -25.444 -25.638 -24.416 -24.558 -24.497 -24.117 -24.156 -23.152
7.210 -22.707 -22.965 -23.024 -23.946 -24.619 -26.309 -25.688 -25.456 -25.652 -24.430 -24.575 -24.514 -24.130 -24.156 -23.181
7.220 -22.715 -22.961 -23.019 -23.946 -24.629 -26.321 -25.700 -25.469 -25.665 -24.444 -24.591 -24.532 -24.143 -24.158 -23.210
7.230 -22.723 -22.957 -23.014 -23.947 -24.639 -26.334 -25.713 -25.481 -25.678 -24.459 -24.607 -24.550 -24.157 -24.160 -23.238
7.240 -22.730 -22.953 -23.009 -23.948 -24.649 -26.347 -25.725 -25.494 -25.692 -24.473 -24.624 -24.567 -24.171 -24.162 -23.267
7.250 -22.737 -22.949 -23.005 -23.950 -24.659 -26.360 -25.737 -25.506 -25.705 -24.487 -24.640 -24.585 -24.186 -24.166 -23.295
7.260 -22.744 -22.945 -23.000 -23.951 -24.670 -26.373 -25.750 -25.518 -25.718 -24.501 -24.656 -24.603 -24.201 -24.170 -23.323
7.270 -22.749 -22.941 -22.995 -23.952 -24.681 -26.386 -25.762 -25.531 -25.731 -24.515 -24.672 -24.620 -24.216 -24.175 -23.350
7.280 -22.755 -22.938 -22.990 -23.954 -24.691 -26.399 -25.775 -25.543 -25.744 -24.529 -24.687 -24.637 -24.232 -24.181 -23.376
7.290 -22.759 -22.934 -22.985 -23.956 -24.702 -26.412 -25.788 -25.555 -25.757 -24.543 -24.703 -24.655 -24.248 -24.187 -23.402
7.300 -22.764 -22.930 -22.980 -23.958 -24.713 -26.425 -25.800 -25.630 -25.770 -24.556 -24.719 -24.672 -24.264 -24.194 -23.427
7.310 -22.767 -22.926 -22.975 -23.960 -24.724 -26.438 -25.813 -25.643 -25.783 -24.570 -24.734 -24.689 -24.280 -24.202 -23.451
7.320 -22.770 -22.922 -22.971 -23.962 -24.736 -26.451 -25.825 -25.656 -25.796 -24.583 -24.749 -24.706 -24.296 -24.211 -23.474
7.330 -22.773 -22.918 -22.966 -23.964 -24.747 -26.464 -25.838 -25.668 -25.808 -24.597 -24.765 -24.723 -24.313 -24.220 -23.497
7.340 -22.776 -22.914 -22.961 -23.966 -24.758 -26.477 -25.850 -25.681 -25.821 -24.610 -24.780 -24.740 -24.329 -24.230 -23.519
7.350 -22.778 -22.910 -22.956 -23.969 -24.769 -26.490 -25.863 -25.694 -25.834 -24.623 -24.795 -24.757 -24.346 -24.241 -23.540
7.360 -22.780 -22.906 -22.951 -23.971 -24.780 -26.503 -25.875 -25.707 -25.846 -24.637 -24.810 -24.773 -24.363 -24.252 -23.560
7.370 -22.781 -22.902 -22.946 -23.974 -24.790 -26.516 -25.888 -25.719 -25.859 -24.650 -24.825 -24.790 -24.380 -24.263 -23.579
