READ SERR 1 2
@0790380801/analysis/pnspec_err.pco
!
0.332783997 2.61998177E-3 0.649203598 1
0.338023007 2.61901319E-3 -1.0427196 1
0.3432585 2.61649489E-3 0.196898416 1
0.34849 2.61500478E-3 1.48000121 1
0.353717983 2.61299312E-3 0.931861043 1
0.358942509 2.61150301E-3 -1.60907161 1
0.364163518 2.60950625E-3 -1.34839272 1
0.369380504 2.60749459E-3 -2.17743039 1
0.374593496 2.60549784E-3 -0.466653138 1
0.379803002 2.60400772E-3 -0.945907354 1
0.385008514 2.60148942E-3 2.10832977 1
0.390209973 2.59999931E-3 0.563245058 1
0.395408005 2.59801745E-3 0.612776875 1
0.40060252 2.59649754E-3 -0.57201755 1
0.405793011 2.59399414E-3 -1.73317146 1
0.410979509 2.59248912E-3 0.400317341 1
0.416162014 2.59001553E-3 5.01653925E-2 1
0.421340495 2.58848071E-3 -1.07572079 1
0.42651549 2.58651376E-3 0.523914456 1
0.431686521 2.5845021E-3 -4.25919369E-2 1
0.436853528 2.58250535E-3 0.462353289 1
0.442016482 2.58047879E-3 -1.16982007 1
0.44717598 2.57901847E-3 0.844433486 1
0.452331483 2.57648528E-3 0.775558114 1
0.457482994 2.57501006E-3 0.211371526 1
0.46263051 2.57250667E-3 -0.533949375 1
0.470342994 5.13999164E-3 -1.83403277 1
0.478049994 2.56700814E-3 -0.134329304 1
0.483182013 2.56499648E-3 -0.291880488 1
0.488309979 2.56298482E-3 1.08899331 1
0.493433982 2.56100297E-3 0.1877058 1
0.501111507 5.11649251E-3 -1.9259609 1
0.50878346 2.55551934E-3 -0.166536659 1
0.513891995 2.55298615E-3 6.41463771E-2 1
0.518996477 2.55149603E-3 -1.27288926 1
0.524097443 2.54949927E-3 -1.19743121 1
0.529194951 2.54800916E-3 0.229485631 1
0.534288526 2.54550576E-3 -1.59927607 1
0.539377987 2.54398584E-3 -1.20766532 1
0.544463992 2.54201889E-3 0.393161982 1
0.549546003 2.53999233E-3 -0.806391597 1
0.554623961 2.53799558E-3 1.12032628 1
0.559698462 2.53650546E-3 -1.84299636 1
0.564769506 2.53450871E-3 0.757849276 1
0.569836497 2.53251195E-3 1.72918749 1
0.574899554 2.53048539E-3 1.22662592 1
0.579959035 2.52899528E-3 -0.25974071 1
0.585014999 2.52699852E-3 1.21020353 1
0.590067506 2.5255084E-3 1.37669313 1
0.595116496 2.52351165E-3 0.526662171 1
0.600161552 2.52148509E-3 1.34422886 1
0.605203032 2.51999497E-3 1.47239554 1
0.610240996 2.51799822E-3 0.753557742 1
