lambda       flux        ferr     
3699.00      9.87431     0.170175 
3700.00      9.27849     0.169892 
3701.00      8.85517     0.169221 
3702.00      9.05405     0.169272 
3703.00      10.0159     0.168808 
3704.00      10.2324     0.169028 
3705.00      9.85958     0.168845 
3706.00      9.35221     0.168804 
3707.00      8.78596     0.168711 
3708.00      8.43658     0.168491 
3709.00      8.42338     0.168108 
3710.00      8.48080     0.168154 
3711.00      8.99455     0.167354 
3712.00      9.35159     0.167154 
3713.00      9.95072     0.166702 
3714.00      9.47576     0.166416 
3715.00      8.45549     0.166079 
3716.00      8.56961     0.165748 
3717.00      8.83690     0.165773 
3718.00      8.22279     0.166317 
3719.00      8.35081     0.166136 
3720.00      9.47372     0.166070 
3721.00      10.1190     0.167025 
3722.00      12.5825     0.167722 
3723.00      19.1252     0.169541 
3724.00      33.3339     0.171108 
3725.00      59.2952     0.171316 
3726.00      90.5612     0.171084 
3727.00      119.696     0.171487 
3728.00      143.746     0.170311 
3729.00      142.889     0.169760 
3730.00      118.838     0.171172 
3731.00      90.1120     0.168590 
3732.00      48.8719     0.170685 
3733.00      19.6571     0.170204 
3734.00      13.0593     0.164764 
3735.00      11.6268     0.163232 
3736.00      10.9956     0.162680 
3737.00      9.96094     0.162101 
3738.00      8.78965     0.161139 
3739.00      8.59734     0.160546 
3740.00      8.59938     0.159409 
3741.00      8.22777     0.159194 
3742.00      8.26427     0.159049 
3743.00      8.60874     0.158101 
3744.00      8.66780     0.158136 
3745.00      8.50705     0.158504 
3746.00      8.95698     0.157652 
3747.00      8.75551     0.158476 
3748.00      9.27234     0.158320 
3749.00      10.4525     0.158098 
3750.00      11.3289     0.157709 
3751.00      11.7366     0.157278 
3752.00      10.9974     0.156949 
3753.00      10.1340     0.156377 
3754.00      9.05997     0.156432 
3755.00      8.75595     0.155545 
3756.00      8.73989     0.155920 
3757.00      8.91701     0.155717 
3758.00      8.63599     0.155500 
3759.00      8.36974     0.155761 
3760.00      8.42486     0.155274 
3761.00      8.56705     0.155408 
3762.00      9.02677     0.155460 
3763.00      9.05771     0.155157 
3764.00      9.09498     0.155487 
3765.00      9.45720     0.154849 
3766.00      8.85001     0.155279 
3767.00      8.91660     0.154987 
3768.00      9.58938     0.154952 
3769.00      10.6697     0.154921 
3770.00      11.9461     0.154392 
3771.00      12.9985     0.154376 
3772.00      13.1832     0.153714 
3773.00      12.2316     0.152836 
3774.00      9.99654     0.152389 
3775.00      8.77285     0.151754 
3776.00      8.86609     0.150565 
3777.00      8.75834     0.149708 
3778.00      8.62378     0.149255 
3779.00      8.69524     0.147950 
3780.00      8.68970     0.147431 
3781.00      8.84936     0.146314 
3782.00      8.71113     0.145526 
3783.00      8.66372     0.145074 
3784.00      8.91516     0.143833 
3785.00      8.95173     0.143664 
3786.00      8.76787     0.142590 
3787.00      8.41926     0.142275 
3788.00      8.39419     0.141302 
3789.00      8.21850     0.140895 
3790.00      8.22969     0.140210 
3791.00      8.10408     0.139952 
3792.00      8.15470     0.139169 
