lambda       flux        ferr     
4828.00      6.54874    0.0911724 
4829.00      6.38226    0.0912599 
4830.00      6.43388    0.0911672 
4831.00      6.42705    0.0911194 
4832.00      6.49699    0.0910653 
4833.00      6.40795    0.0911741 
4834.00      6.33046    0.0909715 
4835.00      6.40653    0.0910623 
4836.00      6.55691    0.0910150 
4837.00      6.66480    0.0910301 
4838.00      6.62480    0.0909408 
4839.00      6.43981    0.0909915 
4840.00      6.35532    0.0909930 
4841.00      6.46569    0.0908523 
4842.00      6.35773    0.0910296 
4843.00      6.39931    0.0908778 
4844.00      6.48122    0.0908797 
4845.00      6.42336    0.0908370 
4846.00      6.46034    0.0908612 
4847.00      6.49815    0.0907740 
4848.00      6.37506    0.0906726 
4849.00      6.27262    0.0906800 
4850.00      6.33768    0.0905051 
4851.00      6.36920    0.0905137 
4852.00      6.42971    0.0904700 
4853.00      6.44512    0.0905369 
4854.00      6.57530    0.0903600 
4855.00      6.66652    0.0906536 
4856.00      7.63340    0.0913384 
4857.00      13.5408    0.0934531 
4858.00      33.0571    0.0941903 
4859.00      70.2288    0.0936238 
4860.00      119.596    0.0935997 
4861.00      169.695    0.0929099 
4862.00      190.419    0.0926169 
4863.00      169.487    0.0931982 
4864.00      124.809    0.0931059 
4865.00      69.0945    0.0940340 
4866.00      24.8512    0.0957087 
4867.00      9.63343    0.0926218 
4868.00      7.50261    0.0908607 
4869.00      7.00506    0.0907538 
4870.00      6.76470    0.0908939 
4871.00      6.76867    0.0905945 
4872.00      6.54747    0.0908206 
4873.00      6.57736    0.0906750 
4874.00      6.50449    0.0906761 
4875.00      6.29134    0.0907772 
4876.00      6.25658    0.0905505 
4877.00      6.03290    0.0907005 
4878.00      6.09710    0.0905996 
4879.00      6.21296    0.0905820 
4880.00      6.27549    0.0905798 
4881.00      6.24891    0.0904740 
4882.00      6.07846    0.0905387 
4883.00      6.00523    0.0904967 
4884.00      5.93041    0.0905417 
4885.00      6.00475    0.0905991 
4886.00      6.11127    0.0904851 
4887.00      6.15338    0.0907309 
4888.00      6.15540    0.0906045 
4889.00      6.16580    0.0906117 
4890.00      6.06335    0.0906935 
4891.00      6.17301    0.0906537 
4892.00      6.23724    0.0906328 
4893.00      6.06021    0.0906925 
4894.00      6.18934    0.0907828 
4895.00      6.23789    0.0906479 
4896.00      5.92256    0.0908614 
4897.00      6.05444    0.0906211 
4898.00      6.07292    0.0909013 
4899.00      6.12764    0.0907360 
4900.00      6.03499    0.0908231 
4901.00      6.04375    0.0907562 
4902.00      6.05380    0.0909198 
4903.00      6.27238    0.0907099 
4904.00      6.16666    0.0909771 
4905.00      6.29231    0.0908930 
4906.00      6.37443    0.0908476 
4907.00      6.14860    0.0908933 
4908.00      5.94239    0.0908482 
4909.00      5.93349    0.0907257 
4910.00      6.01660    0.0907013 
4911.00      5.95138    0.0907349 
4912.00      6.11730    0.0905302 
4913.00      5.98808    0.0906385 
4914.00      5.94476    0.0906413 
4915.00      6.06624    0.0905902 
4916.00      6.07014    0.0906304 
4917.00      6.11515    0.0906739 
4918.00      6.12987    0.0906088 
4919.00      6.24198    0.0906454 
4920.00      6.65300    0.0907046 
4921.00      7.10777    0.0905180 
4922.00      7.22670    0.0908122 
4923.00      7.52392    0.0903047 
4924.00      7.10362    0.0907262 
4925.00      6.78668    0.0903391 
4926.00      6.29596    0.0905798 
4927.00      6.16858    0.0903308 
4928.00      6.21964    0.0903296 
4929.00      6.17470    0.0902726 
4930.00      6.12467    0.0903538 
4931.00      6.16534    0.0902057 
4932.00      6.24581    0.0903525 
4933.00      6.14707    0.0902119 
4934.00      6.08219    0.0903416 
4935.00      6.18881    0.0902443 
4936.00      6.35460    0.0901914 
4937.00      6.30354    0.0902811 
4938.00      6.29912    0.0902425 
4939.00      6.17578    0.0902420 
4940.00      6.32809    0.0900286 
4941.00      6.17940    0.0902218 
4942.00      6.29194    0.0901542 
4943.00      6.31337    0.0901293 
4944.00      6.11356    0.0900892 
4945.00      6.05434    0.0900208 
4946.00      5.96440    0.0900280 
4947.00      6.14647    0.0899466 
4948.00      6.18170    0.0898483 
4949.00      5.94649    0.0898219 
4950.00      5.88714    0.0898476 
4951.00      6.08818    0.0897384 
4952.00      5.93281    0.0897988 
4953.00      5.96148    0.0897797 
4954.00      6.32653    0.0898461 
4955.00      6.95354    0.0898370 
4956.00      8.08462    0.0899877 
4957.00      9.92480    0.0902197 
4958.00      12.6360    0.0901303 
4959.00      14.7671    0.0899764 
4960.00      15.1482    0.0902255 
4961.00      13.9982    0.0900274 
4962.00      11.6025    0.0898989 
4963.00      8.83413    0.0898769 
4964.00      6.93758    0.0898357 
4965.00      6.39322    0.0894207 
4966.00      6.13786    0.0895320 
4967.00      6.31423    0.0893970 
4968.00      6.28690    0.0893433 
4969.00      6.06901    0.0894209 
4970.00      5.97690    0.0893928 
4971.00      6.20084    0.0892845 
4972.00      6.11214    0.0893123 
4973.00      5.92492    0.0893060 
4974.00      5.85517    0.0892473 
4975.00      5.80267    0.0893905 
4976.00      5.94530    0.0892584 
4977.00      5.85381    0.0892940 
4978.00      5.94739    0.0892778 
4979.00      5.95956    0.0893462 
4980.00      5.94610    0.0893852 
4981.00      6.01165    0.0893031 
4982.00      5.79567    0.0895066 
4983.00      5.85912    0.0893794 
4984.00      5.94802    0.0895335 
4985.00      6.39406    0.0894602 
4986.00      6.45402    0.0894727 
4987.00      6.11741    0.0896598 
4988.00      6.36998    0.0895010 
4989.00      6.14579    0.0896608 
4990.00      5.90828    0.0897192 
4991.00      5.91269    0.0895831 
4992.00      5.90213    0.0897418 
4993.00      5.87261    0.0897888 
4994.00      6.06112    0.0898731 
4995.00      6.17260    0.0897613 
4996.00      5.78655    0.0900244 
4997.00      5.75524    0.0898750 
4998.00      5.82222    0.0901100 
4999.00      5.84483    0.0901134 
5000.00      6.15770    0.0899829 
5001.00      6.15014    0.0903118 
5002.00      6.27751    0.0905650 
5003.00      8.09146    0.0909833 
5004.00      11.9868    0.0913839 
5005.00      18.0528    0.0918269 
5006.00      25.9561    0.0917286 
5007.00      32.2783    0.0917332 
5008.00      33.3599    0.0918359 
5009.00      29.3711    0.0920544 
5010.00      22.0312    0.0916926 
5011.00      13.6681    0.0919075 
5012.00      8.25308    0.0919103 
5013.00      7.07005    0.0912330 
5014.00      7.58737    0.0912506 
5015.00      8.26594    0.0911206 
5016.00      8.71957    0.0911513 
5017.00      8.41586    0.0913848 
5018.00      7.98545    0.0911864 
5019.00      7.32994    0.0913000 
5020.00      6.66896    0.0911991 
5021.00      6.05394    0.0912749 
5022.00      5.93029    0.0911812 
5023.00      5.89861    0.0912630 
5024.00      6.04144    0.0911708 
5025.00      6.11990    0.0912677 
5026.00      5.98987    0.0911163 
5027.00      5.92608    0.0912103 
5028.00      5.99605    0.0913355 
5029.00      6.09820    0.0910045 
5030.00      5.77309    0.0911233 
5031.00      5.52984    0.0911815 
5032.00      5.61676    0.0908744 
5033.00      5.55469    0.0912831 
5034.00      5.77200    0.0910255 
5035.00      5.82162    0.0910213 
5036.00      5.95525    0.0912834 
5037.00      6.14556    0.0910510 
5038.00      5.97698    0.0912115 
5039.00      6.19489    0.0911237 
5040.00      6.20309    0.0911376 
5041.00      6.13561    0.0910405 
5042.00      6.04585    0.0910041 
5043.00      5.94294    0.0910586 
5044.00      6.09158    0.0910475 
5045.00      5.89288    0.0910511 
5046.00      5.98358    0.0909633 
5047.00      5.90154    0.0909164 
5048.00      5.51419    0.0912459 
5049.00      5.76906    0.0908603 
5050.00      5.99321    0.0909658 
5051.00      5.94614    0.0911055 
5052.00      5.84823    0.0909710 
5053.00      5.88015    0.0910159 
5054.00      5.86891    0.0909248 
5055.00      6.07535    0.0909823 
5056.00      6.01920    0.0909187 
5057.00      6.22467    0.0910048 
5058.00      6.39036    0.0910115 
5059.00      6.24433    0.0908927 
5060.00      5.96222    0.0909930 
5061.00      5.71845    0.0909943 
5062.00      5.80315    0.0910028 
5063.00      5.89157    0.0908475 
5064.00      5.78900    0.0911098 
5065.00      5.83944    0.0908594 
5066.00      5.74246    0.0909797 
5067.00      5.77592    0.0908591 
5068.00      5.90908    0.0909481 
5069.00      6.03390    0.0908751 
5070.00      5.86721    0.0908531 
5071.00      5.87421    0.0909717 
5072.00      5.91538    0.0907402 
5073.00      5.84891    0.0909996 
5074.00      5.88847    0.0908302 
5075.00      5.92638    0.0909212 
5076.00      5.77015    0.0909037 
5077.00      5.89985    0.0910523 
5078.00      5.98718    0.0906960 
5079.00      5.83505    0.0910324 
5080.00      5.88085    0.0907014 
5081.00      5.84987    0.0908508 
5082.00      5.88989    0.0908320 
5083.00      5.81086    0.0908133 
5084.00      5.98676    0.0905773 
5085.00      5.65287    0.0908022 
5086.00      5.42240    0.0908043 
5087.00      5.73838    0.0906523 
5088.00      5.87487    0.0907306 
5089.00      5.91220    0.0905734 
5090.00      5.69410    0.0906597 
5091.00      5.87153    0.0906102 
5092.00      5.94545    0.0906974 
5093.00      5.74894    0.0905814 
5094.00      5.64321    0.0908084 
5095.00      5.67192    0.0905526 
5096.00      5.57268    0.0906985 
5097.00      5.59963    0.0905655 
5098.00      5.57201    0.0906861 
5099.00      5.67540    0.0905681 
5100.00      5.75858    0.0906537 
5101.00      5.80304    0.0906501 
5102.00      5.78734    0.0906069 
5103.00      5.61486    0.0906811 
5104.00      5.49205    0.0908347 
5105.00      5.77539    0.0906870 
5106.00      5.72675    0.0907582 
5107.00      5.76293    0.0907846 
5108.00      5.90652    0.0907937 
5109.00      5.83286    0.0908197 
5110.00      5.69993    0.0907971 
5111.00      5.55041    0.0908775 
5112.00      5.62203    0.0906752 
5113.00      5.58603    0.0908742 
5114.00      5.73646    0.0908055 
5115.00      5.71035    0.0908875 
5116.00      5.61263    0.0908003 
5117.00      5.65917    0.0908639 
5118.00      5.77702    0.0907907 
5119.00      5.70516    0.0908049 
5120.00      5.62516    0.0909758 
5121.00      5.69259    0.0908613 
5122.00      5.54255    0.0909878 
5123.00      5.51876    0.0909999 
5124.00      5.57151    0.0909463 
5125.00      5.50182    0.0911500 
5126.00      5.68474    0.0910674 
5127.00      5.91723    0.0909841 
5128.00      5.75521    0.0911730 
5129.00      5.67653    0.0911573 
5130.00      5.65507    0.0912075 
5131.00      5.61748    0.0912434 
5132.00      5.72955    0.0911744 
5133.00      5.64389    0.0914362 
5134.00      5.59206    0.0912545 
5135.00      5.52988    0.0913962 
5136.00      5.54738    0.0914373 
5137.00      5.41381    0.0914562 
5138.00      5.27708    0.0916947 
5139.00      5.63045    0.0915499 
5140.00      5.87697    0.0916925 
5141.00      5.93155    0.0917092 
5142.00      5.81000    0.0918156 
5143.00      5.70409    0.0917623 
5144.00      5.60581    0.0919449 
5145.00      5.73994    0.0919167 
5146.00      5.90641    0.0919803 
5147.00      5.96340    0.0920212 
5148.00      5.85957    0.0919678 
5149.00      5.71120    0.0920679 
5150.00      5.61178    0.0920506 
5151.00      5.64446    0.0920603 
5152.00      5.70586    0.0919918 
5153.00      5.42886    0.0921527 
5154.00      5.40677    0.0918864 
5155.00      5.30734    0.0921444 
5156.00      5.60719    0.0918310 
5157.00      5.75498    0.0919145 
5158.00      5.46227    0.0919477 
5159.00      5.62365    0.0918082 
5160.00      5.61404    0.0919607 
5161.00      5.67174    0.0917873 
5162.00      5.67690    0.0918643 
5163.00      5.55177    0.0919366 
5164.00      5.44653    0.0919956 
5165.00      5.49521    0.0919706 
5166.00      5.56297    0.0920906 
5167.00      5.76543    0.0921955 
5168.00      5.67570    0.0922232 
5169.00      5.78972    0.0923425 
5170.00      5.72946    0.0921966 
5171.00      5.53280    0.0923586 
5172.00      5.47707    0.0921243 
5173.00      5.54827    0.0922134 
5174.00      5.61539    0.0920977 
5175.00      5.65556    0.0922184 
5176.00      5.73554    0.0923112 
5177.00      5.82155    0.0923081 
5178.00      5.62763    0.0924764 
5179.00      5.44604    0.0926222 
5180.00      5.55235    0.0925398 
5181.00      5.62580    0.0927358 
5182.00      5.65098    0.0926145 
5183.00      5.62549    0.0926437 
5184.00      5.50748    0.0927636 
5185.00      5.60718    0.0926475 
5186.00      5.60448    0.0928784 
5187.00      5.60066    0.0928222 
5188.00      5.39666    0.0931839 
5189.00      5.53813    0.0930214 
5190.00      5.51590    0.0933312 
5191.00      5.58703    0.0931853 
5192.00      5.43226    0.0932186 
5193.00      5.56156    0.0932730 
5194.00      5.66973    0.0932297 
5195.00      5.96786    0.0931237 
5196.00      6.22596    0.0933282 
5197.00      6.72334    0.0932953 
5198.00      7.30302    0.0933150 
5199.00      7.83364    0.0933513 
5200.00      7.91403    0.0934888 
5201.00      7.51430    0.0933606 
5202.00      6.90157    0.0935010 
5203.00      6.34456    0.0934333 
5204.00      5.94794    0.0932863 
5205.00      5.58916    0.0933551 
5206.00      5.51208    0.0933652 
5207.00      5.54220    0.0931074 
5208.00      5.48913    0.0932771 
5209.00      5.60979    0.0933719 
5210.00      5.51432    0.0934903 
5211.00      5.72465    0.0932217 
5212.00      5.48963    0.0936800 
5213.00      5.47197    0.0933714 
5214.00      5.55104    0.0934424 
5215.00      5.47074    0.0935642 
5216.00      5.47084    0.0934031 
5217.00      5.39233    0.0934264 
5218.00      5.34586    0.0934707 
5219.00      5.40475    0.0933874 
5220.00      5.44258    0.0934901 
5221.00      5.47991    0.0934783 
5222.00      5.45347    0.0934545 
5223.00      5.47004    0.0935867 
5224.00      5.52496    0.0935456 
5225.00      5.40974    0.0935425 
5226.00      5.19094    0.0937487 
5227.00      5.46968    0.0935567 
5228.00      5.52067    0.0938386 
5229.00      5.45840    0.0938028 
5230.00      5.59516    0.0937992 
5231.00      5.39718    0.0939792 
5232.00      5.24453    0.0938149 
5233.00      5.23436    0.0939653 
5234.00      5.49840    0.0940117 
5235.00      5.48172    0.0939129 
5236.00      5.34109    0.0940352 
5237.00      5.35260    0.0941590 
5238.00      5.25442    0.0940762 
5239.00      5.30490    0.0941555 
5240.00      5.41629    0.0942504 
5241.00      5.38503    0.0943168 
5242.00      5.32729    0.0942326 
5243.00      5.41141    0.0944427 
5244.00      5.47783    0.0944263 
5245.00      5.50744    0.0945169 
5246.00      5.45553    0.0945756 
5247.00      5.27286    0.0947146 
5248.00      5.36785    0.0947028 
5249.00      5.49107    0.0948515 
5250.00      5.34299    0.0947273 
5251.00      5.26045    0.0948506 
5252.00      5.35702    0.0947801 
5253.00      5.25474    0.0948813 
5254.00      5.41225    0.0947035 
5255.00      5.40719    0.0948402 
5256.00      5.26217    0.0948204 
5257.00      5.43859    0.0948271 
5258.00      5.61382    0.0948036 
5259.00      5.53227    0.0950234 
5260.00      5.40742    0.0950074 
5261.00      5.40422    0.0951608 
5262.00      5.52555    0.0951865 
5263.00      5.61354    0.0952878 
5264.00      5.59554    0.0953048 
5265.00      5.41118    0.0954820 
5266.00      5.45146    0.0954673 
5267.00      5.51160    0.0955303 
5268.00      5.37573    0.0957476 
5269.00      5.66652    0.0955900 
5270.00      5.71591    0.0958488 
5271.00      5.56193    0.0957511 
5272.00      5.51165    0.0958452 
5273.00      5.46034    0.0957888 
5274.00      5.34492    0.0959471 
5275.00      5.44100    0.0957620 
5276.00      5.43303    0.0960452 
5277.00      5.52357    0.0960118 
5278.00      5.55269    0.0961180 
5279.00      5.46426    0.0961520 
5280.00      5.44771    0.0962311 
5281.00      5.38726    0.0961483 
5282.00      5.35448    0.0964055 
5283.00      5.48132    0.0961450 
5284.00      5.60485    0.0962636 
5285.00      5.41688    0.0961247 
5286.00      5.22354    0.0962822 
5287.00      5.26421    0.0960762 
5288.00      5.31721    0.0961151 
5289.00      5.24877    0.0960543 
5290.00      5.16020    0.0961344 
5291.00      5.20590    0.0959781 
5292.00      5.17997    0.0961378 
5293.00      5.30256    0.0961378 
5294.00      5.45331    0.0959413 
5295.00      5.35981    0.0961413 
5296.00      5.19925    0.0960203 
5297.00      5.27192    0.0961109 
5298.00      5.28976    0.0961518 
5299.00      5.27092    0.0961291 
5300.00      5.32378    0.0961543 
5301.00      5.13611    0.0963753 
5302.00      5.29749    0.0963755 
5303.00      5.49978    0.0965389 
5304.00      5.52318    0.0966916 
5305.00      5.43255    0.0967031 
5306.00      5.11692    0.0970350 
5307.00      5.04587    0.0970948 
5308.00      5.26497    0.0973607 
5309.00      5.54525    0.0974989 
5310.00      5.57598    0.0978377 
5311.00      5.60823    0.0978596 
5312.00      5.45401    0.0983044 
5313.00      5.45400    0.0985256 
5314.00      5.60336    0.0986852 
5315.00      5.60677    0.0988000 
5316.00      5.43310    0.0991981 
5317.00      5.44020    0.0992879 
5318.00      5.38967    0.0995477 
5319.00      5.58970    0.0998088 
5320.00      5.66730    0.0999914 
5321.00      5.68940     0.100102 
5322.00      5.46643     0.100443 
5323.00      5.46669     0.100638 
5324.00      5.57416     0.100608 
5325.00      5.33696     0.100883 
5326.00      5.25268     0.101001 
5327.00      5.42966     0.100928 
5328.00      5.45753     0.101029 
5329.00      5.33054     0.101184 
5330.00      5.48564     0.101178 
5331.00      5.66315     0.100992 
5332.00      5.40611     0.101380 
5333.00      5.41952     0.101114 
5334.00      5.39076     0.101253 
5335.00      5.55561     0.101281 
5336.00      5.39508     0.101523 
5337.00      5.25088     0.101123 
5338.00      5.30409     0.101380 
5339.00      5.38201     0.101245 
5340.00      5.21385     0.101486 
5341.00      5.37333     0.101384 
5342.00      5.38440     0.101377 
5343.00      5.36374     0.101436 
5344.00      5.32117     0.101592 
5345.00      5.13458     0.101651 
5346.00      5.31405     0.101538 
5347.00      5.49251     0.101773 
5348.00      5.47455     0.101692 
5349.00      5.46471     0.101737 
5350.00      5.47691     0.102027 
5351.00      5.48501     0.101512 
5352.00      5.18906     0.102068 
5353.00      5.12560     0.101895 
5354.00      5.18773     0.101989 
5355.00      5.42452     0.101798 
5356.00      5.40824     0.102119 
5357.00      5.19828     0.102333 
5358.00      5.49360     0.102054 
5359.00      5.50344     0.102158 
5360.00      5.32885     0.102083 
5361.00      5.19472     0.102261 
5362.00      5.24153     0.102277 
5363.00      5.35026     0.102404 
5364.00      5.29439     0.102407 
5365.00      5.34598     0.102518 
5366.00      5.24503     0.102520 
5367.00      5.22169     0.102523 
5368.00      5.25394     0.102791 
5369.00      5.61872     0.102634 
5370.00      5.67475     0.102692 
5371.00      5.38775     0.102770 
5372.00      5.13677     0.102673 
5373.00      5.12977     0.102765 
5374.00      5.32309     0.102951 
5375.00      5.41977     0.102883 
5376.00      5.21419     0.102879 
5377.00      5.21177     0.102923 
5378.00      5.15516     0.102964 
5379.00      5.11788     0.103086 
5380.00      5.19855     0.102939 
5381.00      5.29002     0.103136 
5382.00      5.25651     0.103118 
5383.00      5.09062     0.103194 
5384.00      5.01249     0.103019 
5385.00      5.05350     0.103224 
5386.00      5.07799     0.103097 
5387.00      4.88836     0.103266 
5388.00      5.02195     0.103214 
5389.00      5.07212     0.103093 
5390.00      4.98740     0.103110 
5391.00      5.08541     0.103199 
5392.00      5.08061     0.103241 
5393.00      5.05517     0.103182 
5394.00      5.05396     0.103273 
5395.00      5.25693     0.103049 
5396.00      5.06710     0.103247 
5397.00      5.11570     0.103241 
5398.00      5.26612     0.103052 
5399.00      5.19899     0.103205 
5400.00      5.17520     0.103104 
5401.00      5.24554     0.103241 
5402.00      5.21874     0.103326 
5403.00      5.19585     0.103145 
5404.00      5.16470     0.103359 
5405.00      5.07562     0.103287 
5406.00      5.14836     0.103122 
5407.00      5.20666     0.103304 
5408.00      4.99964     0.103331 
5409.00      4.97198     0.103284 
5410.00      5.06379     0.103337 
5411.00      4.84837     0.103380 
5412.00      4.86895     0.103324 
5413.00      4.84770     0.103448 
5414.00      4.98089     0.103355 
5415.00      5.12699     0.103454 
5416.00      5.05813     0.103526 
5417.00      5.23801     0.103592 
5418.00      5.26207     0.103492 
5419.00      5.22805     0.103760 
5420.00      5.33201     0.103632 
5421.00      5.28201     0.103844 
5422.00      5.36053     0.103721 
5423.00      5.23168     0.103821 
5424.00      5.16149     0.103905 
5425.00      5.11216     0.103868 
5426.00      4.91570     0.103839 
5427.00      5.00187     0.104124 
5428.00      5.47542     0.104166 
5429.00      5.27208     0.104070 
5430.00      5.23905     0.104354 
5431.00      5.48046     0.104249 
5432.00      5.42441     0.104262 
5433.00      5.04213     0.104307 
5434.00      4.96114     0.104204 
5435.00      5.18340     0.104248 
5436.00      5.08851     0.104286 
5437.00      5.21180     0.104284 
5438.00      5.39228     0.104301 
5439.00      5.21361     0.104259 
5440.00      5.05001     0.104448 
5441.00      5.02495     0.104395 
5442.00      5.25875     0.104310 
5443.00      5.41298     0.104410 
5444.00      5.41127     0.104394 
5445.00      5.44498     0.104291 
5446.00      5.32121     0.104497 
5447.00      5.25545     0.104503 
5448.00      5.42166     0.104701 
5449.00      5.48177     0.104757 
5450.00      5.26999     0.105016 
5451.00      5.04608     0.105185 
5452.00      5.36841     0.104960 
5453.00      5.28245     0.105293 
5454.00      5.32059     0.105182 
5455.00      5.38730     0.104848 
5456.00      5.04137     0.104984 
5457.00      5.01245     0.104872 
5458.00      5.06396     0.104815 
5459.00      4.91422     0.104989 
5460.00      5.11222     0.104836 
5461.00      5.07400     0.105000 
5462.00      4.91550     0.104980 
5463.00      4.99517     0.105070 
5464.00      5.13449     0.105007 
5465.00      5.00296     0.105255 
5466.00      5.15167     0.105036 
5467.00      5.10378     0.105278 
5468.00      5.24906     0.105215 
5469.00      5.18034     0.105375 
5470.00      5.38892     0.105328 
5471.00      5.47942     0.105557 
5472.00      5.35124     0.105499 
5473.00      5.20289     0.105674 
5474.00      5.29247     0.105684 
5475.00      5.33738     0.105752 
5476.00      5.34447     0.105567 
5477.00      4.96111     0.105986 
5478.00      4.94897     0.105682 
5479.00      4.92103     0.105697 
5480.00      4.91982     0.106045 
5481.00      4.97026     0.105903 
5482.00      5.04190     0.106033 
5483.00      5.04284     0.106154 
5484.00      4.95400     0.106299 
5485.00      5.18003     0.106271 
5486.00      5.27149     0.106399 
5487.00      5.11158     0.106622 
5488.00      4.98686     0.106425 
5489.00      4.92491     0.106743 
5490.00      4.88560     0.106646 
5491.00      4.79421     0.106834 
5492.00      4.99291     0.106925 
5493.00      5.03963     0.106969 
5494.00      5.10509     0.107085 
5495.00      5.01889     0.107354 
5496.00      5.10211     0.107182 
5497.00      4.98268     0.107537 
5498.00      5.16028     0.107435 
5499.00      5.26320     0.107600 
5500.00      5.15865     0.107835 
5501.00      5.24029     0.107691 
5502.00      5.16597     0.107904 
5503.00      4.83060     0.107998 
5504.00      4.85405     0.108060 
5505.00      4.98710     0.108164 
5506.00      4.90725     0.108312 
5507.00      4.75582     0.108368 
5508.00      4.74634     0.108393 
5509.00      4.88012     0.108758 
5510.00      5.10142     0.108631 
5511.00      5.07194     0.108765 
5512.00      4.92683     0.108887 
5513.00      4.93600     0.109040 
5514.00      5.02343     0.109000 
5515.00      5.05411     0.109211 
5516.00      5.24191     0.109281 
5517.00      5.27711     0.109526 
5518.00      5.57877     0.109430 
5519.00      5.71904     0.109828 
5520.00      5.79282     0.109718 
5521.00      5.38758     0.109981 
5522.00      5.06156     0.110063 
5523.00      4.91615     0.110181 
5524.00      4.87942     0.110191 
5525.00      4.85786     0.110512 
5526.00      4.90139     0.110539 
5527.00      4.90373     0.110870 
5528.00      4.91548     0.110800 
5529.00      4.90108     0.111299 
5530.00      5.03919     0.111294 
5531.00      4.86440     0.111610 
5532.00      4.88086     0.111867 
5533.00      4.94660     0.112099 
5534.00      4.90372     0.112295 
5535.00      4.92857     0.112596 
5536.00      5.10600     0.112691 
5537.00      5.00875     0.113042 
5538.00      5.06560     0.113175 
5539.00      5.16956     0.113359 
5540.00      5.20055     0.113632 
5541.00      5.00691     0.113718 
5542.00      4.66532     0.114243 
5543.00      4.71695     0.114011 
5544.00      4.83211     0.114533 
5545.00      4.82210     0.114503 
5546.00      4.96060     0.115063 
5547.00      5.03501     0.115233 
5548.00      5.14751     0.115419 
5549.00      5.09812     0.115895 
5550.00      4.91598     0.116183 
5551.00      4.88432     0.116656 
5552.00      4.99365     0.116727 
5553.00      4.89716     0.117469 
5554.00      4.90661     0.117579 
5555.00      4.88647     0.118042 
5556.00      4.97424     0.118589 
5557.00      5.21486     0.118707 
5558.00      5.04900     0.119483 
5559.00      4.93338     0.119563 
5560.00      4.77874     0.120252 
5561.00      4.81075     0.120796 
5562.00      5.36089     0.123181 
5563.00      5.99263     0.125682 
5564.00      6.25742     0.127240 
5565.00      6.18909     0.128228 
5566.00      4.97158     0.128849 
5567.00      4.23796     0.129662 
5568.00      4.03804     0.130138 
5569.00      4.20625     0.130706 
5570.00      4.99438     0.131908 
5571.00      5.64702     0.132092 
5572.00      5.92468     0.133061 
5573.00      5.90188     0.133376 
5574.00      5.44411     0.130790 
5575.00      5.30973     0.129517 
5576.00      5.01808     0.130454 
5577.00      4.80632     0.131358 
5578.00      4.84585     0.131736 
5579.00      4.97715     0.132772 
5580.00      5.13250     0.133717 
5581.00      5.35677     0.134412 
5582.00      5.28752     0.135445 
5583.00      5.16076     0.136234 
5584.00      5.23774     0.137217 
5585.00      5.21325     0.138267 
5586.00      5.17216     0.139116 
5587.00      5.02068     0.140327 
5588.00      5.17100     0.141191 
5589.00      5.45729     0.142573 
5590.00      5.47716     0.143380 
5591.00      5.42140     0.144465 
5592.00      5.17987     0.145840 
5593.00      5.13018     0.147010 
5594.00      4.94525     0.148430 
5595.00      4.94362     0.149632 
5596.00      5.10217     0.151260 
5597.00      5.18678     0.152282 
5598.00      5.20131     0.153979 
5599.00      5.36375     0.154949 
5600.00      5.07844     0.156704 
5601.00      4.97317     0.157587 
5602.00      5.13701     0.159174 
5603.00      5.28491     0.160627 
5604.00      5.34314     0.161954 
5605.00      5.09855     0.163726 
5606.00      4.95227     0.165114 
5607.00      5.07756     0.167379 
5608.00      5.36746     0.168659 
5609.00      5.35382     0.170964 
5610.00      5.21476     0.172231 
5611.00      4.85053     0.174758 
5612.00      5.10027     0.176410 
5613.00      5.10203     0.178578 
5614.00      5.21599     0.180463 
5615.00      5.07868     0.182272 
5616.00      4.85942     0.184641 
5617.00      5.28354     0.186633 
5618.00      5.23175     0.188974 
5619.00      5.16771     0.191343 
5620.00      5.27659     0.192932 
5621.00      5.15334     0.195917 
5622.00      5.13401     0.198216 
5623.00      5.48781     0.200591 
5624.00      5.83100     0.203205 
5625.00      5.41097     0.206060 
5626.00      5.33886     0.208454 
5627.00      5.46117     0.211476 
5628.00      5.50806     0.213835 
5629.00      5.02864     0.216721 
5630.00      5.18408     0.219829 
5631.00      5.14435     0.223029 
5632.00      5.27596     0.225261 
5633.00      5.37323     0.229600 
5634.00      5.48072     0.232205 
5635.00      5.30643     0.235819 
5636.00      5.40800     0.238809 
5637.00      5.65404     0.242322 
5638.00      5.36796     0.245556 
5639.00      4.89712     0.249009 
5640.00      5.29892     0.252619 
5641.00      5.49270     0.256391 
5642.00      5.20789     0.260158 
5643.00      5.34380     0.264010 
5644.00      5.55379     0.267800 
5645.00      5.32193     0.271763 
5646.00      5.41979     0.276540 
5647.00      5.57013     0.280384 
5648.00      5.01141     0.285420 
5649.00      5.10196     0.289036 
5650.00      5.21947     0.295212 
5700.00      4.90932    0.0392142 
5701.00      4.99631    0.0392695 
5702.00      5.15050    0.0389934 
5703.00      5.13308    0.0388640 
5704.00      4.99965    0.0388884 
5705.00      4.95908    0.0387157 
5706.00      4.92381    0.0385508 
5707.00      4.81831    0.0384471 
5708.00      4.72252    0.0384419 
5709.00      4.73643    0.0382034 
5710.00      4.73840    0.0382025 
5711.00      4.79426    0.0380084 
5712.00      4.81289    0.0380109 
5713.00      4.77588    0.0377773 
5714.00      4.72667    0.0377884 
5715.00      4.81336    0.0376334 
5716.00      4.93112    0.0375543 
5717.00      4.92500    0.0374193 
5718.00      4.80764    0.0373582 
