#
# Nicastro et al. 2018 RGS2 Spectrum
#
# Column1: wavelength (angstrom), column2: err_wavelength
# Column3: flux (Jansky), column4: err_flux
# Column 5: Best-fit model, 6: continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           continuum
8.020000460000000331e+00        1.999999209999999902e-02        1.738928179999999930e-06        6.743827189999999710e-08        1.768121710000000042e-06        1.768121710000000042e-06
8.060000419999999721e+00        2.000011689999999995e-02        1.655167349999999986e-06        6.008013999999999763e-08        1.781700689999999988e-06        1.781700689999999988e-06
8.095000269999999887e+00        1.499963370000000074e-02        1.765267140000000085e-06        7.049309400000000481e-08        1.793868019999999920e-06        1.793868019999999920e-06
8.125000000000000000e+00        1.500057519999999957e-02        1.775112880000000089e-06        7.074147849999999996e-08        1.804249560000000018e-06        1.804249560000000018e-06
8.160000800000000609e+00        1.999979840000000106e-02        1.627806800000000002e-06        5.928342260000000124e-08        1.816207830000000105e-06        1.816207830000000105e-06
8.195000650000000775e+00        1.499993820000000005e-02        1.793741600000000001e-06        7.146193330000000183e-08        1.828197470000000059e-06        1.828197470000000059e-06
8.225000380000000888e+00        1.499970999999999943e-02        1.771541289999999961e-06        7.077203889999999424e-08        1.838897900000000094e-06        1.838897900000000094e-06
8.260000229999999277e+00        2.000001070000000103e-02        1.708103470000000096e-06        6.211762130000000082e-08        1.850932449999999906e-06        1.850932449999999906e-06
8.300000190000000444e+00        2.000011319999999912e-02        1.692655020000000005e-06        6.186960629999999606e-08        1.864717769999999995e-06        1.864717769999999995e-06
8.335000040000000610e+00        1.500015149999999950e-02        1.862512479999999910e-06        7.319788860000000557e-08        1.877093950000000070e-06        1.877093950000000070e-06
8.365000719999999390e+00        1.500034610000000081e-02        1.861422449999999995e-06        7.355068020000000193e-08        1.887601339999999926e-06        1.887601339999999926e-06
8.395000460000000331e+00        1.499971469999999973e-02        1.896910360000000098e-06        7.476599249999999523e-08        1.898000390000000014e-06        1.898000390000000014e-06
8.430000310000000496e+00        1.999984499999999873e-02        1.773709980000000052e-06        6.322112259999999685e-08        1.910170570000000120e-06        1.910170570000000120e-06
8.470000269999999887e+00        2.000005919999999979e-02        1.840094679999999938e-06        6.700311420000000117e-08        1.924485100000000115e-06        1.924485100000000115e-06
8.510000229999999277e+00        2.000001449999999972e-02        2.053983280000000066e-06        7.508869259999999623e-08        1.938434709999999854e-06        1.938434709999999854e-06
8.550000190000000444e+00        2.000010389999999985e-02        1.953915440000000150e-06        7.636555209999999490e-08        1.952442969999999953e-06        1.952442969999999953e-06
8.595000269999999887e+00        2.499985689999999899e-02        1.900770599999999946e-06        7.061682790000000599e-08        1.968588089999999875e-06        1.968588089999999875e-06
8.640000340000000278e+00        2.000026779999999893e-02        1.900309369999999939e-06        7.191513160000000134e-08        1.984388519999999869e-06        1.984388519999999869e-06
8.675000190000000444e+00        1.499963739999999983e-02        1.987599720000000080e-06        7.617215659999999574e-08        1.996754920000000043e-06        1.996754920000000043e-06
8.704999920000000557e+00        1.500010119999999926e-02        1.991692220000000075e-06        7.574792699999999764e-08        2.007690000000000000e-06        2.007690000000000000e-06
8.735000610000000165e+00        1.500023059999999915e-02        1.891790020000000047e-06        7.521756370000000050e-08        2.018274020000000004e-06        2.018274020000000004e-06
8.765000340000000278e+00        1.499966070000000040e-02        2.091669779999999879e-06        7.727177830000000577e-08        2.028872810000000011e-06        2.028872810000000011e-06
8.800000190000000444e+00        1.999995670000000170e-02        1.936373789999999793e-06        6.575635330000000508e-08        2.041409059999999886e-06        2.041409059999999886e-06
8.835000040000000610e+00        1.500041499999999958e-02        1.929897729999999961e-06        7.581646600000000502e-08        2.054081279999999807e-06        2.054081279999999807e-06
8.865000719999999390e+00        1.499969509999999999e-02        1.924305930000000063e-06        7.540261039999999851e-08        2.064727820000000020e-06        2.064727820000000020e-06
8.895000460000000331e+00        1.500020919999999966e-02        1.931382030000000085e-06        7.551823700000000109e-08        2.075388009999999985e-06        2.075388009999999985e-06
8.925000190000000444e+00        1.500008440000000047e-02        2.039637819999999892e-06        7.755913600000000352e-08        2.086284669999999912e-06        2.086284669999999912e-06
8.955000880000000052e+00        1.500009000000000065e-02        1.922288450000000032e-06        7.652533180000000188e-08        2.097173359999999938e-06        2.097173359999999938e-06
8.985000610000000165e+00        1.499946509999999962e-02        1.946940979999999944e-06        7.660242569999999836e-08        2.107873340000000034e-06        2.107873340000000034e-06
9.015000340000000278e+00        1.500016640000000068e-02        1.975497530000000120e-06        7.807107489999999716e-08        2.118586280000000132e-06        2.118586280000000132e-06
9.050000190000000444e+00        1.999999020000000141e-02        1.944174530000000099e-06        6.954402209999999933e-08        2.131383100000000146e-06        2.131383100000000146e-06
9.085000040000000610e+00        1.500031070000000001e-02        2.208726530000000018e-06        8.535330660000000513e-08        2.144058729999999942e-06        2.144058729999999942e-06
9.120000839999999442e+00        1.999989710000000045e-02        2.127402689999999969e-06        7.481766320000000051e-08        2.156603609999999994e-06        2.156603609999999994e-06
9.155000689999999608e+00        1.500027070000000025e-02        2.168455239999999915e-06        8.559463539999999941e-08        2.169280149999999915e-06        2.169280149999999915e-06
9.190000530000000722e+00        1.999951900000000032e-02        2.152682550000000174e-06        7.355555449999999896e-08        2.182174970000000094e-06        2.182174970000000094e-06
9.225000380000000888e+00        1.499979100000000017e-02        2.096054909999999843e-06        7.904185400000000042e-08        2.194771699999999978e-06        2.194771699999999978e-06
9.255000109999999225e+00        1.500032939999999988e-02        2.132329879999999866e-06        7.914990619999999725e-08        2.205578769999999966e-06        2.205578769999999966e-06
9.284999850000000166e+00        1.499992420000000048e-02        2.113086569999999923e-06        8.039366859999999538e-08        2.216665049999999947e-06        2.216665049999999947e-06
9.314999580000000279e+00        1.499981709999999996e-02        2.117172019999999967e-06        8.339121389999999580e-08        2.227655390000000036e-06        2.227655390000000036e-06
9.345000269999999887e+00        1.500045040000000038e-02        2.154752109999999814e-06        8.378565749999999502e-08        2.238493610000000154e-06        2.238493610000000154e-06
9.380000109999999225e+00        1.999965680000000134e-02        2.148496610000000039e-06        7.652439389999999573e-08        2.251148319999999873e-06        2.251148319999999873e-06
9.420000079999999443e+00        1.999995480000000062e-02        2.158525150000000134e-06        7.528242210000000259e-08        2.266059249999999983e-06        2.266059249999999983e-06
9.455000880000000052e+00        1.500068230000000009e-02        2.353852319999999864e-06        8.497692509999999484e-08        2.280754640000000035e-06        2.280754640000000035e-06
9.485000610000000165e+00        1.499957870000000019e-02        2.069127049999999887e-06        8.110203710000000411e-08        2.295696050000000173e-06        2.295696050000000173e-06
9.515000340000000278e+00        1.499972769999999983e-02        2.351323930000000029e-06        8.544663639999999403e-08        2.306819620000000110e-06        2.306819620000000110e-06
9.545000079999999443e+00        1.500029490000000069e-02        2.292651739999999938e-06        8.641978159999999881e-08        2.318078940000000141e-06        2.318078940000000141e-06
9.575000760000000000e+00        1.500041780000000054e-02        2.274056899999999894e-06        8.756769179999999806e-08        2.329065640000000155e-06        2.329065640000000155e-06
9.605000499999999164e+00        1.499920620000000024e-02        2.237924260000000118e-06        8.430085069999999868e-08        2.340060749999999972e-06        2.340060749999999972e-06
9.635000229999999277e+00        1.500021850000000066e-02        2.188612829999999845e-06        8.569602980000000143e-08        2.351235029999999841e-06        2.351235029999999841e-06
9.665000920000000662e+00        1.500036939999999965e-02        2.369744610000000195e-06        8.007148010000000527e-08        2.362516169999999826e-06        2.362516169999999826e-06
9.695000650000000775e+00        1.499964860000000018e-02        2.165143539999999789e-06        7.741778769999999896e-08        2.373536289999999946e-06        2.373536289999999946e-06
9.725000380000000888e+00        1.499986830000000007e-02        2.287536289999999838e-06        7.859050300000000248e-08        2.384563910000000167e-06        2.384563910000000167e-06
9.755001070000000496e+00        1.500060410000000032e-02        2.348436060000000191e-06        7.956992220000000214e-08        2.395785710000000043e-06        2.395785710000000043e-06
9.785000800000000609e+00        1.499957220000000015e-02        2.335258840000000095e-06        8.026962919999999773e-08        2.407084139999999856e-06        2.407084139999999856e-06
9.815000530000000722e+00        1.500045319999999960e-02        2.372158860000000187e-06        8.061464030000000038e-08        2.418134049999999830e-06        2.418134049999999830e-06
9.845001220000000330e+00        1.499956749999999985e-02        2.387465659999999957e-06        8.779407780000000018e-08        2.429190999999999931e-06        2.429190999999999931e-06
9.875000950000000444e+00        1.500017380000000060e-02        2.488978450000000191e-06        9.487124690000000390e-08        2.440455999999999814e-06        2.440455999999999814e-06
9.915000920000000662e+00        2.499975449999999877e-02        2.576097590000000144e-06        9.420885760000000100e-08        2.455453109999999986e-06        2.455453109999999986e-06
9.965000149999999834e+00        2.499999660000000110e-02        2.070074059999999806e-06        1.232494920000000053e-07        2.473920400000000035e-06        2.473920400000000035e-06
1.001500030000000052e+01        2.499980480000000074e-02        2.135963770000000040e-06        1.013072720000000025e-07        2.492800380000000195e-06        2.492800380000000195e-06
1.006000039999999984e+01        2.000020070000000164e-02        2.544277779999999798e-06        8.782595269999999824e-08        2.509499609999999927e-06        2.509499609999999927e-06
1.009500030000000059e+01        1.499989070000000077e-02        2.689430179999999821e-06        9.661696509999999800e-08        2.522458770000000141e-06        2.522458770000000141e-06
1.012500099999999925e+01        1.500046629999999930e-02        2.496734400000000017e-06        8.449094220000000341e-08        2.533950460000000083e-06        2.533950460000000083e-06
1.015500070000000044e+01        1.499975750000000045e-02        2.672986739999999830e-06        8.707548459999999616e-08        2.545131340000000176e-06        2.545131340000000176e-06
1.018500039999999984e+01        1.500024460000000046e-02        2.479356450000000133e-06        8.428590800000000159e-08        2.556250819999999888e-06        2.556250819999999888e-06
1.021500110000000028e+01        1.499995309999999950e-02        2.677283649999999955e-06        8.658084739999999389e-08        2.567374849999999799e-06        2.567374849999999799e-06
1.024000069999999951e+01        1.000025870000000039e-02        2.641247650000000068e-06        1.050036500000000060e-07        2.577021629999999961e-06        2.577021629999999961e-06
1.026500129999999977e+01        1.499974630000000010e-02        2.494198720000000208e-06        8.344765939999999452e-08        2.586371240000000201e-06        2.586371240000000201e-06
1.029000090000000078e+01        9.999913160000000259e-03        2.713434470000000034e-06        1.063955890000000000e-07        2.595651039999999834e-06        2.595651039999999834e-06
1.031500050000000002e+01        1.499993540000000083e-02        2.540169360000000075e-06        8.458032849999999421e-08        2.604929480000000039e-06        2.604929480000000039e-06
