#
# Nicastro et al. 2018 RGS1 Spectrum
#
# Column1: wavelength (angstrom), column2: err_wavelength
# Column3: flux (Jansky), column4: err_flux
# Column 5: Best-fit model, 6: continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           continuum
9.575000760000000000e+00        1.500041780000000054e-02        2.381579859999999990e-06        8.420627039999999993e-08        2.329065640000000155e-06        2.329065640000000155e-06
9.605000499999999164e+00        1.499920620000000024e-02        2.355552169999999871e-06        8.330251690000000140e-08        2.340060749999999972e-06        2.340060749999999972e-06
9.635000229999999277e+00        1.500021850000000066e-02        2.401939579999999826e-06        8.605995559999999679e-08        2.351235029999999841e-06        2.351235029999999841e-06
9.665000920000000662e+00        1.500036939999999965e-02        2.268686790000000130e-06        8.796412490000000117e-08        2.362516169999999826e-06        2.362516169999999826e-06
9.695000650000000775e+00        1.499964860000000018e-02        2.504080159999999906e-06        8.817224990000000224e-08        2.373536289999999946e-06        2.373536289999999946e-06
9.725000380000000888e+00        1.499986830000000007e-02        2.295298150000000138e-06        8.634468430000000021e-08        2.384563910000000167e-06        2.384563910000000167e-06
9.755001070000000496e+00        1.500060410000000032e-02        2.388115490000000130e-06        7.970080420000000057e-08        2.395785710000000043e-06        2.395785710000000043e-06
9.785000800000000609e+00        1.499957220000000015e-02        2.293087849999999879e-06        7.870930569999999346e-08        2.407084139999999856e-06        2.407084139999999856e-06
9.815000530000000722e+00        1.500045319999999960e-02        2.467730840000000171e-06        8.039454969999999666e-08        2.418134049999999830e-06        2.418134049999999830e-06
9.845001220000000330e+00        1.499956749999999985e-02        2.320947939999999926e-06        7.857477869999999447e-08        2.429190999999999931e-06        2.429190999999999931e-06
9.869999890000000775e+00        9.999682200000000257e-03        2.578555500000000117e-06        1.005870300000000023e-07        2.438492399999999991e-06        2.438492399999999991e-06
9.890000340000000278e+00        1.000027920000000001e-02        2.491896569999999859e-06        9.902417019999999851e-08        2.446234020000000138e-06        2.446234020000000138e-06
9.915000920000000662e+00        1.500048210000000035e-02        2.493335390000000176e-06        8.137391210000000468e-08        2.455459480000000012e-06        2.455459480000000012e-06
9.940000530000000722e+00        9.999528529999999332e-03        2.562578859999999797e-06        1.012193919999999939e-07        2.464692899999999961e-06        2.464692899999999961e-06
9.960000989999999277e+00        1.000022520000000067e-02        2.666089809999999860e-06        1.011980260000000056e-07        2.472080950000000155e-06        2.472080950000000155e-06
9.985000610000000165e+00        1.499974729999999958e-02        2.350325760000000028e-06        7.931924269999999340e-08        2.481386449999999841e-06        2.481386449999999841e-06
1.001000020000000035e+01        1.000020469999999932e-02        2.579131660000000080e-06        1.023501280000000011e-07        2.491007760000000149e-06        2.491007760000000149e-06
1.003000070000000044e+01        9.999579749999999365e-03        2.655929169999999994e-06        1.011327980000000048e-07        2.498404460000000169e-06        2.498404460000000169e-06
1.005500029999999967e+01        1.500033769999999968e-02        2.449810150000000006e-06        8.101847020000000556e-08        2.507651970000000196e-06        2.507651970000000196e-06
1.008500100000000010e+01        1.500050539999999918e-02        2.494213960000000010e-06        8.822367899999999668e-08        2.518756670000000080e-06        2.518756670000000080e-06
1.011500069999999951e+01        1.499938030000000019e-02        2.630583140000000102e-06        8.941290729999999990e-08        2.530097850000000172e-06        2.530097850000000172e-06
1.014500050000000009e+01        1.499991680000000056e-02        2.566969670000000037e-06        9.290887700000000546e-08        2.541425600000000040e-06        2.541425600000000040e-06
1.017500019999999950e+01        1.499966810000000032e-02        2.683881119999999956e-06        9.502132770000000122e-08        2.552543490000000125e-06        2.552543490000000125e-06
1.020500089999999993e+01        1.500113770000000013e-02        2.499538599999999792e-06        9.210481979999999538e-08        2.563666380000000136e-06        2.563666380000000136e-06
1.023500160000000037e+01        1.499982740000000044e-02        2.698027629999999899e-06        9.043017000000000434e-08        2.575040979999999910e-06        2.575040979999999910e-06
1.026000119999999960e+01        9.999380449999999490e-03        2.575160349999999879e-06        9.945465249999999629e-08        2.584517689999999996e-06        2.584517689999999996e-06
1.028500080000000061e+01        1.500027810000000017e-02        2.478159789999999877e-06        8.205899600000000580e-08        2.593793170000000052e-06        2.593793170000000052e-06
1.031000039999999984e+01        9.999985810000000530e-03        2.716088370000000087e-06        1.025138019999999971e-07        2.603075249999999909e-06        2.603075249999999909e-06
1.033000089999999993e+01        1.000034619999999944e-02        2.501211380000000071e-06        9.954455039999999797e-08        2.610500810000000010e-06        2.610500810000000010e-06
1.035000040000000077e+01        9.999453090000000668e-03        2.710034550000000069e-06        1.040928269999999989e-07        2.618098280000000085e-06        2.618098280000000085e-06
