#
# QSO damped Ly-alpha (DLA) System
# Background QSO J021741.8-370100 (z_em=2.910)
# DLA redshift: z_abs=2.429
#
# Source: ESO UVES Database
# Table : spectrum_qso_34.424-37.017.tbl
#
wave      flux_norm     model
4007.147  1.02562e+00   9.9201928503131775e-01
4007.174  1.00408e+00   9.9201661526452967e-01
4007.201  9.84182e-01   9.9201394415891320e-01
4007.228  1.01107e+00   9.9201127171297399e-01
4007.255  1.03235e+00   9.9200859793570695e-01
4007.282  1.02232e+00   9.9200592280422284e-01
4007.309  1.03666e+00   9.9200324633032899e-01
4007.336  1.07679e+00   9.9200056852552132e-01
4007.364  1.06762e+00   9.9199788937651001e-01
4007.391  1.01813e+00   9.9199520886969395e-01
4007.418  9.92446e-01   9.9199252702616836e-01
4007.445  1.04753e+00   9.9198984383514366e-01
4007.472  1.09051e+00   9.9198715929632175e-01
4007.499  9.97817e-01   9.9198447340913309e-01
4007.526  9.53002e-01   9.9198178617267652e-01
4007.553  1.00917e+00   9.9197909758571667e-01
4007.580  9.83626e-01   9.9197640764674833e-01
4007.607  9.38020e-01   9.9197371636475784e-01
4007.634  9.75900e-01   9.9197102371684587e-01
4007.662  9.94173e-01   9.9196832971480953e-01
4007.689  9.64777e-01   9.9196563437013563e-01
4007.716  1.00820e+00   9.9196293766952393e-01
4007.743  1.01677e+00   9.9196023959936364e-01
4007.770  1.00570e+00   9.9195754018074067e-01
4007.797  1.07203e+00   9.9195483940285545e-01
4007.824  1.08725e+00   9.9195213726539921e-01
4007.851  9.84693e-01   9.9194943376779354e-01
4007.878  8.60963e-01   9.9194672890912694e-01
4007.905  8.35469e-01   9.9194402268815451e-01
4007.933  9.04436e-01   9.9194131510336148e-01
4007.960  9.27692e-01   9.9193860616372287e-01
4007.987  1.00001e+00   9.9193589584633135e-01
4008.014  1.04976e+00   9.9193318416297349e-01
4008.041  1.06094e+00   9.9193047112512489e-01
4008.068  1.04086e+00   9.9192775671947631e-01
4008.095  1.02222e+00   9.9192504093240841e-01
4008.122  9.31973e-01   9.9192232378499490e-01
4008.149  9.19562e-01   9.9191960526642731e-01
4008.176  1.02530e+00   9.9191688537638745e-01
4008.204  1.06766e+00   9.9191416411428579e-01
4008.231  1.03038e+00   9.9191144147920218e-01
4008.258  9.99211e-01   9.9190871746988030e-01
4008.285  1.01808e+00   9.9190599208479602e-01
4008.312  1.05843e+00   9.9190326533291429e-01
4008.339  1.07187e+00   9.9190053719131854e-01
4008.366  1.05265e+00   9.9189780767178393e-01
4008.393  1.00000e+00   9.9189507678577682e-01
4008.420  9.89786e-01   9.9189234451997799e-01
4008.447  1.07213e+00   9.9188961086075822e-01
4008.474  1.12739e+00   9.9188687582918023e-01
4008.502  1.12505e+00   9.9188413941442632e-01
4008.529  1.06091e+00   9.9188140161616745e-01
4008.556  1.00927e+00   9.9187866243380518e-01
4008.583  1.06975e+00   9.9187592186640750e-01
4008.610  1.08486e+00   9.9187317991270985e-01
4008.637  1.01872e+00   9.9187043657117735e-01
4008.664  1.00657e+00   9.9186769185076396e-01
4008.691  1.03763e+00   9.9186494572854345e-01
4008.718  1.01548e+00   9.9186219821628208e-01
4008.745  9.88173e-01   9.9185944932543402e-01
4008.773  1.05339e+00   9.9185669904267071e-01
4008.800  1.09641e+00   9.9185394735435262e-01
4008.827  1.07570e+00   9.9185119428153334e-01
4008.854  1.04901e+00   9.9184843981338322e-01
4008.881  1.03080e+00   9.9184568394956396e-01
4008.908  1.04918e+00   9.9184292668946705e-01
4008.935  1.07851e+00   9.9184016803215014e-01
4008.962  1.07196e+00   9.9183740797633779e-01
4008.989  1.04371e+00   9.9183464652048514e-01
4009.016  9.70009e-01   9.9183188367353625e-01
4009.044  9.78266e-01   9.9182911941255458e-01
4009.071  1.02844e+00   9.9182635374929873e-01
4009.098  1.07206e+00   9.9182358669525927e-01
4009.125  1.04129e+00   9.9182081823743362e-01
4009.152  9.94369e-01   9.9181804836277299e-01
4009.179  1.04649e+00   9.9181527708242900e-01
4009.206  1.10004e+00   9.9181250440750579e-01
4009.233  1.09933e+00   9.9180973032461528e-01
4009.260  1.03331e+00   9.9180695482010206e-01
4009.287  1.02087e+00   9.9180417791500475e-01
4009.314  1.06177e+00   9.9180139959848124e-01
4009.342  1.09455e+00   9.9179861987017925e-01
4009.369  1.04870e+00   9.9179583872947608e-01
4009.396  1.05128e+00   9.9179305617541647e-01
4009.423  1.09051e+00   9.9179027220671112e-01
4009.450  1.07798e+00   9.9178748682180240e-01
4009.477  1.02152e+00   9.9178470002961905e-01
4009.504  1.04680e+00   9.9178191180721265e-01
4009.531  1.12371e+00   9.9177912216632425e-01
4009.558  1.10909e+00   9.9177633111838315e-01
4009.585  1.04749e+00   9.9177353865003826e-01
4009.613  1.02339e+00   9.9177074474762694e-01
4009.640  1.06178e+00   9.9176794943217583e-01
4009.667  1.15040e+00   9.9176515269283361e-01
4009.694  1.17570e+00   9.9176235452923678e-01
4009.721  1.12049e+00   9.9175955494075307e-01
4009.748  1.00587e+00   9.9175675392641582e-01
4009.775  9.89387e-01   9.9175395148492529e-01
4009.802  1.09079e+00   9.9175114761471295e-01
4009.829  1.11605e+00   9.9174834232469733e-01
4009.856  1.10643e+00   9.9174553559191980e-01
4009.884  1.07844e+00   9.9174272742811065e-01
4009.911  1.09580e+00   9.9173991784468729e-01
4009.938  1.15160e+00   9.9173710682828919e-01
4009.965  1.12936e+00   9.9173429436524363e-01
4009.992  1.07099e+00   9.9173148047656567e-01
4010.019  1.08111e+00   9.9172866515139335e-01
4010.046  1.11444e+00   9.9172584838935229e-01
4010.073  1.18121e+00   9.9172303018979968e-01
4010.100  1.22040e+00   9.9172021055175885e-01
4010.127  1.14842e+00   9.9171738947391896e-01
4010.154  1.08089e+00   9.9171456695470028e-01
4010.182  1.15229e+00   9.9171174300301090e-01
4010.209  1.22090e+00   9.9170891759588231e-01
4010.236  1.22073e+00   9.9170609074503291e-01
4010.263  1.12482e+00   9.9170326246186946e-01
4010.290  1.03491e+00   9.9170043273302100e-01
4010.317  9.54440e-01   9.9169760154480424e-01
4010.344  9.95478e-01   9.9169476891822239e-01
4010.371  1.10100e+00   9.9169193484240359e-01
4010.398  1.01026e+00   9.9168909931696347e-01
4010.425  9.66031e-01   9.9168626234124690e-01
4010.453  1.02016e+00   9.9168342391426623e-01
4010.480  9.94586e-01   9.9168058403470094e-01
4010.507  9.91422e-01   9.9167774270096032e-01
4010.534  1.06919e+00   9.9167489992193980e-01
4010.561  1.09662e+00   9.9167205567466254e-01
4010.588  9.65234e-01   9.9166920997083452e-01
4010.615  9.03232e-01   9.9166636282185183e-01
4010.642  9.47285e-01   9.9166351421433296e-01
4010.669  9.53869e-01   9.9166066413458287e-01
4010.696  9.96940e-01   9.9165781260359509e-01
4010.724  1.03598e+00   9.9165495961048578e-01
4010.751  1.01938e+00   9.9165210515486002e-01
4010.778  1.00499e+00   9.9164924923605158e-01
4010.805  1.01199e+00   9.9164639185306169e-01
4010.832  9.60660e-01   9.9164353300455921e-01
4010.859  8.87219e-01   9.9164067268894185e-01
4010.886  8.78394e-01   9.9163781091509517e-01
4010.913  9.07048e-01   9.9163494766002946e-01
4010.940  9.10648e-01   9.9163208293544158e-01
4010.967  8.98700e-01   9.9162921675271543e-01
4010.994  8.96244e-01   9.9162634909845815e-01
4011.022  9.17282e-01   9.9162347995896516e-01
4011.049  9.39658e-01   9.9162060935521723e-01
4011.076  9.34254e-01   9.9161773727632063e-01
4011.103  9.39739e-01   9.9161486372186847e-01
4011.130  8.82031e-01   9.9161198869118328e-01
4011.157  8.60022e-01   9.9160911218325654e-01
4011.184  8.88585e-01   9.9160623419674454e-01
4011.211  8.70764e-01   9.9160335473003447e-01
4011.238  7.81717e-01   9.9160047379200045e-01
4011.265  6.87057e-01   9.9159759135964243e-01
4011.293  6.86190e-01   9.9159470744464495e-01
4011.320  6.40918e-01   9.9159182205838081e-01
4011.347  5.65646e-01   9.9158893518744595e-01
4011.374  5.18567e-01   9.9158604681812634e-01
4011.401  4.98786e-01   9.9158315697138921e-01
4011.428  4.72031e-01   9.9158026563633006e-01
4011.455  4.46722e-01   9.9157737281253155e-01
4011.482  4.15502e-01   9.9157447849930491e-01
4011.509  3.29614e-01   9.9157158269562951e-01
4011.536  3.08119e-01   9.9156868540015097e-01
4011.564  3.38748e-01   9.9156578661124495e-01
4011.591  3.25236e-01   9.9156288633777334e-01
4011.618  3.33908e-01   9.9155998455672700e-01
4011.645  4.22631e-01   9.9155708127977826e-01
4011.672  4.68762e-01   9.9155417651828670e-01
4011.699  4.36619e-01   9.9155127025883893e-01
4011.726  4.36398e-01   9.9154836248770928e-01
4011.753  4.43768e-01   9.9154545322585319e-01
4011.780  4.94191e-01   9.9154254246235474e-01
4011.807  5.74753e-01   9.9153963019678515e-01
4011.834  6.22369e-01   9.9153671642844476e-01
4011.862  6.26563e-01   9.9153380115630052e-01
4011.889  6.49168e-01   9.9153088437898773e-01
4011.916  6.65653e-01   9.9152796609487015e-01
4011.943  7.31829e-01   9.9152504631279825e-01
4011.970  8.47352e-01   9.9152212500975101e-01
4011.997  8.68161e-01   9.9151920219738920e-01
4012.024  8.01060e-01   9.9151627788706242e-01
4012.051  7.37794e-01   9.9151335206534330e-01
4012.078  7.16752e-01   9.9151042471849660e-01
4012.105  7.67338e-01   9.9150749586746534e-01
4012.133  8.27833e-01   9.9150456550132271e-01
4012.160  7.87817e-01   9.9150163361962729e-01
4012.187  6.80257e-01   9.9149870022166897e-01
4012.214  6.48514e-01   9.9149576530640260e-01
4012.241  6.27585e-01   9.9149282887245160e-01
4012.268  5.84250e-01   9.9148989091816864e-01
4012.295  5.00190e-01   9.9148695145239185e-01
4012.322  4.77731e-01   9.9148401045208978e-01
4012.349  4.87079e-01   9.9148106792891399e-01
4012.376  4.47133e-01   9.9147812389424828e-01
4012.404  4.24669e-01   9.9147517833499066e-01
4012.431  4.19329e-01   9.9147223123799444e-01
4012.458  4.28311e-01   9.9146928261430345e-01
4012.485  4.02813e-01   9.9146633247491489e-01
4012.512  3.63384e-01   9.9146338080634133e-01
4012.539  3.76470e-01   9.9146042759482578e-01
4012.566  4.36589e-01   9.9145747286124797e-01
4012.593  4.83007e-01   9.9145451659433137e-01
4012.620  4.78808e-01   9.9145155879301827e-01
4012.647  5.13831e-01   9.9144859946646990e-01
4012.674  5.58105e-01   9.9144563859169077e-01
4012.702  4.99275e-01   9.9144267618032289e-01
4012.729  4.98390e-01   9.9143971224373795e-01
4012.756  5.77661e-01   9.9143674676882310e-01
4012.783  6.50006e-01   9.9143377974241986e-01
4012.810  7.22959e-01   9.9143081117555931e-01
4012.837  7.62735e-01   9.9142784107922710e-01
4012.864  8.51649e-01   9.9142486943992447e-01
4012.891  8.72162e-01   9.9142189624388499e-01
4012.918  8.65309e-01   9.9141892151202360e-01
4012.945  9.32185e-01   9.9141594523338705e-01
4012.973  9.09032e-01   9.9141296740750662e-01
4013.000  8.60778e-01   9.9140998803364444e-01
4013.027  8.63482e-01   9.9140700711072871e-01
4013.054  9.33465e-01   9.9140402463735544e-01
4013.081  9.93972e-01   9.9140104061184908e-01
4013.108  9.56475e-01   9.9139805504302014e-01
4013.135  8.94320e-01   9.9139506790781162e-01
4013.162  8.92694e-01   9.9139207921784367e-01
4013.189  8.90706e-01   9.9138908898442379e-01
4013.216  8.32017e-01   9.9138609719408921e-01
4013.244  8.07816e-01   9.9138310383306516e-01
4013.271  7.99204e-01   9.9138010892225337e-01
4013.298  7.18337e-01   9.9137711245068882e-01
4013.325  6.74791e-01   9.9137411441789081e-01
4013.352  6.71942e-01   9.9137111482310947e-01
4013.379  6.08046e-01   9.9136811366526090e-01
4013.406  5.75890e-01   9.9136511094292845e-01
4013.433  5.45555e-01   9.9136210665442492e-01
4013.460  4.47890e-01   9.9135910080854839e-01
4013.487  3.56774e-01   9.9135609338223041e-01
4013.514  2.98201e-01   9.9135308438707836e-01
4013.542  2.70667e-01   9.9135007383438722e-01
4013.569  2.70965e-01   9.9134706171068232e-01
4013.596  2.70738e-01   9.9134404800217735e-01
4013.623  2.50971e-01   9.9134103272976082e-01
4013.650  1.88483e-01   9.9133801588245596e-01
4013.677  1.29355e-01   9.9133499745977016e-01
4013.704  8.43710e-02   9.9133197746094015e-01
4013.731  7.42836e-02   9.9132895588487069e-01
4013.758  8.57283e-02   9.9132593273013248e-01
4013.785  9.63399e-02   9.9132290799502687e-01
4013.813  9.75515e-02   9.9131988168833796e-01
4013.840  8.53371e-02   9.9131685378698697e-01
4013.867  8.09196e-02   9.9131382430256720e-01
4013.894  7.99085e-02   9.9131079324636229e-01
4013.921  9.73416e-02   9.9130776060488424e-01
4013.948  1.15933e-01   9.9130472636433620e-01
4013.975  1.49639e-01   9.9130169054559236e-01
4014.002  1.32482e-01   9.9129865313766430e-01
4014.029  6.97134e-02   9.9129561414004685e-01
4014.056  2.29857e-02   9.9129257355196498e-01
4014.084  2.98552e-02   9.9128953137231035e-01
4014.111  4.98843e-02   9.9128648759964089e-01
4014.138  8.11281e-02   9.9128344223224618e-01
4014.165  9.72724e-02   9.9128039527889711e-01
4014.192  8.11038e-02   9.9127734671650358e-01
4014.219  1.09410e-01   9.9127429655664567e-01
4014.246  1.38142e-01   9.9127124481059392e-01
4014.273  1.03155e-01   9.9126819146484879e-01
4014.300  1.03296e-01   9.9126513650560022e-01
4014.327  1.25760e-01   9.9126207995371018e-01
4014.354  1.53349e-01   9.9125902179817760e-01
4014.382  1.76814e-01   9.9125596203848521e-01
4014.409  1.77310e-01   9.9125290067384397e-01
4014.436  2.18383e-01   9.9124983770313413e-01
4014.463  2.46428e-01   9.9124677312490139e-01
4014.490  2.54540e-01   9.9124370693742125e-01
4014.517  2.75014e-01   9.9124063914945271e-01
4014.544  2.92192e-01   9.9123756973789323e-01
4014.571  2.28195e-01   9.9123449871431046e-01
4014.598  4.28366e-01   9.9123142608996107e-01
4014.625  5.58738e-01   9.9122835185133329e-01
4014.653  5.10139e-01   9.9122527598460530e-01
4014.680  4.71801e-01   9.9122219851062521e-01
4014.707  4.75900e-01   9.9121911941837948e-01
4014.734  5.31110e-01   9.9121603870733843e-01
4014.761  5.97684e-01   9.9121295637670026e-01
4014.788  6.69488e-01   9.9120987242533165e-01
