#
# Keck ESI Spectrum of Quasar J1306+0356, z=6.016
#
# Source: Fan et al. 2001, AJ, 122, 2833
#         provided by the authors
#
# Wavelengths: 3901-10930 Angstroms
#
# wave - wavelength in Agnstroms
# flam - Flux in scaled F-lambda units
# sig - uncertainty on flam
wave          flam     sig
4456.57181157 0.0463822 0.0567624
4460.37092303 0.0605063 0.0568769
4464.17003448 0.00816569 0.0583752
4467.96914593 -0.0957399 0.0635982
4471.76825738 -0.171007 0.0831679
4475.56736883 -0.208799 0.121732
4479.36648029 -0.920171 0.866801
4483.16559174 0.0633993 0.768589
4486.96470319 0.326113 0.682282
4490.76381464 0.230605 0.61498
4494.5629261 0.0481505 0.546704
4498.36203755 -0.437094 0.495258
4502.161149 -0.623473 0.45761
4505.96026045 -0.249084 0.42357
4509.75937191 -0.108516 0.391193
4513.55848336 -0.141941 0.34822
4517.35759481 -0.00700556 0.325494
4521.15670626 -0.160631 0.130401
4524.95581772 -0.0635056 0.0874397
4528.75492917 -0.00905227 0.0704085
4532.55404062 -0.0666935 0.0656724
4536.35315207 -0.0720762 0.0659969
4540.15226352 0.0162436 0.0660799
4543.95137498 0.0862868 0.0664628
4547.75048643 0.161501 0.066985
4551.54959788 0.119027 0.0670305
4555.34870933 -0.0597402 0.0676157
4559.14782079 -0.159464 0.0682019
4562.94693224 -0.100606 0.0695701
4566.74604369 0.0309128 0.0705143
4570.54515514 0.0371754 0.0708513
4574.3442666 -0.116821 0.0702578
4578.14337805 -0.190178 0.0702519
4581.9424895 -0.0949515 0.0700284
4585.74160095 0.0157763 0.0695056
4589.54071241 0.0590345 0.0696004
4593.33982386 0.0405355 0.0693733
4597.13893531 0.0193473 0.0696077
4600.93804676 0.0232966 0.0690535
4604.73715821 0.00417238 0.0691683
4608.53626967 0.00181723 0.0682905
4612.33538112 0.0579367 0.0685253
4616.13449257 0.0721579 0.0670754
4619.93360402 -0.046876 0.0665699
4623.73271548 -0.0927871 0.0650259
4627.53182693 0.0197883 0.0641161
4631.33093838 0.0657672 0.0627813
4635.13004983 0.0211631 0.0607712
4638.92916129 -0.00512839 0.0593801
4642.72827274 -0.0333803 0.0585555
4646.52738419 -0.0745957 0.0588247
4650.32649564 -0.098273 0.0585719
4654.1256071 -0.100121 0.0578814
4657.92471855 -0.0696653 0.0568421
4661.72383 -0.00158089 0.0562015
4665.52294145 0.0146654 0.0548883
4669.3220529 0.00116828 0.0537443
4673.12116436 0.032978 0.0527913
4676.92027581 0.0248798 0.0518508
4680.71938726 -0.0109041 0.0510119
4684.51849871 -0.00115386 0.0497352
4688.31761017 0.0370407 0.0487412
4692.11672162 0.0496049 0.0478767
4695.91583307 0.0256737 0.0472014
4699.71494452 0.002054 0.0471506
4703.51405598 -0.0470998 0.046381
4707.31316743 -0.105183 0.0457257
4711.11227888 -0.102869 0.0453318
4714.91139033 -0.0709544 0.0447168
4718.71050179 -0.0316238 0.0452728
4722.50961324 -0.0114366 0.0441852
4726.30872469 -0.0554822 0.0434485
4730.10783614 -0.124798 0.0419978
4733.90694759 -0.1445 0.0416107
4737.70605905 -0.0969514 0.0413336
4741.5051705 -0.0420835 0.0413488
4745.30428195 -0.0206272 0.0412028
4749.1033934 -0.0551133 0.0411842
4752.90250486 -0.0709146 0.0412415
4756.70161631 -0.0366593 0.0409636
4760.50072776 -0.0132226 0.0407103
4764.29983921 0.0439057 0.0400008
4768.09895067 0.117375 0.039948
4771.89806212 0.0900644 0.0403535
4775.69717357 0.0332065 0.0409216
4779.49628502 0.0285191 0.0412383
4783.29539648 -0.0267472 0.0406331
4787.09450793 -0.0593263 0.0401701
4790.89361938 -0.0274815 0.0399614
4794.69273083 -0.00736373 0.0406339
4798.49184228 0.0346478 0.040047
4802.29095374 0.0337077 0.0396772
4806.09006519 0.00452065 0.0394031
4809.88917664 -0.0221192 0.040199
4813.68828809 -0.0371916 0.0407398
4817.48739955 -0.0184848 0.0405628
4821.286511 -0.0551855 0.0406329
4825.08562245 -0.0463363 0.0413546
4828.8847339 0.00765654 0.0419716
4832.68384536 -0.0178158 0.0427237
4836.48295681 -0.0580536 0.042245
4840.28206826 -0.073882 0.042742
4844.08117971 -0.0498252 0.0424815
4847.88029117 -0.0162323 0.0426262
4851.67940262 0.00588393 0.0424472
4855.47851407 -0.0129849 0.0427959
4859.27762552 -0.0466493 0.0429118
4863.07673697 -0.00936038 0.042628
4866.87584843 -0.0194595 0.0429031
4870.67495988 -0.0484279 0.0433509
4874.47407133 0.00730071 0.0446743
4878.27318278 0.00588299 0.0447338
4882.07229424 -0.035121 0.0457718
4885.87140569 -0.000563232 0.0463133
4889.67051714 0.0269699 0.0468198
4893.46962859 0.0255222 0.0458799
4897.26874005 0.0468137 0.0455755
4901.0678515 0.0473188 0.0456614
4904.86696295 0.0341861 0.0466911
4908.6660744 -0.0148131 0.046418
4912.46518586 -0.0685443 0.0467048
4916.26429731 -0.0502767 0.0462032
4920.06340876 -0.0337914 0.0466845
4923.86252021 -0.0515822 0.0473129
4927.66163166 -0.073954 0.0484928
4931.46074312 -0.0791765 0.0488373
4935.25985457 -0.0671228 0.0488513
4939.05896602 -0.0296108 0.0488367
4942.85807747 0.0165258 0.0488247
4946.65718893 0.0204177 0.0487787
4950.45630038 -0.00380502 0.0484738
4954.25541183 -0.0323232 0.0480179
4958.05452328 -0.0878479 0.0475738
4961.85363474 -0.11116 0.0473709
4965.65274619 -0.0252638 0.0472211
4969.45185764 0.0383205 0.0466188
4973.25096909 0.00472728 0.0460377
4977.05008055 -0.0246524 0.045238
4980.849192 -0.0143682 0.0439164
4984.64830345 -0.0308577 0.0432218
4988.4474149 -0.0613095 0.0431022
4992.24652635 -0.0406058 0.0439185
4996.04563781 0.0194992 0.0438549
4999.84474926 0.0330216 0.0430953
5003.64386071 -0.032957 0.0423536
5007.44297216 -0.0599325 0.0420766
5011.24208362 0.000251406 0.0416884
5015.04119507 0.0720891 0.0411429
5018.84030652 0.0872311 0.0400848
5022.63941797 0.00200219 0.0405278
5026.43852943 -0.0901466 0.04105
5030.23764088 -0.0741272 0.0418854
5034.03675233 -0.0379348 0.040624
5037.83586378 -0.0220737 0.0394314
5041.63497523 -0.0122729 0.03813
5045.43408669 -0.0446995 0.0379461
5049.23319814 -0.0885201 0.0377028
5053.03230959 -0.107155 0.0374125
5056.83142104 -0.0610565 0.036624
5060.6305325 0.00338405 0.0360175
5064.42964395 0.00286851 0.0353848
5068.2287554 -0.0351493 0.0352869
5072.02786685 -0.0399001 0.0349538
5075.82697831 0.00384616 0.0346742
5079.62608976 0.0276798 0.0342801
5083.42520121 -0.00676648 0.0336497
5087.22431266 -0.0202341 0.0333188
5091.02342412 0.0361064 0.0325352
5094.82253557 0.043478 0.031845
5098.62164702 -0.0324277 0.0314619
5102.42075847 -0.0381107 0.0311913
5106.21986992 -0.00290357 0.0310297
5110.01898138 -0.0297961 0.0309143
5113.81809283 -0.0589417 0.0304643
5117.61720428 -0.0465306 0.0304798
5121.41631573 0.0160919 0.0300459
5125.21542719 0.0521313 0.030026
5129.01453864 0.0425642 0.0299792
5132.81365009 0.0133813 0.0301131
5136.61276154 -0.0237055 0.0300763
5140.411873 0.00121517 0.0296491
5144.21098445 0.0190106 0.0293533
5148.0100959 0.0129691 0.0294161
5151.80920735 0.0343429 0.0295349
5155.60831881 0.0531807 0.0296904
5159.40743026 0.0449495 0.0294773
5163.20654171 0.0222247 0.0294663
5167.00565316 -0.00263371 0.0289104
5170.80476461 -0.011231 0.0287893
5174.60387607 0.0350716 0.0286512
5178.40298752 0.0455026 0.0285719
5182.20209897 -0.0169897 0.028522
5186.00121042 -0.0406722 0.0284476
5189.80032188 -0.0192564 0.0282718
5193.59943333 0.000347789 0.0289792
5197.39854478 0.0115731 0.0293311
5201.19765623 0.0235348 0.0293285
5204.99676769 0.015951 0.0285713
5208.79587914 -0.0311443 0.0283291
5212.59499059 -0.085363 0.0290131
5216.39410204 -0.0879742 0.0293224
5220.1932135 -0.0394934 0.0296998
5223.99232495 0.0081141 0.0296621
5227.7914364 0.0358818 0.0296975
5231.59054785 0.0372208 0.0293119
5235.3896593 -0.00470266 0.0293975
5239.18877076 -0.0280712 0.0287919
5242.98788221 -0.00284903 0.0292654
5246.78699366 0.0134183 0.0295561
5250.58610511 -0.033309 0.0304491
5254.38521657 -0.0849545 0.0307861
5258.18432802 -0.0602865 0.0307084
5261.98343947 0.00732586 0.0306989
5265.78255092 0.0284631 0.0301874
5269.58166238 -0.0124931 0.0305997
5273.38077383 -0.0104065 0.0314493
5277.17988528 0.030225 0.0320104
5280.97899673 0.0437076 0.0320949
5284.77810819 0.0381294 0.0318293
5288.57721964 0.00217953 0.0318294
5292.37633109 0.0097733 0.0320301
5296.17544254 0.0437269 0.032128
5299.97455399 0.0409429 0.0326872
5303.77366545 0.0222277 0.0330515
5307.5727769 -0.00161352 0.033462
5311.37188835 0.00923347 0.0331192
5315.1709998 0.0474571 0.033166
5318.97011126 0.0918002 0.0330506
5322.76922271 0.0999138 0.0335168
5326.56833416 0.0620488 0.0340679
5330.36744561 0.0221256 0.0340397
5334.16655707 0.00645068 0.0342057
5337.96566852 0.0134328 0.0342859
5341.76477997 0.0205216 0.0345301
5345.56389142 0.0179332 0.0347886
5349.36300288 -0.00507662 0.0343508
5353.16211433 -0.0438645 0.0346646
5356.96122578 -0.0470778 0.0344249
5360.76033723 0.0133384 0.0339845
5364.55944868 0.0384454 0.0340415
5368.35856014 0.0349757 0.0340337
5372.15767159 0.0520141 0.0341273
5375.95678304 0.0121815 0.0339483
5379.75589449 -0.0586399 0.0337352
5383.55500595 -0.0668494 0.0335801
5387.3541174 -0.0271431 0.0329764
5391.15322885 -0.0245454 0.0328
5394.9523403 -0.0328143 0.0327475
5398.75145176 0.000286372 0.0327109
5402.55056321 0.0167262 0.0326524
5406.34967466 0.0294612 0.0322718
5410.14878611 0.0384577 0.0325581
5413.94789757 -0.0105755 0.0324529
5417.74700902 -0.00381061 0.0326295
5421.54612047 0.0410894 0.0314717
5425.34523192 0.01802 0.0313934
5429.14434337 -0.0125738 0.0312847
5432.94345483 -0.0247791 0.0315097
5436.74256628 -0.018957 0.0311819
5440.54167773 -0.028312 0.030452
5444.34078918 -0.0485153 0.0305407
5448.13990064 -0.0579937 0.0304977
5451.93901209 -0.0633666 0.0303911
5455.73812354 -0.0326927 0.0298346
5459.53723499 -0.0145005 0.0294115
5463.33634645 -0.0432665 0.0295271
5467.1354579 -0.0431403 0.0295552
5470.93456935 0.00465668 0.0290445
5474.7336808 0.0245542 0.0287799
5478.53279226 0.00469133 0.0289914
5482.33190371 0.00411572 0.0293251
5486.13101516 0.0294592 0.029005
