#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 106  60.07412  57.16730  54.47018  49.67393  39.18801 
 107  60.41192  57.48739  54.77225  49.94197  39.34972 
 108  60.75031  57.80830  55.07631  50.21155  39.51455 
 109  61.08928  58.12917  55.38050  50.48069  39.67997 
 110  61.42638  58.44998  55.68393  50.75037  39.84595 
 111  61.76407  58.76989  55.98661  51.01862  40.01250 
 112  62.10072  59.08892  56.28854  51.28743  40.17960 
 113  62.43877  59.40875  56.59152  51.55677  40.34972 
 114  62.77499  59.72771  56.89376  51.82470  40.51913 
 115  63.11181  60.04748  57.19615  52.09415  40.69029 
 116  63.44683  60.36472  57.49696  52.36124  40.86074 
 117  63.78323  60.68361  57.79879  52.62984  41.03413 
 118  64.11864  61.00164  58.09991  52.89896  41.20801 
 119  64.45231  61.31802  58.40034  53.16578  41.38116 
 120  64.78580  61.63441  58.70008  53.43314  41.55599 
 121  65.11835  61.94917  58.99746  53.69916  41.72889 
 122  65.44922  62.26235  59.29502  53.96388  41.90107 
 123  65.77917  62.57476  59.59111  54.22822  42.07375 
 124  66.10825  62.88641  59.88656  54.49128  42.24689 
 125  66.43568  63.19652  60.17973  54.75308  42.41933 
 126  66.76152  63.50591  60.47313  55.01455  42.58990 
 127  67.08651  63.81301  60.76430  55.27386  42.76096 
 128  67.40919  64.11864  61.05407  55.53287  42.93134 
 129  67.73109  64.42360  61.34248  55.78978  43.09988 
 130  68.05219  64.72635  61.62954  56.04641  43.26892 
 131  68.37032  65.02846  61.91607  56.30186  43.43616 
 132  68.68843  65.32916  62.20048  56.55617  43.60390 
 133  69.00362  65.62774  62.48360  56.80845  43.76985 
 134  69.31738  65.92420  62.76544  57.05962  43.93404 
 135  69.62973  66.22009  63.04522  57.31056  44.09875 
 136  69.93997  66.51241  63.32298  57.55780  44.26059 
 137  70.24813  66.80419  63.59953  57.80484  44.42297 
 138  70.55353  67.09396  63.87331  58.04998  44.58363 
 139  70.85690  67.38026  64.14515  58.29151  44.74036 
 140  71.15827  67.66535  64.41583  58.53375  44.89878 
 141  71.45698  67.94778  64.68385  58.77244  45.05441 
 142  71.75444  68.22903  64.94998  59.01017  45.21062 
 143  72.04929  68.50839  65.21503  59.24694  45.36518 
 144  72.34086  68.78517  65.47748  59.48109  45.51813 
 145  72.63058  69.05939  65.73736  59.71265  45.66946 
 146  72.91914  69.33253  65.99622  59.94414  45.82248 
 147  73.20314  69.60172  66.25179  60.17225  45.97064 
 148  73.48537  69.86916  66.50488  60.39867  46.11832 
 149  73.76517  70.13487  66.75702  60.62343  46.26554 
 150  74.04121  70.39674  67.00597  60.84489  46.41013 
 151  74.31554  70.65691  67.25251  61.06554  46.55427 
 152  74.58552  70.91333  67.49593  61.28213  46.69582 
 153  74.85386  71.16811  67.73699  61.49797  46.83695 
 154  75.11857  71.41988  67.97646  61.71061  46.97659 
 155  75.38103  71.66938  68.21290  61.92173  47.11369 
 156  75.63927  71.91523  68.44559  62.12890  47.24934 
 157  75.89532  72.15885  68.67678  62.33619  47.38460 
 158  76.14854  72.39959  68.90501  62.53959  47.51736 
 159  76.39830  72.63746  69.13103  62.74073  47.64871 
 160  76.64529  72.87249  69.35344  62.93965  47.77970 
 161  76.88888  73.10540  69.57442  63.13636  47.90825 
 162  77.12976  73.33485  69.79183  63.33088  48.03645 
 163  77.36795  73.56222  70.00786  63.52322  48.16327 
 164  77.60219  73.78550  70.21965  63.71263  48.28768 
 165  77.83380  74.00676  70.43011  63.89992  48.41177 
 166  78.06216  74.22466  70.63710  64.08510  48.53452 
 167  78.28793  74.44058  70.84208  64.26819  48.65593 
 168  78.50987  74.65253  71.04295  64.44765  48.77499 
