#
# CMB Power Spectrum
#
# Computed for different values of the electron Thompson
# scattering optical depth: tau_e = {0,0.05,0.1,0.2,0.5}
#
# Based on CAMB output, reformatted for the ISM/IGM Book
# Figure 9.5
#
# l = power spectrum angular multipole moment
# tauXX = Delta_T in uK for tau_e = XX
#
   l  tau0.00   tau0.05   tau0.10   tau0.20   tau0.50
 441  47.58676  45.26699  43.06274  38.99872  29.15785 
 442  47.69696  45.37070  43.16248  39.08964  29.22294 
 443  47.81004  45.47966  43.26431  39.18290  29.29147 
 444  47.92598  45.58947  43.36934  39.27722  29.36086 
 445  48.04269  45.70011  43.47528  39.37258  29.43128 
 446  48.16015  45.81266  43.58211  39.46898  29.50153 
 447  48.28147  45.92712  43.69210  39.56893  29.57397 
 448  48.40248  46.04346  43.80183  39.66737  29.64642 
 449  48.52628  46.16167  43.91469  39.76933  29.72120 
 450  48.65285  46.28067  44.02840  39.87355  29.79732 
 451  48.77909  46.40151  44.14295  39.97624  29.87340 
 452  48.90603  46.52311  44.25833  40.08117  29.94962 
 453  49.03570  46.64654  44.37567  40.18830  30.02849 
 454  49.16605  46.76965  44.49382  40.29392  30.10631 
 455  49.29605  46.89350  44.61166  40.40049  30.18443 
 456  49.42874  47.02021  44.73142  40.51049  30.26516 
 457  49.56107  47.14552  44.85086  40.61773  30.34386 
 458  49.69407  47.27261  44.97221  40.72714  30.42417 
 459  49.82771  47.40042  45.09324  40.83748  30.50492 
 460  49.96299  47.52894  45.21615  40.94752  30.58627 
 461  50.09690  47.65711  45.33762  41.05849  30.66692 
 462  50.23246  47.78493  45.45987  41.16916  30.74817 
 463  50.36765  47.91346  45.58179  41.27953  30.82888 
 464  50.50248  48.04165  45.70448  41.38961  30.90922 
 465  50.63694  48.17053  45.82576  41.49940  30.98903 
 466  50.77204  48.29907  45.94780  41.61010  31.06960 
 467  50.90776  48.42727  46.07169  41.72169  31.15125 
 468  51.04214  48.55615  46.19307  41.83181  31.23124 
 469  51.17617  48.68367  46.31414  41.94163  31.31118 
 470  51.31082  48.81189  46.43705  42.05116  31.39204 
 471  51.44317  48.93771  46.55642  42.15922  31.46935 
 472  51.57713  49.06424  46.67654  42.26819  31.54901 
 473  51.70977  49.19044  46.79637  42.37688  31.62752 
 474  51.84207  49.31633  46.91588  42.48412  31.70647 
 475  51.97307  49.44189  47.03510  42.59225  31.78522 
 476  52.10278  49.56511  47.15294  42.69777  31.86063 
 477  52.23217  49.68702  47.26944  42.80304  31.93744 
 478  52.36029  49.80964  47.38460  42.90804  32.01250 
 479  52.48809  49.93095  47.50053  43.01163  32.08738 
 480  52.61369  50.05098  47.61407  43.11380  32.16209 
 481  52.73898  50.16971  47.72735  43.21574  32.23507 
 482  52.86398  50.28817  47.84036  43.31743  32.30944 
 483  52.98585  50.40437  47.94997  43.41659  32.38055 
 484  53.10650  50.51831  48.05830  43.51437  32.44996 
 485  53.22688  50.63299  48.16742  43.61307  32.52230 
 486  53.34510  50.74545  48.27422  43.70927  32.59141 
 487  53.46214  50.85666  48.37975  43.80411  32.66037 
 488  53.57705  50.96568  48.48402  43.89761  32.72766 
 489  53.69078  51.07347  48.58601  43.98977  32.79329 
 490  53.80242  51.18007  48.68778  44.08174  32.86031 
 491  53.91196  51.28450  48.78627  44.17012  32.92416 
 492  54.02037  51.38774  48.88456  44.25946  32.98788 
 493  54.12763  51.48883  48.98061  44.34636  33.04996 
 494  54.23191  51.58876  49.07545  44.43197  33.11193 
 495  54.33415  51.68559  49.16808  44.51404  33.17228 
 496  54.43436  51.78127  49.25850  44.59597  33.23101 
 497  54.53256  51.87389  49.34673  44.67662  33.28814 
 498  54.62875  51.96634  49.43379  44.75489  33.34517 
 499  54.72385  52.05670  49.52070  44.83302  33.40360 
 500  54.81697  52.14403  49.60443  44.90880  33.45893 
 501  54.90537  52.22930  49.68501  44.98111  33.51119 
 502  54.99454  52.31348  49.76445  45.05441  33.56486 
 503  55.07994  52.39466  49.84175  45.12427  33.61547 
 504  55.16249  52.47285  49.91693  45.19181  33.66601 
 505  55.24400  52.55188  49.99200  45.25925  33.71646 
 506  55.32269  52.62604  50.06196  45.32328  33.76389 
 507  55.39946  52.69915  50.13182  45.38722  33.81124 
 508  55.47252  52.76931  50.19860  45.44777  33.85558 
 509  55.54457  52.83749  50.26430  45.50604  33.89985 
 510  55.61295  52.90274  50.32594  45.56314  33.94112 
 511  55.68034  52.96697  50.38750  45.61798  33.98235 
 512  55.74406  53.02829  50.44601  45.67056  34.02058 
 513  55.80592  53.08767  50.50248  45.72198  34.05877 
 514  55.86591  53.14415  50.55591  45.77117  34.09546 
 515  55.92316  53.19868  50.60830  45.81921  34.13063 
 516  55.97767  53.25035  50.65767  45.86393  34.16431 
 517  56.02856  53.29916  50.70404  45.90643  34.19503 
 518  56.07852  53.34698  50.74939  45.94671  34.22572 
 519  56.12575  53.39194  50.79271  45.98587  34.25493 
 520  56.17028  53.43501  50.83306  46.02282  34.28119 
 521  56.21210  53.47429  50.87042  46.05649  34.30598 
 522  56.25034  53.51075  50.90580  46.08796  34.32783 
 523  56.28765  53.54624  50.93918  46.11832  34.35113 
 524  56.32228  53.57891  50.97058  46.14651  34.37150 
 525  56.35246  53.60783  50.99804  46.17142  34.38750 
 526  56.38173  53.63581  51.02451  46.19524  34.40494 
 527  56.40922  53.66191  51.04900  46.21796  34.42093 
 528  56.43315  53.68426  51.07054  46.23743  34.43399 
 529  56.45441  53.70475  51.09011  46.25473  34.44561 
 530  56.47300  53.72243  51.10675  46.26878  34.45577 
 531  56.49071  53.73919  51.12240  46.28390  34.46593 
 532  56.50398  53.75128  51.13414  46.29363  34.47173 
 533  56.51460  53.76151  51.14391  46.30227  34.47608 
 534  56.52345  53.76988  51.15076  46.30767  34.48043 
 535  56.52876  53.77453  51.15564  46.31198  34.48188 
 536  56.53229  53.77825  51.15858  46.31414  34.48188 
 537  56.53406  53.77918  51.16053  46.31522  34.48043 
 538  56.53141  53.77732  51.15760  46.31306  34.47753 
 539  56.52699  53.77267  51.15369  46.30875  34.47173 
 540  56.52079  53.76616  51.14783  46.30227  34.46593 
 541  56.51106  53.75686  51.13805  46.29363  34.45867 
 542  56.49956  53.74570  51.12729  46.28390  34.44851 
 543  56.48451  53.73174  51.11360  46.27094  34.43835 
 544  56.46769  53.71592  51.09795  46.25689  34.42528 
 545  56.44820  53.69637  51.08033  46.23959  34.41220 
 546  56.42606  53.67588  51.06075  46.22121  34.39622 
 547  56.40124  53.65259  51.03724  46.20065  34.38023 
 548  56.37464  53.62649  51.01274  46.17792  34.36131 
 549  56.34536  53.59851  50.98627  46.15409  34.34240 
 550  56.31341  53.56865  50.95782  46.12700  34.32201 
 551  56.27966  53.53597  50.92740  46.09989  34.30160 
 552  56.24322  53.50140  50.89401  46.06951  34.27827 
 553  56.20409  53.46400  50.85863  46.03803  34.25347 
 554  56.16315  53.42471  50.82125  46.00326  34.22864 
 555  56.11951  53.38352  50.78189  45.96738  34.20088 
 556  56.07317  53.33948  50.73953  45.92929  34.17309 
 557  56.02499  53.29353  50.69616  45.89008  34.14381 
 558  55.97410  53.24566  50.64978  45.84866  34.11158 
 559  55.92048  53.19492  50.60237  45.80502  34.07932 
 560  55.86591  53.14320  50.55294  45.76134  34.04702 
 561  55.80770  53.08767  50.49950  45.71324  34.01029 
 562  55.74854  53.03112  50.44700  45.66508  33.97499 
 563  55.68752  52.97358  50.39147  45.61469  33.93818 
 564  55.62464  52.91314  50.33488  45.56314  33.89985 
 565  55.55898  52.85073  50.27524  45.50934  33.86000 
 566  55.49144  52.78636  50.21454  45.45437  33.82011 
 567  55.42202  52.72096  50.15177  45.39824  33.77869 
 568  55.35070  52.65264  50.08693  45.33983  33.73574 
 569  55.27658  52.58232  50.02100  45.28024  33.68976 
 570  55.20145  52.51190  49.95298  45.21836  33.64521 
 571  55.12440  52.43758  49.88286  45.15529  33.59762 
 572  55.04544  52.36220  49.81165  45.08991  33.54996 
 573  54.96453  52.28576  49.73832  45.02444  33.50075 
 574  54.88260  52.20824  49.66387  44.95776  33.45146 
 575  54.79872  52.12773  49.58831  44.88875  33.40060 
 576  54.71289  52.04709  49.51161  44.81964  33.34816 
 577  54.62600  51.96345  49.43177  44.74707  33.29414 
 578  54.53714  51.87870  49.35180  44.67438  33.24004 
 579  54.44630  51.79382  49.26966  44.60045  33.18584 
 580  54.35531  51.70687  49.18740  44.52640  33.13155 
 581  54.26141  51.61686  49.10194  44.44884  33.07265 
 582  54.16641  51.52669  49.01632  44.37116  33.01363 
 583  54.07032  51.43540  48.92954  44.29221  32.95603 
 584  53.97314  51.34296  48.84158  44.21312  32.89681 
 585  53.87486  51.24939  48.75244  44.13276  32.83596 
 586  53.77546  51.15467  48.66210  44.04997  32.77499 
 587  53.67495  51.05879  48.57159  43.96817  32.71391 
 588  53.57238  50.96175  48.47886  43.88394  32.64965 
 589  53.46868  50.86354  48.38491  43.79840  32.58681 
 590  53.36478  50.76318  48.28975  43.71270  32.52230 
 591  53.25974  50.66360  48.19543  43.62683  32.45766 
 592  53.15355  50.56283  48.09886  43.53963  32.39136 
 593  53.04620  50.46088  48.00208  43.45112  32.32646 
 594  52.93770  50.35673  47.90303  43.36127  32.25678 
 595  52.82802  50.25237  47.80376  43.27124  32.18851 
 596  52.71907  50.14878  47.70430  43.18217  32.12164 
 597  52.60893  50.04398  47.60462  43.09060  32.05464 
 598  52.49952  49.93996  47.50579  43.00232  31.98906 
 599  52.38893  49.83473  47.40570  42.91037  31.92021 
 600  52.27619  49.72826  47.30433  42.81822  31.85122 
 601  52.16417  49.62056  47.20169  42.72587  31.78050 
 602  52.05094  49.51363  47.09989  42.63332  31.71120 
 603  51.93746  49.40546  46.99681  42.53939  31.64016 
 604  51.82470  49.29807  46.89456  42.44762  31.57166 
 605  51.71074  49.18943  46.79102  42.35328  31.50143 
 606  51.59748  49.08157  46.68833  42.26109  31.43199 
 607  51.48204  48.97142  46.58326  42.16397  31.35857 
 608  51.36828  48.86308  46.48010  42.07137  31.28850 
 609  51.25427  48.75449  46.37780  41.97738  31.21922 
 610  51.14000  48.64566  46.27310  41.88317  31.14820 
 611  51.02549  48.53761  46.17034  41.78995  31.07797 
 612  50.91169  48.42933  46.06734  41.69652  31.00839 
 613  50.79764  48.31977  45.96303  41.60168  30.93719 
 614  50.68431  48.21203  45.86066  41.50904  30.86762 
 615  50.57074  48.10405  45.75806  41.41618  30.79757 
 616  50.45691  47.99583  45.65523  41.32312  30.72800 
 617  50.34580  47.88945  45.55436  41.23106  30.66023 
 618  50.23346  47.78284  45.45217  41.14000  30.59167 
 619  50.12085  47.67599  45.35085  41.04753  30.52245 
 620  50.01100  47.57205  45.25152  40.95729  30.45603 
 621  49.89990  47.46578  45.15086  40.86563  30.38750 
 622  49.79056  47.36138  45.05108  40.77622  30.32062 
 623  49.68199  47.25886  44.95331  40.68784  30.25525 
 624  49.57419  47.15612  44.85532  40.59926  30.18907 
 625  49.46615  47.05316  44.75824  40.51049  30.12308 
 626  49.35990  46.95210  44.66206  40.42400  30.05844 
 627  49.25444  46.85296  44.56680  40.33733  29.99533 
 628  49.15079  46.75361  44.47247  40.25295  29.93242 
 629  49.04794  46.65619  44.38018  40.16964  29.87072 
 630  48.94589  46.55856  44.28770  40.08491  29.80805 
 631  48.84465  46.46181  44.19616  40.00250  29.74660 
 632  48.74526  46.36809  44.10669  39.92117  29.68771 
 633  48.64669  46.27419  44.01704  39.84093  29.62752 
 634  48.54998  46.18225  43.93063  39.76179  29.56975 
 635  48.45513  46.09230  43.84518  39.68501  29.51322 
 636  48.36114  46.00217  43.75957  39.60808  29.45539 
 637  48.26904  45.91514  43.67608  39.53226  29.39983 
 638  48.17780  45.82903  43.59358  39.45884  29.34553 
 639  48.08846  45.74385  43.51322  39.38528  29.29215 
 640  48.00208  45.66071  43.43501  39.31539  29.23987 
 641  47.91660  45.57960  43.35781  39.24538  29.18852 
 642  47.83200  45.49945  43.28164  39.17525  29.13692 
 643  47.74934  45.42136  43.20764  39.10882  29.08745 
 644  47.67075  45.34644  43.13583  39.04485  29.04015 
 645  47.59201  45.27140  43.06507  38.98077  28.99241 
 646  47.51526  45.19956  42.99535  38.91786  28.94564 
 647  47.44260  45.12981  42.93018  38.85872  28.90225 
 648  47.36982  45.05996  42.86374  38.79819  28.85689 
 649  47.30011  44.99445  42.80070  38.74145  28.81493 
 650  47.23346  44.93106  42.73991  38.68721  28.77377 
 651  47.16779  44.86870  42.68138  38.63289  28.73308 
 652  47.10414  44.80737  42.62394  38.58109  28.69320 
 653  47.04466  44.75042  42.56877  38.53180  28.65659 
 654  46.98617  44.69452  42.51588  38.48246  28.61940 
 655  46.92867  44.64079  42.46410  38.43566  28.58286 
 656  46.87643  44.59036  42.41580  38.39271  28.54961 
 657  46.82521  44.54211  42.36980  38.34970  28.51719 
 658  46.77499  44.49382  42.32375  38.30796  28.48403 
 659  46.73008  44.45110  42.28238  38.27009  28.45576 
 660  46.68619  44.40946  42.24334  38.23480  28.42798 
 661  46.64440  44.37003  42.20545  38.20079  28.40123 
 662  46.60579  44.33283  42.17108  38.16805  28.37640 
 663  46.56930  44.29786  42.13787  38.13791  28.35242 
 664  46.53601  44.26624  42.10701  38.11037  28.33037 
 665  46.50484  44.23573  42.07850  38.08281  28.30936 
 666  46.47580  44.20860  42.05235  38.05917  28.29028 
 667  46.44997  44.18371  42.02856  38.03814  28.27331 
 668  46.42521  44.16107  42.00595  38.01710  28.25597 
 669  46.40582  44.14182  41.98809  38.00000  28.24341 
 670  46.38750  44.12369  41.97023  37.98421  28.23030 
 671  46.37241  44.10896  41.95712  37.97236  28.22074 
 672  46.35839  44.09649  41.94401  37.96051  28.21064 
 673  46.34868  44.08628  41.93567  37.95260  28.20390 
 674  46.34005  44.07948  41.92851  37.94601  28.19823 
 675  46.33573  44.07494  41.92374  37.94206  28.19468 
 676  46.33249  44.07153  41.92136  37.93943  28.19202 
 677  46.33249  44.07153  41.92136  37.93943  28.19149 
 678  46.33573  44.07494  41.92374  37.94206  28.19326 
 679  46.34113  44.07948  41.92851  37.94601  28.19592 
 680  46.34976  44.08855  41.93686  37.95392  28.20195 
 681  46.36054  44.09875  41.94640  37.96314  28.20904 
 682  46.37349  44.11123  41.95831  37.97367  28.21702 
 683  46.39073  44.12709  41.97499  37.98816  28.22853 
 684  46.40905  44.14521  41.99047  38.00395  28.23951 
 685  46.42952  44.16447  42.00952  38.01973  28.25155 
 686  46.45213  44.18597  42.03094  38.03945  28.26570 
 687  46.47903  44.21199  42.05473  38.06179  28.28356 
 688  46.50806  44.23912  42.08088  38.08543  28.30088 
 689  46.53923  44.26850  42.10938  38.11168  28.32049 
 690  46.57252  44.30011  42.14024  38.13922  28.34113 
 691  46.60794  44.33509  42.17226  38.16936  28.36389 
 692  46.64654  44.37116  42.20782  38.20079  28.38767 
 693  46.68726  44.41058  42.24453  38.23480  28.41355 
 694  46.73008  44.45110  42.28357  38.27009  28.43923 
 695  46.77606  44.49495  42.32611  38.30796  28.46840 
 696  46.82414  44.54099  42.36980  38.34840  28.49842 
 697  46.87430  44.58924  42.41462  38.39010  28.52946 
 698  46.92760  44.63967  42.46292  38.43306  28.56151 
 699  46.98191  44.69116  42.51235  38.47726  28.59441 
 700  47.03934  44.74595  42.56407  38.52402  28.62970 
 701  47.09777  44.80178  42.61807  38.57331  28.66583 
 702  47.15931  44.86090  42.67318  38.62383  28.70296 
 703  47.22288  44.92104  42.73055  38.67558  28.74109 
 704  47.28847  44.98333  42.79018  38.72854  28.78020 
 705  47.35504  45.04664  42.84974  38.78273  28.81926 
 706  47.42362  45.11208  42.91270  38.83941  28.86053 
 707  47.49421  45.17964  42.97674  38.89730  28.90190 
 708  47.56890  45.24931  43.04300  38.95767  28.94685 
 709  47.64242  45.31997  43.11032  39.01794  28.99052 
 710  47.72002  45.39383  43.17986  39.08068  29.03670 
 711  47.79749  45.46757  43.25043  39.14460  29.08298 
 712  47.87797  45.54338  43.32320  39.20969  29.13057 
 713  47.96040  45.62236  43.39700  39.27722  29.18065 
 714  48.04269  45.70011  43.47183  39.34463  29.22841 
 715  48.12692  45.78100  43.54768  39.41320  29.27883 
 716  48.21307  45.86284  43.62568  39.48417  29.33070 
 717  48.30114  45.94562  43.70469  39.55502  29.38282 
 718  48.38905  46.02934  43.78470  39.62701  29.43501 
 719  48.47886  46.11507  43.86684  39.70013  29.48898 
 720  48.56954  46.20065  43.94770  39.77436  29.54183 
 721  48.66313  46.29039  44.03294  39.85097  29.59899 
 722  48.75654  46.37888  44.11689  39.92618  29.65384 
 723  48.85079  46.46827  44.20181  40.00375  29.71044 
 724  48.94589  46.55964  44.28883  40.08117  29.76760 
 725  49.04284  46.65083  44.37567  40.15968  29.82516 
 726  49.14061  46.74398  44.46459  40.24053  29.88445 
 727  49.23820  46.83695  44.55222  40.32121  29.94311 
 728  49.33761  46.93080  44.64191  40.40173  30.00233 
 729  49.43683  47.02659  44.73254  40.48333  30.06210 
 730  49.53685  47.12112  44.82187  40.56353  30.12142 
 731  49.63869  47.21758  44.91436  40.64849  30.18394 
 732  49.74033  47.31385  45.00666  40.73082  30.24450 
 733  49.84275  47.41202  45.09989  40.81544  30.30726 
 734  49.94597  47.51000  45.19292  40.89988  30.36956 
 735  50.04898  47.60882  45.28686  40.98414  30.43255 
 736  50.15177  47.70639  45.37951  41.06824  30.49410 
 737  50.25634  47.80585  45.47417  41.15337  30.55765 
 738  50.35971  47.90407  45.56753  41.23833  30.61976 
 739  50.46385  48.00312  45.66180  41.32433  30.68289 
 740  50.56778  48.10197  45.75587  41.40894  30.74573 
 741  50.67248  48.20166  45.85085  41.49458  30.80958 
 742  50.77795  48.30217  45.94562  41.58125  30.87329 
 743  50.88222  48.40145  46.04020  41.66653  30.93687 
 744  50.98725  48.50155  46.13675  41.75404  31.00161 
 745  51.09207  48.60144  46.23094  41.83898  31.06509 
 746  51.19570  48.69908  46.32494  41.92374  31.12748 
 747  51.29912  48.79754  46.41767  42.00833  31.18974 
 748  51.40331  48.89683  46.51236  42.09394  31.25348 
 749  51.50728  48.99592  46.60686  42.17938  31.31709 
 750  51.61008  49.09379  46.70011  42.26464  31.37977 
 751  51.71363  49.19248  46.79316  42.34855  31.44265 
 752  51.81602  49.28996  46.88710  42.43348  31.50571 
 753  51.91821  49.38725  46.97872  42.51706  31.56786 
 754  52.01923  49.48333  47.07016  42.59930  31.62910 
 755  52.12101  49.58024  47.16249  42.68372  31.69227 
 756  52.21973  49.67495  47.25251  42.76447  31.75059 
 757  52.32017  49.77047  47.34343  42.84740  31.81352 
 758  52.41851  49.86382  47.43311  42.92785  31.87319 
 759  52.51762  49.95798  47.52262  43.00930  31.93274 
 760  52.61464  50.04998  47.60987  43.08828  31.99219 
 761  52.71053  50.14180  47.69696  43.16712  32.04996 
 762  52.80720  50.23346  47.78493  43.24697  32.10919 
 763  52.90180  50.32296  47.87066  43.32436  32.16675 
 764  52.99528  50.41230  47.95519  43.40161  32.22422 
 765  53.08767  50.50050  48.03957  43.47758  32.28003 
 766  53.17989  50.58854  48.12276  43.55342  32.33574 
 767  53.27101  50.67445  48.20477  43.62683  32.39136 
 768  53.36010  50.76022  48.28561  43.70012  32.44534 
 769  53.44904  50.84388  48.36631  43.77328  32.49923 
 770  53.53597  50.92740  48.44481  43.84404  32.55150 
 771  53.62183  51.00882  48.52216  43.91469  32.60368 
 772  53.70661  51.08914  48.59938  43.98409  32.65425 
 773  53.78941  51.16835  48.67443  44.05224  32.70474 
 774  53.87114  51.24646  48.74833  44.11916  32.75363 
 775  53.95276  51.32349  48.82213  44.18597  32.80244 
 776  54.03147  51.39845  48.89274  44.24929  32.84814 
 777  54.10915  51.47232  48.96325  44.31253  32.89529 
 778  54.18671  51.54610  49.03366  44.37680  32.94237 
 779  54.26048  51.61686  49.09990  44.43647  32.98636 
 780  54.33415  51.68559  49.16605  44.49607  33.03029 
 781  54.40588  51.75423  49.23109  44.55558  33.07265 
 782  54.47569  51.82084  49.29401  44.61278  33.11344 
 783  54.54448  51.88641  49.35686  44.66878  33.15569 
 784  54.61135  51.94998  49.41761  44.72359  33.19488 
 785  54.67632  52.01154  49.47525  44.77611  33.23251 
 786  54.74030  52.07207  49.53282  44.82745  33.27161 
 787  54.80146  52.13061  49.58831  44.87761  33.30616 
 788  54.86073  52.18716  49.64172  44.92550  33.34216 
 789  54.91903  52.24175  49.69407  44.97332  33.37514 
 790  54.97545  52.29627  49.74636  45.02000  33.40958 
 791  55.02999  52.34787  49.79558  45.06440  33.44249 
 792  55.08266  52.39752  49.84275  45.10654  33.47387 
 793  55.13347  52.44616  49.88787  45.14754  33.50373 
 794  55.18152  52.49095  49.93195  45.18628  33.53058 
 795  55.22771  52.53570  49.97299  45.22389  33.55741 
 796  55.27386  52.57946  50.01500  45.26257  33.58571 
 797  55.31546  52.61939  50.05297  45.29680  33.61101 
 798  55.35612  52.65738  50.08892  45.32880  33.63480 
 799  55.39495  52.69440  50.12484  45.36078  33.65858 
 800  55.43194  52.72950  50.15775  45.39163  33.68085 
 801  55.46621  52.76268  50.18864  45.41916  33.70163 
 802  55.49775  52.79205  50.21753  45.44557  33.71943 
 803  55.52837  52.82140  50.24540  45.47087  33.74018 
 804  55.55628  52.84789  50.27126  45.49395  33.75648 
 805  55.58327  52.87438  50.29612  45.51703  33.77425 
 806  55.60755  52.89707  50.31700  45.53680  33.78905 
 807  55.62823  52.91692  50.33686  45.55436  33.80237 
 808  55.64800  52.93487  50.35375  45.56973  33.81420 
 809  55.66507  52.95186  50.37062  45.58509  33.82602 
 810  55.68034  52.96603  50.38353  45.59715  33.83637 
 811  55.69291  52.97830  50.39544  45.60702  33.84376 
 812  55.70368  52.98868  50.40536  45.61688  33.85115 
 813  55.71176  52.99623  50.41230  45.62346  33.85558 
 814  55.71894  53.00283  50.41924  45.63004  33.86148 
 815  55.72253  53.00755  50.42321  45.63332  33.86444 
 816  55.72432  53.00849  50.42420  45.63442  33.86591 
 817  55.72343  53.00755  50.42321  45.63332  33.86591 
 818  55.72163  53.00566  50.42221  45.63332  33.86591 
 819  55.71625  53.00095  50.41825  45.62894  33.86296 
 820  55.70996  52.99528  50.41230  45.62456  33.86000 
 821  55.70009  52.98585  50.40337  45.61579  33.85410 
 822  55.68842  52.97546  50.39345  45.60702  33.84819 
 823  55.67495  52.96225  50.38055  45.59605  33.83933 
 824  55.65788  52.94526  50.36467  45.58179  33.82898 
 825  55.63992  52.92825  50.34879  45.56753  33.81863 
 826  55.61834  52.90841  50.32991  45.54997  33.80532 
 827  55.59496  52.88572  50.30805  45.53021  33.78905 
 828  55.56977  52.86208  50.28519  45.50934  33.77573 
 829  55.54187  52.83559  50.26032  45.48626  33.75796 
 830  55.51216  52.80720  50.23346  45.46207  33.73870 
 831  55.48063  52.77689  50.20458  45.43567  33.71943 
 832  55.44547  52.74372  50.17270  45.40705  33.69867 
 833  55.40939  52.70958  50.13980  45.37731  33.67640 
 834  55.36967  52.67162  50.10389  45.34534  33.65115 
 835  55.32902  52.63269  50.06696  45.31115  33.62588 
 836  55.28472  52.58992  50.02599  45.27472  33.59762 
 837  55.23857  52.54617  49.98500  45.23715  33.56933 
 838  55.19058  52.50048  49.94097  45.19735  33.53804 
 839  55.13892  52.45188  49.89389  45.15418  33.50522 
 840  55.08630  52.40134  49.84676  45.11097  33.47238 
 841  55.03181  52.34883  49.79659  45.06551  33.43800 
 842  54.97363  52.29436  49.74435  45.01777  33.40210 
 843  54.91448  52.23696  49.69004  44.96888  33.36465 
 844  54.85162  52.17758  49.63265  44.91659  33.32566 
 845  54.78777  52.11622  49.57520  44.86424  33.28513 
 846  54.72111  52.05382  49.51566  44.80960  33.24455 
 847  54.65345  51.98942  49.45402  44.75377  33.20391 
 848  54.58297  51.92205  49.39028  44.69676  33.16022 
 849  54.50963  51.85171  49.32342  44.63519  33.11495 
 850  54.43528  51.78127  49.25647  44.57466  33.06962 
 851  54.35807  51.70783  49.18638  44.51179  33.02272 
 852  54.27799  51.63235  49.11415  44.44660  32.97423 
 853  54.19687  51.55482  49.03978  44.37905  32.92567 
 854  54.11285  51.47427  48.96427  44.31027  32.87400 
 855  54.02592  51.39164  48.88558  44.23912  32.82072 
 856  53.93885  51.30887  48.80676  44.16786  32.76889 
 857  53.84793  51.22304  48.72474  44.09422  32.71238 
 858  53.75500  51.13414  48.64052  44.01818  32.65578 
 859  53.66097  51.04410  48.55513  43.94087  32.59908 
 860  53.56491  50.95292  48.46855  43.86229  32.54228 
 861  53.46588  50.85961  48.37872  43.78128  32.48230 
 862  53.36572  50.76416  48.28768  43.69897  32.42067 
 863  53.26256  50.66656  48.19543  43.61536  32.35892 
 864  53.15826  50.56679  48.10094  43.53045  32.29551 
 865  53.04998  50.46385  48.00312  43.44077  32.22887 
 866  52.94431  50.36268  47.90720  43.35435  32.16675 
 867  52.83370  50.25734  47.80690  43.26431  32.09985 
 868  52.72096  50.15177  47.70639  43.17291  32.03280 
 869  52.60799  50.04298  47.60252  43.08016  31.96404 
 870  52.49190  49.93296  47.49842  42.98488  31.89357 
 871  52.37461  49.82168  47.39198  42.88939  31.82295 
 872  52.25515  49.70815  47.28425  42.79252  31.75059 
 873  52.13444  49.59234  47.17521  42.69309  31.67649 
 874  52.01154  49.47626  47.06379  42.59225  31.60316 
 875  51.88641  49.35788  46.95104  42.49000  31.52745 
 876  51.76002  49.23718  46.83588  42.38632  31.45012 
 877  51.63332  49.11721  46.72258  42.28357  31.37467 
 878  51.50340  48.99286  46.60472  42.17701  31.29489 
 879  51.37315  48.86921  46.48656  42.07018  31.21586 
 880  51.24061  48.74320  46.36701  41.96189  31.13631 
 881  51.10675  48.61584  46.24500  41.85212  31.05479 
 882  50.97058  48.48711  46.12266  41.74087  30.97241 
 883  50.83503  48.35701  46.00000  41.63052  30.89061 
 884  50.69616  48.22551  45.87374  41.51626  30.80568 
 885  50.55591  48.09158  45.74713  41.40048  30.71986 
 886  50.41528  47.95727  45.61908  41.28559  30.63446 
 887  50.27226  47.82154  45.48956  41.16795  30.54701 
 888  50.12883  47.68542  45.36078  41.05119  30.46096 
 889  49.98199  47.54577  45.22720  40.93043  30.37021 
 890  49.83573  47.40675  45.09546  40.81054  30.28102 
 891  49.68903  47.26627  44.96221  40.69029  30.19189 
 892  49.53988  47.12537  44.82745  40.56846  30.10183 
 893  49.38927  46.98191  44.69116  40.44503  30.00933 
 894  49.23921  46.83908  44.55558  40.32245  29.91822 
 895  49.08666  46.69368  44.41621  40.19701  29.82465 
 896  48.93363  46.54782  44.27753  40.07119  29.73096 
 897  48.77807  46.40043  44.13729  39.94371  29.63613 
 898  48.62407  46.25365  43.99773  39.81708  29.54251 
 899  48.46751  46.10531  43.85659  39.68879  29.44741 
 900  48.31045  45.95541  43.71384  39.56008  29.35115 
 901  48.15288  45.80611  43.57178  39.43095  29.25577 
 902  47.99479  45.65414  43.42810  39.30140  29.15905 
 903  47.83304  45.50165  43.28164  39.16887  29.05942 
 904  47.67389  45.34975  43.13815  39.03844  28.96342 
 905  47.51316  45.19624  42.99186  38.90630  28.86468 
 906  47.35082  45.04220  42.84507  38.77242  28.76543 
 907  47.18898  44.88764  42.69894  38.64065  28.66723 
 908  47.02765  44.73366  42.55232  38.50844  28.56991 
 909  46.86363  44.57914  42.40519  38.37447  28.47086 
 910  46.69904  44.42184  42.25518  38.24003  28.37005 
 911  46.53493  44.26624  42.10701  38.10512  28.27013 
 912  46.37025  44.10896  41.95712  37.96972  28.16949 
 913  46.20173  43.94883  41.80431  37.82988  28.06439 
 914  46.03694  43.79155  41.65573  37.69616  27.96534 
 915  45.87047  43.63256  41.50422  37.55928  27.86306 
 916  45.70448  43.47528  41.35456  37.42326  27.76257 
