#
# Keck ESI Spectrum of Quasar J0836+0054, z=5.774
#
# Source: Fan et al. 2001, AJ, 122, 2833
#         provided by the authors
#
# Wavelengths: 3901-10926 Angstroms
#
# wave - wavelength in Agnstroms
# flam - Flux in scaled F-lambda units
# sig - uncertainty on flam
wave          flam     sig
3901.92883759 -2.58992 10.7465
3905.72793404 -5.03361 9.38909
3909.52703049 -8.61941 7.5935
3913.32612693 -2.98439 6.21118
3917.12522338 0.0592497 5.12027
3920.92431983 -0.355703 4.26396
3924.72341628 -0.698343 3.5939
3928.52251273 -0.511314 3.06759
3932.32160917 0.705788 2.63443
3936.12070562 1.06113 2.28043
3939.91980207 0.835366 1.9866
3943.71889852 -0.0932906 1.7532
3947.51799496 -1.07985 1.55599
3951.31709141 -1.5126 1.39412
3955.11618786 -0.645654 1.25451
3958.91528431 0.918806 1.13204
3962.71438076 0.896966 1.02774
3966.5134772 0.0590802 0.935891
3970.31257365 0.308494 0.862086
3974.1116701 0.619596 0.793828
3977.91076655 0.517367 0.734582
3981.709863 0.63063 0.677652
3985.50895944 0.136389 0.627544
3989.30805589 -0.473722 0.58322
3993.10715234 -0.537085 0.545137
3996.90624879 -0.322187 0.511117
4000.70534524 -0.0295365 0.480325
4004.50444168 0.194087 0.452
4008.30353813 0.23305 0.425841
4012.10263458 0.14661 0.401703
4015.90173103 0.241237 0.38055
4019.70082748 0.336202 0.360771
4023.49992392 0.186234 0.342468
4027.29902037 0.062395 0.325546
4031.09811682 0.058195 0.311032
4034.89721327 -0.0674369 0.298108
4038.69630971 -0.278389 0.286243
4042.49540616 -0.154772 0.274674
4046.29450261 0.253438 0.264288
4050.09359906 0.377248 0.254461
4053.89269551 0.160118 0.24566
4057.69179195 0.0336148 0.237245
4061.4908884 0.102187 0.229089
4065.28998485 0.125308 0.222417
4069.0890813 0.118787 0.215289
4072.88817775 0.124748 0.209888
4076.68727419 0.142454 0.203346
4080.48637064 0.141341 0.198349
4084.28546709 0.0394256 0.192922
4088.08456354 0.0615759 0.188383
4091.88365999 0.10448 0.183983
4095.68275643 -0.0641059 0.179442
4099.48185288 -0.131249 0.176264
4103.28094933 0.0118354 0.173071
4107.08004578 0.188703 0.169955
4110.87914223 0.17719 0.166308
4114.67823867 0.0308735 0.163156
4118.47733512 0.0821123 0.160774
4122.27643157 0.163674 0.158484
4126.07552802 0.0595409 0.15594
4129.87462446 0.0346673 0.15332
4133.67372091 0.0926236 0.151173
4137.47281736 0.0401329 0.14888
4141.27191381 -0.0177532 0.147392
4145.07101026 -0.0478872 0.145711
4148.8701067 -0.0468226 0.144587
4152.66920315 -0.0550822 0.143463
4156.4682996 -0.0996611 0.142823
4160.26739605 -0.0650076 0.142755
4164.0664925 -0.00309686 0.142916
4167.86558894 0.0369665 0.14262
4171.66468539 0.0481532 0.141367
4175.46378184 0.0352805 0.140579
4179.26287829 -0.0865989 0.140132
4183.06197474 -0.23123 0.140725
4186.86107118 -0.143746 0.141065
4190.66016763 0.000918411 0.142234
4194.45926408 0.0756341 0.143193
4198.25836053 0.0828471 0.144767
4202.05745697 -0.012795 0.145851
4205.85655342 -0.0452898 0.147858
4209.65564987 -0.0426792 0.149485
4213.45474632 -0.101566 0.151821
4217.25384277 -0.0163196 0.15371
4221.05293921 0.120991 0.155426
4224.85203566 0.146862 0.157135
4228.65113211 0.199028 0.15935
4232.45022856 0.228548 0.161572
4236.24932501 0.207337 0.163638
4240.04842145 0.0735994 0.165266
4243.8475179 0.00310644 0.167357
4247.64661435 0.0816742 0.169331
4251.4457108 -0.0356671 0.171315
4255.24480725 -0.133364 0.173205
4259.04390369 -0.0295416 0.174399
4262.84300014 0.0664715 0.175309
4266.64209659 0.0589871 0.175098
4270.44119304 -0.0915082 0.175539
4274.24028949 -0.330732 0.175115
4278.03938593 -0.419963 0.174868
4281.83848238 -0.257637 0.173791
4285.63757883 -0.0709431 0.172465
4289.43667528 -0.109124 0.171448
4293.23577172 -0.164326 0.16917
4297.03486817 -0.146273 0.166666
4300.83396462 -0.315109 0.16323
4304.63306107 -0.216917 0.160885
4308.43215752 0.0896436 0.158483
4312.23125396 0.0424767 0.15673
4316.03035041 0.0149034 0.153925
4319.82944686 0.14651 0.150469
4323.62854331 0.191591 0.146875
4327.42763976 0.163264 0.143293
