#
# Pyroxene Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Bronzite HS9.3B
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Bronzite_HS9.3B_Pyroxene_BECKc_AREF.html
#
# wavelength is in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
5.4130000e-001  3.6857834e-001  1.3262355e-003
5.4330003e-001  3.6784026e-001  9.2782412e-004
5.4530001e-001  3.6853960e-001  9.5846021e-004
5.4730004e-001  3.6906004e-001  8.4975921e-004
5.4930001e-001  3.7030286e-001  1.1147670e-003
5.5129999e-001  3.7160081e-001  7.6974463e-004
5.5330002e-001  3.7439668e-001  6.1485200e-004
5.5530000e-001  3.7668937e-001  8.3550403e-004
5.5730003e-001  3.7850824e-001  7.8744511e-004
5.5930001e-001  3.8105729e-001  9.1993989e-004
5.6129998e-001  3.8164857e-001  9.8014926e-004
5.6330001e-001  3.8283938e-001  6.6635903e-004
5.6529999e-001  3.8502973e-001  7.8170979e-004
5.6730002e-001  3.8580173e-001  8.4304943e-004
5.6930000e-001  3.8689169e-001  9.0447167e-004
5.7129997e-001  3.8823533e-001  9.3838299e-004
5.7330000e-001  3.8672635e-001  1.2673619e-003
5.7529998e-001  3.8829511e-001  1.0145159e-003
5.7730001e-001  3.8902369e-001  1.0504415e-003
5.7929999e-001  3.8829660e-001  1.4953598e-003
5.8129996e-001  3.9169040e-001  1.1488225e-003
5.8329999e-001  3.9173645e-001  1.1276213e-003
5.8529997e-001  3.9146009e-001  9.8650693e-004
5.8730000e-001  3.9231977e-001  1.1412870e-003
5.8929998e-001  3.9372891e-001  1.1491316e-003
5.9130001e-001  3.9389968e-001  8.5553643e-004
5.9330004e-001  3.9502031e-001  9.9097472e-004
5.9530002e-001  3.9595658e-001  1.0012718e-003
5.9730005e-001  3.9620557e-001  1.1844068e-003
5.9930003e-001  3.9758712e-001  9.7005063e-004
6.0110003e-001  3.9813918e-001  9.9948957e-004
6.0270000e-001  3.9876616e-001  1.0973143e-003
6.0430002e-001  4.0022531e-001  9.1782818e-004
6.0589999e-001  4.0017882e-001  8.3092618e-004
6.0750008e-001  4.0125763e-001  1.1997191e-003
6.0910004e-001  4.0146366e-001  8.1863400e-004
6.1070001e-001  4.0226829e-001  7.7113323e-004
6.1229998e-001  4.0264532e-001  9.2613994e-004
6.1390001e-001  4.0424854e-001  8.7690738e-004
6.1550003e-001  4.0405315e-001  1.0331669e-003
6.1710006e-001  4.0546092e-001  7.8879681e-004
6.1870003e-001  4.0673706e-001  9.7957184e-004
6.2029999e-001  4.0726364e-001  9.6774561e-004
6.2189996e-001  4.0803233e-001  8.5280120e-004
6.2350005e-001  4.0919897e-001  9.0940273e-004
6.2510002e-001  4.1112530e-001  8.3359156e-004
6.2669998e-001  4.1143712e-001  9.2904869e-004
6.2830001e-001  4.1221470e-001  9.9244923e-004
6.2989998e-001  4.1189879e-001  8.6473062e-004
6.3169998e-001  4.1286901e-001  1.1490991e-003
6.3370001e-001  4.1356850e-001  7.8016327e-004
6.3569999e-001  4.1593492e-001  8.5057225e-004
6.3770002e-001  4.1570786e-001  9.2417031e-004
6.3970000e-001  4.1625923e-001  9.0207404e-004
6.4170003e-001  4.1685012e-001  8.2727888e-004
6.4370006e-001  4.1803977e-001  8.8976545e-004
