#
# ISO SWS/LWS Spectra of young stellar object GL7009S
# Dartois et al. 1998, A&A, 
#
# Combined SWS/LWS spectrum of GL7009 S obtained from P.Cox 
# through XT on 09/12/98
#
# lam - wavelength in microns
# flux - flux in W/cm^2/um
#
lam      flux
  2.8185 -3.94710e-19  
  2.8209  2.27643e-18  
  2.8232  4.61613e-18  
  2.8256  5.78286e-18  
  2.8279  5.17994e-18  
  2.8303  2.94523e-18  
  2.8326 -8.26254e-20  
  2.8350 -2.82590e-18  
  2.8374 -4.49216e-18  
  2.8397 -4.58994e-18  
  2.8421 -3.18854e-18  
  2.8445 -1.11096e-18  
  2.8468  7.50570e-19  
  2.8492  2.01283e-18  
  2.8516  2.50847e-18  
  2.8540  1.96039e-18  
  2.8563  5.50600e-19  
  2.8587 -9.09154e-19  
  2.8611 -1.98227e-18  
  2.8635 -2.90037e-18  
  2.8659 -4.17256e-18  
  2.8683 -5.89894e-18  
  2.8707 -7.60685e-18  
  2.8731 -8.70030e-18  
  2.8755 -8.98622e-18  
  2.8778 -8.56946e-18  
  2.8802 -7.48166e-18  
  2.8826 -5.52651e-18  
  2.8851 -2.73613e-18  
  2.8875  2.00758e-19  
  2.8899  2.68531e-18  
  2.8923  4.44986e-18  
  2.8947  4.79899e-18  
  2.8971  3.05846e-18  
  2.8995 -5.71916e-20  
  2.9019 -2.79701e-18  
  2.9044 -4.34723e-18  
  2.9068 -5.17281e-18  
  2.9092 -5.80825e-18  
  2.9116 -6.10176e-18  
  2.9140 -6.11144e-18  
  2.9165 -6.59034e-18  
  2.9189 -8.28278e-18  
  2.9213 -1.09704e-17  
  2.9238 -1.31732e-17  
  2.9262 -1.35058e-17  
  2.9287 -1.18397e-17  
  2.9311 -9.32293e-18  
  2.9335 -6.87197e-18  
  2.9360 -5.08112e-18  
  2.9384 -4.52523e-18  
  2.9409 -5.56059e-18  
  2.9433 -7.43851e-18  
  2.9458 -8.50783e-18  
  2.9482 -7.83998e-18  
  2.9507 -6.05920e-18  
  2.9532 -4.69418e-18  
  2.9556 -4.49359e-18  
  2.9581 -5.29164e-18  
  2.9606 -6.25840e-18  
  2.9630 -6.70138e-18  
  2.9655 -6.44288e-18  
  2.9680 -6.00620e-18  
  2.9704 -5.69428e-18  
  2.9729 -5.44408e-18  
  2.9754 -5.33682e-18  
  2.9779 -5.71011e-18  
  2.9804 -6.37038e-18  
  2.9828 -6.59552e-18  
  2.9853 -6.01595e-18  
  2.9878 -4.89469e-18  
  2.9903 -3.86775e-18  
  2.9928 -3.22860e-18  
  2.9953 -3.02024e-18  
  2.9978 -2.98628e-18  
  3.0003 -2.89040e-18  
  3.0028 -2.99475e-18  
  3.0053 -3.64425e-18  
  3.0078 -4.58142e-18  
  3.0103 -5.00648e-18  
  3.0128 -4.51885e-18  
  3.0153 -3.55284e-18  
  3.0178 -2.91359e-18  
  3.0202  2.53221e-19  
  3.0227  9.51569e-20  
  3.0252 -6.76649e-20  
  3.0278 -1.60624e-19  
  3.0303 -2.56518e-19  
  3.0328 -4.29593e-19  
  3.0354 -5.51343e-19  
  3.0379 -4.13027e-19  
  3.0404  8.24422e-21  
  3.0429  5.22737e-19  
  3.0455  1.08523e-18  
  3.0480  1.77161e-18  
  3.0506  2.56567e-18  
  3.0531  3.20807e-18  
  3.0557  3.49566e-18  
  3.0582  3.22094e-18  
  3.0608  2.57206e-18  
  3.0633  2.00139e-18  
  3.0659  1.70537e-18  
  3.0684  1.34614e-18  
  3.0710  6.05174e-19  
  3.0735 -3.64694e-19  
  3.0761 -1.13200e-18  
  3.0787 -1.53788e-18  
  3.0812 -1.49095e-18  
  3.0838 -8.16294e-19  
  3.0864  5.08951e-19  
  3.0889  1.98600e-18  
  3.0915  3.04576e-18  
  3.0941  3.41086e-18  
  3.0967  3.17032e-18  
  3.0993  2.51559e-18  
  3.1018  1.79034e-18  
  3.1044  1.23775e-18  
  3.1070  9.25732e-19  
  3.1096  7.14345e-19  
  3.1122  5.57155e-19  
  3.1148  5.30171e-19  
  3.1174  6.61486e-19  
  3.1200  7.84085e-19  
  3.1226  7.73213e-19  
  3.1252  5.88999e-19  
  3.1278  1.17975e-19  
  3.1304 -7.31587e-19  
  3.1330 -1.60572e-18  
  3.1356 -1.91449e-18  
  3.1382 -1.53956e-18  
  3.1409 -9.51837e-19  
  3.1435 -6.55963e-19  
  3.1461 -6.97140e-19  
  3.1487 -7.92646e-19  
  3.1513 -8.00619e-19  
  3.1540 -7.36832e-19  
  3.1566 -5.80165e-19  
  3.1592 -2.02315e-19  
  3.1619  4.41689e-19  
  3.1645  1.14664e-18  
  3.1671  1.47619e-18  
  3.1698  1.27863e-18  
  3.1724  6.76897e-19  
  3.1751 -7.53012e-21  
  3.1777 -5.62357e-19  
  3.1804 -9.67325e-19  
  3.1830 -1.21846e-18  
  3.1857 -1.15292e-18  
  3.1883 -6.71133e-19  
  3.1910 -4.68959e-20  
  3.1936  3.21981e-19  
  3.1963  3.21625e-19  
  3.1990  2.45666e-19  
  3.2016  2.58507e-19  
  3.2043  2.57807e-19  
  3.2070  7.20609e-20  
  3.2096 -2.99544e-19  
  3.2123 -6.48721e-19  
  3.2150 -7.95768e-19  
  3.2177 -7.77021e-19  
  3.2204 -6.46288e-19  
  3.2230 -4.90771e-19  
  3.2257 -2.31375e-19  
  3.2284  2.02570e-19  
  3.2311  7.58999e-19  
  3.2338  1.29590e-18  
  3.2365  1.76843e-18  
  3.2392  2.17417e-18  
  3.2419  2.51250e-18  
  3.2446  2.65980e-18  
  3.2473  2.51661e-18  
  3.2500  2.06888e-18  
  3.2527  1.47213e-18  
  3.2554  9.13077e-19  
  3.2582  4.61457e-19  
  3.2609  2.14817e-19  
  3.2636  3.37002e-19  
  3.2663  6.93566e-19  
  3.2690  9.63350e-19  
  3.2718  9.58190e-19  
  3.2745  8.11660e-19  
  3.2772  6.77197e-19  
  3.2799  6.20504e-19  
  3.2827  6.98808e-19  
  3.2854  1.01130e-18  
  3.2882  1.56217e-18  
