#
# Carbon Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Carbon Black GDS68
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Carbon_Black_GDS68_sm.ap._BECKa_AREF.html
#
# wavelength in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
5.3729999e-001  1.5799904e-002  1.5824700e-004
5.3929996e-001  1.5540341e-002  1.3548155e-004
5.4130000e-001  1.5707985e-002  1.4342036e-004
5.4330003e-001  1.5635114e-002  2.0591292e-004
5.4530001e-001  1.5599891e-002  1.2265061e-004
5.4730004e-001  1.5535163e-002  1.8112895e-004
5.4930001e-001  1.5656346e-002  1.3470590e-004
5.5129999e-001  1.5585641e-002  1.5419823e-004
5.5330002e-001  1.5463171e-002  1.5774192e-004
5.5530000e-001  1.5400335e-002  1.1859863e-004
5.5730003e-001  1.5455619e-002  1.3743619e-004
5.5930001e-001  1.5389102e-002  1.2904521e-004
5.6129998e-001  1.5459141e-002  2.0041304e-004
5.6330001e-001  1.5436959e-002  1.8757865e-004
5.6529999e-001  1.5423151e-002  1.3734911e-004
5.6730002e-001  1.5350555e-002  1.5492954e-004
5.6930000e-001  1.5401562e-002  1.4129616e-004
5.7129997e-001  1.5370539e-002  1.6827445e-004
5.7330000e-001  1.5562206e-002  2.4026788e-004
5.7529998e-001  1.5709626e-002  2.4051778e-004
5.7730001e-001  1.5535608e-002  2.1956918e-004
5.7929999e-001  1.5567563e-002  1.4773235e-004
5.8129996e-001  1.5724335e-002  1.4261922e-004
5.8329999e-001  1.5588480e-002  1.4995798e-004
5.8529997e-001  1.5538057e-002  2.4151271e-004
5.8730000e-001  1.5673587e-002  1.7377610e-004
5.8929998e-001  1.5526935e-002  1.6060022e-004
5.9130001e-001  1.5537587e-002  1.9225445e-004
5.9330004e-001  1.5709443e-002  1.5174969e-004
5.9530002e-001  1.5699709e-002  1.1154933e-004
5.9730005e-001  1.5407249e-002  1.1458958e-004
5.9930003e-001  1.5179903e-002  1.0641703e-004
6.0110003e-001  1.5501861e-002  1.6940913e-004
6.0270000e-001  1.5287410e-002  1.2711015e-004
6.0430002e-001  1.5362329e-002  1.7917425e-004
6.0589999e-001  1.5336819e-002  1.0813936e-004
6.0750008e-001  1.5335405e-002  1.7187683e-004
6.0910004e-001  1.5367271e-002  1.2102116e-004
6.1070001e-001  1.5349975e-002  1.6300420e-004
6.1229998e-001  1.5369808e-002  1.5316627e-004
6.1390001e-001  1.5404109e-002  1.6316913e-004
6.1550003e-001  1.5227591e-002  1.1711047e-004
6.1710006e-001  1.5287538e-002  1.0394609e-004
6.1870003e-001  1.5173146e-002  1.9371408e-004
6.2029999e-001  1.5264730e-002  1.4910888e-004
6.2189996e-001  1.5090269e-002  1.9994531e-004
6.2350005e-001  1.5401012e-002  1.5136579e-004
6.2510002e-001  1.5418801e-002  1.9764094e-004
6.2669998e-001  1.5397618e-002  1.6297551e-004
6.2830001e-001  1.5323994e-002  1.7107926e-004
6.2989998e-001  1.5205842e-002  1.9339893e-004
6.3169998e-001  1.5392283e-002  1.2534850e-004
6.3370001e-001  1.5278854e-002  1.3857477e-004
6.3569999e-001  1.5208635e-002  1.7060486e-004
6.3770002e-001  1.5146514e-002  1.7402301e-004
6.3970000e-001  1.5260031e-002  1.4815466e-004
6.4170003e-001  1.5412195e-002  2.0586423e-004
6.4370006e-001  1.5274178e-002  2.0826877e-004
6.4570004e-001  1.5106618e-002  1.2514612e-004
6.4770007e-001  1.5438722e-002  1.7807093e-004
6.4970005e-001  1.5346238e-002  2.5109365e-004
6.5170002e-001  1.5312675e-002  1.7368238e-004
6.5370005e-001  1.5330405e-002  1.8748092e-004
6.5570003e-001  1.5391770e-002  2.0436561e-004
6.5770006e-001  1.5396022e-002  1.8748178e-004
6.5970004e-001  1.5314755e-002  2.0847848e-004
6.6170001e-001  1.5380747e-002  2.1973767e-004
6.6370004e-001  1.5556666e-002  2.0990588e-004
6.6570002e-001  1.5290580e-002  2.2328539e-004
6.6770005e-001  1.5495169e-002  2.3078891e-004
6.7019999e-001  1.5326926e-002  1.1243526e-004
6.7320001e-001  1.5258265e-002  1.3682320e-004
6.7619997e-001  1.5425300e-002  2.6543278e-004
6.7919999e-001  1.5384383e-002  1.8070113e-004
6.8219995e-001  1.5392930e-002  1.3672424e-004
6.8519998e-001  1.5434810e-002  2.0264812e-004
6.8820000e-001  1.5386315e-002  1.0460144e-004
6.9120002e-001  1.5480693e-002  1.8127423e-004
6.9420004e-001  1.5610798e-002  1.5573885e-004
6.9720006e-001  1.5592211e-002  3.0370711e-004
7.0019996e-001  1.5714148e-002  2.0739320e-004
7.0199996e-001  1.5473391e-002  1.1921620e-004
7.0400000e-001  1.5542209e-002  1.5483842e-004
7.0599997e-001  1.5184928e-002  1.3113384e-004
7.0800000e-001  1.5583559e-002  1.3891724e-004
7.0999998e-001  1.5582805e-002  2.3278945e-004
7.1199995e-001  1.5595550e-002  1.9270777e-004
7.1399999e-001  1.5286747e-002  1.8897568e-004
7.1599996e-001  1.5597056e-002  1.4506339e-004
7.1799999e-001  1.5634622e-002  1.7132591e-004
7.1999997e-001  1.5530891e-002  1.7154789e-004
7.2199994e-001  1.5567940e-002  1.8034030e-004
7.2399998e-001  1.5543131e-002  1.8236897e-004
7.2599995e-001  1.5334827e-002  2.0272777e-004
7.2799999e-001  1.5302332e-002  2.5069286e-004
7.2999996e-001  1.5181736e-002  1.5855713e-004
7.3199993e-001  1.5647994e-002  2.3245765e-004
7.3399997e-001  1.5629493e-002  2.9011464e-004
7.3599994e-001  1.5553857e-002  2.1274875e-004
7.3799998e-001  1.5756134e-002  2.2557894e-004
7.4000001e-001  1.5633669e-002  1.8611323e-004
7.4199998e-001  1.5291822e-002  2.5223760e-004
7.4400002e-001  1.5274099e-002  4.0250219e-004
7.4599999e-001  1.5593665e-002  2.3181814e-004
7.4800003e-001  1.5491291e-002  1.6053252e-004
7.5050002e-001  1.5785698e-002  1.6797581e-004
7.5350004e-001  1.5472938e-002  1.3397440e-004
7.5650001e-001  1.5752304e-002  1.7717140e-004
7.5950003e-001  1.5216212e-002  1.9870188e-004
7.6249999e-001  1.5445746e-002  2.1292182e-004
7.6550001e-001  1.5461681e-002  2.6961361e-004
7.6850003e-001  1.6137952e-002  1.9023077e-004
7.7149999e-001  1.5438343e-002  2.3938406e-004
7.7450001e-001  1.5587609e-002  3.5585652e-004
7.7750003e-001  1.5732322e-002  1.7144818e-004
7.8099996e-001  1.5560281e-002  8.8686691e-005
7.8499997e-001  1.5342737e-002  2.1888955e-004
7.8899997e-001  1.5513550e-002  1.3506108e-004
7.9299998e-001  1.5325417e-002  3.1873732e-004
7.9699999e-001  1.5507636e-002  1.5052389e-004
8.0150002e-001  1.5099976e-002  1.9348659e-004
8.0650002e-001  1.4987027e-002  1.8723102e-004
8.1150001e-001  1.4971588e-002  2.6145595e-004
8.1650001e-001  1.4704692e-002  2.0498643e-004
8.2199997e-001  1.4656379e-002  2.4066673e-004
8.2800001e-001  1.3027410e-002  2.4593456e-004
8.3499998e-001  1.2935483e-002  1.5453706e-004
8.4300005e-001  1.3046199e-002  2.2200606e-004
8.5100001e-001  1.5463322e-002  3.1165378e-003
8.5900003e-001  1.5424968e-002  1.4516914e-003
8.7099999e-001  1.6764345e-002  9.6116721e-004
8.8300002e-001  1.6568150e-002  7.8635174e-004
8.9399999e-001  1.5990395e-002  7.4412784e-004
9.0399998e-001  1.6344909e-002  7.6037599e-004
9.1399997e-001  1.6505670e-002  5.4922001e-004
9.2399997e-001  1.5913960e-002  5.5468344e-004
9.3299997e-001  1.7374741e-002  5.5965077e-004
9.4099998e-001  1.6684175e-002  5.3845934e-004
9.4900000e-001  1.6190873e-002  5.1133032e-004
9.5700002e-001  1.6533406e-002  5.1380665e-004
9.6399999e-001  1.6731899e-002  5.2061083e-004
9.6999997e-001  1.6724396e-002  6.1758654e-004
9.7599995e-001  1.5859768e-002  5.1842356e-004
9.8199993e-001  1.6492993e-002  5.2079262e-004
9.8799998e-001  1.6109569e-002  5.1881612e-004
9.9400002e-001  1.6609345e-002  5.1808014e-004
1.0000000e+000  1.5921513e-002  5.1851087e-004
1.0060000e+000  1.5560934e-002  5.1730772e-004
1.0120000e+000  1.4962705e-002  5.1731407e-004
1.0180000e+000  1.6585009e-002  5.1885087e-004
1.0235000e+000  1.5582384e-002  5.1822991e-004
1.0285000e+000  1.6352678e-002  5.2010576e-004
1.0335000e+000  1.6228301e-002  5.1879155e-004
1.0385000e+000  1.5919659e-002  5.1787699e-004
1.0434999e+000  1.4816459e-002  5.1917927e-004
1.0484999e+000  1.5612829e-002  5.1861501e-004
1.0534999e+000  1.5485782e-002  5.1827758e-004
1.0584999e+000  1.4700730e-002  5.1949447e-004
1.0634999e+000  1.5888182e-002  5.1824312e-004
1.0684999e+000  1.5700571e-002  5.1877147e-004
1.0735000e+000  1.5888210e-002  5.2021944e-004
1.0785000e+000  1.4844011e-002  5.1895401e-004
1.0835000e+000  1.5542535e-002  5.1983958e-004
1.0885000e+000  1.4532642e-002  5.1970081e-004
1.0935000e+000  1.5835246e-002  5.1918603e-004
1.0985000e+000  1.5569407e-002  5.1771465e-004
1.1035000e+000  1.5558464e-002  5.1969796e-004
1.1085000e+000  1.5194274e-002  5.1746715e-004
1.1135000e+000  1.5456619e-002  5.1864859e-004
1.1185000e+000  1.4566252e-002  5.1919173e-004
1.1235000e+000  1.5802115e-002  5.1913160e-004
1.1285000e+000  1.5222338e-002  5.2018452e-004
1.1335000e+000  1.5631445e-002  5.1843992e-004
1.1385000e+000  1.4985309e-002  5.2005792e-004
1.1435000e+000  1.5180917e-002  5.1859714e-004
1.1485000e+000  1.4210548e-002  5.2022864e-004
1.1535000e+000  1.4455842e-002  5.1731314e-004
1.1585000e+000  1.4989917e-002  5.1812461e-004
1.1635000e+000  1.4856031e-002  5.1871449e-004
1.1684999e+000  1.6272550e-002  5.1960110e-004
1.1735001e+000  1.5099658e-002  5.2073936e-004
1.1785001e+000  1.3700945e-002  5.1965803e-004
1.1835001e+000  1.3750169e-002  5.1899487e-004
1.1885000e+000  1.3516895e-002  5.1714852e-004
1.1935000e+000  1.5457268e-002  5.1589950e-004
1.1985000e+000  1.4115801e-002  5.1556976e-004
1.2035000e+000  1.4533200e-002  5.1698560e-004
1.2085000e+000  1.4883371e-002  5.1651994e-004
1.2135000e+000  1.4628761e-002  5.1895250e-004
1.2185000e+000  1.4970020e-002  5.1743689e-004
1.2235000e+000  1.4739784e-002  5.1706360e-004
1.2285000e+000  1.4483242e-002  5.1892432e-004
1.2335000e+000  1.4517860e-002  5.1742198e-004
1.2385000e+000  1.4797162e-002  5.1775511e-004
1.2435000e+000  1.5113289e-002  5.1778817e-004
1.2485000e+000  1.5187858e-002  5.1874836e-004
1.2535000e+000  1.3342317e-002  5.1982654e-004
1.2585000e+000  1.4748648e-002  5.1821221e-004
