#
# Draine & Li IR Dust Emission
# "small" silicate grains (a<250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda      lamIlamH     sigExt    
   0.1726   3.9455E-33   5.2237E-23
   0.1733   4.1304E-33   5.0429E-23
   0.1741   4.3218E-33   4.8684E-23
   0.1749   4.5198E-33   4.7001E-23
   0.1757   4.7247E-33   4.5379E-23
   0.1765   4.9368E-33   4.3815E-23
   0.1773   5.1565E-33   4.2310E-23
   0.1781   5.3841E-33   4.0861E-23
   0.1790   5.6201E-33   3.9468E-23
   0.1798   5.8651E-33   3.8129E-23
   0.1806   6.1218E-33   3.6851E-23
   0.1814   6.3884E-33   3.5624E-23
   0.1822   6.6646E-33   3.4441E-23
   0.1831   6.9506E-33   3.3303E-23
   0.1839   7.2472E-33   3.2208E-23
   0.1848   7.5551E-33   3.1154E-23
   0.1856   7.8749E-33   3.0142E-23
   0.1864   8.2076E-33   2.9171E-23
   0.1873   8.5541E-33   2.8238E-23
   0.1881   8.9156E-33   2.7344E-23
   0.1890   9.2935E-33   2.6488E-23
   0.1899   9.6890E-33   2.5669E-23
   0.1907   1.0077E-32   2.4847E-23
   0.1916   1.0473E-32   2.4049E-23
   0.1925   1.0881E-32   2.3279E-23
   0.1934   1.1301E-32   2.2536E-23
   0.1942   1.1735E-32   2.1820E-23
   0.1951   1.2182E-32   2.1130E-23
   0.1960   1.2645E-32   2.0465E-23
   0.1969   1.3123E-32   1.9826E-23
   0.1978   1.3619E-32   1.9212E-23
   0.1987   1.4133E-32   1.8621E-23
   0.1996   1.4667E-32   1.8053E-23
   0.2005   1.5222E-32   1.7508E-23
   0.2015   1.5799E-32   1.6984E-23
   0.2024   1.6400E-32   1.6482E-23
   0.2033   1.7028E-32   1.6000E-23
   0.2042   1.7685E-32   1.5539E-23
   0.2052   1.8374E-32   1.5098E-23
   0.2061   1.9098E-32   1.4677E-23
   0.2070   1.9860E-32   1.4274E-23
   0.2080   2.0665E-32   1.3890E-23
   0.2089   2.1517E-32   1.3525E-23
   0.2099   2.2420E-32   1.3177E-23
   0.2108   2.3321E-32   1.2829E-23
   0.2118   2.4257E-32   1.2493E-23
   0.2128   2.5240E-32   1.2171E-23
   0.2137   2.6273E-32   1.1863E-23
   0.2147   2.7419E-32   1.1580E-23
   0.2157   2.8658E-32   1.1315E-23
   0.2167   2.9997E-32   1.1068E-23
   0.2177   3.1447E-32   1.0837E-23
   0.2187   3.2998E-32   1.0619E-23
   0.2197   3.4687E-32   1.0418E-23
   0.2207   3.6526E-32   1.0234E-23
   0.2217   3.8539E-32   1.0066E-23
   0.2227   4.0755E-32   9.9170E-24
   0.2237   4.3128E-32   9.7769E-24
   0.2247   4.5670E-32   9.6457E-24
   0.2257   4.8401E-32   9.5241E-24
   0.2268   5.1327E-32   9.4108E-24
   0.2278   5.4436E-32   9.3027E-24
   0.2289   5.7741E-32   9.1997E-24
   0.2299   6.1252E-32   9.1017E-24
   0.2309   6.4907E-32   9.0018E-24
   0.2320   6.8749E-32   8.9034E-24
   0.2331   7.2791E-32   8.8071E-24
   0.2341   7.7042E-32   8.7126E-24
   0.2352   8.1511E-32   8.6200E-24
   0.2363   8.6207E-32   8.5291E-24
   0.2373   9.1141E-32   8.4400E-24
   0.2384   9.6322E-32   8.3526E-24
   0.2395   1.0177E-31   8.2676E-24
   0.2406   1.0749E-31   8.1837E-24
   0.2417   1.1348E-31   8.1011E-24
   0.2428   1.1978E-31   8.0201E-24
   0.2439   1.2639E-31   7.9406E-24
   0.2450   1.3332E-31   7.8626E-24
   0.2462   1.4058E-31   7.7860E-24
   0.2473   1.4820E-31   7.7109E-24
   0.2484   1.5619E-31   7.6372E-24
   0.2495   1.6456E-31   7.5648E-24
   0.2507   1.7333E-31   7.4938E-24
   0.2518   1.8251E-31   7.4242E-24
   0.2530   1.9212E-31   7.3558E-24
   0.2541   2.0218E-31   7.2885E-24
   0.2553   2.1270E-31   7.2223E-24
   0.2565   2.2370E-31   7.1572E-24
   0.2576   2.3520E-31   7.0932E-24
   0.2588   2.4722E-31   7.0302E-24
   0.2600   2.5976E-31   6.9681E-24
   0.2612   2.7287E-31   6.9070E-24
   0.2624   2.8655E-31   6.8468E-24
   0.2636   3.0082E-31   6.7875E-24
   0.2648   3.1571E-31   6.7291E-24
   0.2660   3.3124E-31   6.6716E-24
   0.2672   3.4744E-31   6.6149E-24
   0.2684   3.6432E-31   6.5590E-24
   0.2696   3.8190E-31   6.5039E-24
   0.2709   4.0023E-31   6.4495E-24
   0.2721   4.1931E-31   6.3960E-24
   0.2733   4.3917E-31   6.3432E-24
   0.2746   4.5985E-31   6.2910E-24
   0.2758   4.8135E-31   6.2396E-24
   0.2771   5.0373E-31   6.1888E-24
   0.2784   5.2699E-31   6.1387E-24
   0.2796   5.5118E-31   6.0893E-24
   0.2809   5.7632E-31   6.0405E-24
   0.2822   6.0245E-31   5.9923E-24
   0.2835   6.2959E-31   5.9448E-24
   0.2848   6.5778E-31   5.8978E-24
   0.2861   6.8712E-31   5.8517E-24
   0.2874   7.1761E-31   5.8064E-24
   0.2887   7.4927E-31   5.7617E-24
   0.2900   7.8213E-31   5.7176E-24
   0.2913   8.1624E-31   5.6741E-24
   0.2927   8.5163E-31   5.6314E-24
   0.2940   8.8834E-31   5.5892E-24
   0.2953   9.2641E-31   5.5476E-24
   0.2967   9.6588E-31   5.5065E-24
   0.2980   1.0068E-30   5.4659E-24
   0.2994   1.0492E-30   5.4259E-24
   0.3008   1.0931E-30   5.3863E-24
   0.3021   1.1386E-30   5.3472E-24
   0.3035   1.1858E-30   5.3087E-24
   0.3049   1.2345E-30   5.2705E-24
   0.3063   1.2850E-30   5.2329E-24
   0.3077   1.3373E-30   5.1957E-24
   0.3091   1.3914E-30   5.1589E-24
   0.3105   1.4473E-30   5.1225E-24
   0.3119   1.5052E-30   5.0865E-24
   0.3134   1.5650E-30   5.0510E-24
   0.3148   1.6268E-30   5.0159E-24
   0.3162   1.6907E-30   4.9811E-24
   0.3177   1.7568E-30   4.9468E-24
   0.3191   1.8250E-30   4.9129E-24
   0.3206   1.8955E-30   4.8794E-24
   0.3220   1.9683E-30   4.8463E-24
   0.3235   2.0434E-30   4.8135E-24
   0.3250   2.1210E-30   4.7812E-24
   0.3265   2.2011E-30   4.7492E-24
   0.3280   2.2839E-30   4.7178E-24
   0.3295   2.3693E-30   4.6867E-24
   0.3310   2.4574E-30   4.6560E-24
   0.3325   2.5482E-30   4.6256E-24
   0.3340   2.6419E-30   4.5956E-24
   0.3355   2.7384E-30   4.5658E-24
   0.3370   2.8380E-30   4.5364E-24
   0.3386   2.9405E-30   4.5072E-24
   0.3401   3.0461E-30   4.4784E-24
   0.3417   3.1550E-30   4.4498E-24
   0.3432   3.2671E-30   4.4215E-24
   0.3448   3.3823E-30   4.3934E-24
   0.3464   3.5009E-30   4.3654E-24
   0.3480   3.6229E-30   4.3377E-24
   0.3496   3.7485E-30   4.3103E-24
   0.3511   3.8777E-30   4.2831E-24
   0.3528   4.0106E-30   4.2562E-24
   0.3544   4.1472E-30   4.2295E-24
   0.3560   4.2878E-30   4.2031E-24
   0.3576   4.4323E-30   4.1770E-24
   0.3592   4.5809E-30   4.1510E-24
   0.3609   4.7336E-30   4.1254E-24
   0.3625   4.8906E-30   4.1000E-24
   0.3642   5.0518E-30   4.0748E-24
   0.3658   5.2177E-30   4.0500E-24
   0.3675   5.3885E-30   4.0257E-24
   0.3692   5.5640E-30   4.0016E-24
   0.3709   5.7442E-30   3.9778E-24
   0.3726   5.9293E-30   3.9542E-24
   0.3743   6.1194E-30   3.9309E-24
   0.3760   6.3146E-30   3.9078E-24
   0.3777   6.5150E-30   3.8849E-24
   0.3794   6.7207E-30   3.8622E-24
   0.3812   6.9318E-30   3.8398E-24
   0.3829   7.1482E-30   3.8175E-24
   0.3846   7.3700E-30   3.7953E-24
   0.3864   7.5975E-30   3.7734E-24
   0.3882   7.8308E-30   3.7515E-24
   0.3899   8.0699E-30   3.7299E-24
   0.3917   8.3149E-30   3.7085E-24
   0.3935   8.5661E-30   3.6872E-24
   0.3953   8.8234E-30   3.6660E-24
   0.3971   9.0870E-30   3.6451E-24
   0.3989   9.3571E-30   3.6243E-24
   0.4007   9.6336E-30   3.6036E-24
   0.4026   9.9168E-30   3.5831E-24
   0.4044   1.0207E-29   3.5628E-24
   0.4062   1.0504E-29   3.5426E-24
   0.4081   1.0808E-29   3.5225E-24
   0.4100   1.1119E-29   3.5026E-24
   0.4118   1.1437E-29   3.4829E-24
   0.4137   1.1762E-29   3.4633E-24
   0.4156   1.2096E-29   3.4438E-24
   0.4175   1.2436E-29   3.4245E-24
   0.4194   1.2785E-29   3.4053E-24
   0.4213   1.3141E-29   3.3863E-24
   0.4232   1.3506E-29   3.3674E-24
   0.4252   1.3878E-29   3.3486E-24
   0.4271   1.4259E-29   3.3300E-24
   0.4291   1.4649E-29   3.3115E-24
   0.4310   1.5046E-29   3.2931E-24
   0.4330   1.5453E-29   3.2749E-24
   0.4350   1.5868E-29   3.2568E-24
   0.4370   1.6293E-29   3.2389E-24
   0.4389   1.6727E-29   3.2211E-24
