#
# Olivine Optical/NIR reflectance spectrum
#
# Source: USGS Digital Spectral Library splib07a
#         crustal.usgs.gov/speclab/QueryAll07a.php
#
# Sample: Olivine GDS70a
#         crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_GDS70.a_Fo89_165um_BECKb_AREF.html
#
# wavelength is in microns
# reflectance and error on an absolute 0..1 scale
#
# non-measurement records omitted in creating this merged data file
#
wavelength      reflectance     error
5.4730004e-001  4.0375373e-001  9.4600342e-004
5.4930001e-001  4.0584782e-001  7.9785316e-004
5.5129999e-001  4.0892369e-001  9.6743979e-004
5.5330002e-001  4.1037688e-001  9.3594007e-004
5.5530000e-001  4.1260698e-001  8.5328327e-004
5.5730003e-001  4.1426003e-001  1.1562547e-003
5.5930001e-001  4.1429108e-001  8.9031603e-004
5.6129998e-001  4.1728491e-001  8.6567266e-004
5.6330001e-001  4.1695943e-001  5.7564629e-004
5.6529999e-001  4.1599697e-001  8.5171394e-004
5.6730002e-001  4.1629136e-001  1.0929374e-003
5.6930000e-001  4.1505051e-001  7.5769721e-004
5.7129997e-001  4.1469070e-001  7.8681327e-004
5.7330000e-001  4.1514760e-001  1.0327346e-003
5.7529998e-001  4.1576499e-001  1.0775083e-003
5.7730001e-001  4.1319531e-001  1.1789778e-003
5.7929999e-001  4.1294152e-001  1.3556046e-003
5.8129996e-001  4.1011357e-001  9.6936582e-004
5.8329999e-001  4.0986040e-001  1.0640565e-003
5.8529997e-001  4.1037083e-001  1.0421689e-003
5.8730000e-001  4.0771222e-001  9.0789329e-004
5.8929998e-001  4.0421134e-001  1.2642267e-003
5.9130001e-001  4.0459991e-001  1.2852947e-003
5.9330004e-001  4.0388200e-001  1.1266147e-003
5.9530002e-001  4.0158617e-001  9.8773371e-004
5.9730005e-001  4.0012690e-001  1.0728462e-003
5.9930003e-001  3.9760453e-001  9.4822492e-004
6.0110003e-001  3.9634162e-001  1.7456277e-003
6.0270000e-001  3.9448351e-001  1.0620533e-003
6.0430002e-001  3.9128396e-001  1.0294530e-003
6.0589999e-001  3.9069718e-001  9.8054379e-004
6.0750008e-001  3.8926998e-001  1.0578317e-003
6.0910004e-001  3.8792744e-001  8.6240412e-004
6.1070001e-001  3.8632357e-001  9.3177415e-004
6.1229998e-001  3.8423091e-001  6.4351677e-004
6.1390001e-001  3.8312951e-001  6.7104999e-004
6.1550003e-001  3.7952697e-001  8.0960017e-004
6.1710006e-001  3.7489644e-001  7.6059462e-004
6.1870003e-001  3.7429053e-001  7.5487589e-004
6.2029999e-001  3.7131944e-001  1.2922549e-003
6.2189996e-001  3.6855087e-001  9.8012690e-004
6.2350005e-001  3.6703059e-001  9.4986899e-004
6.2510002e-001  3.6618069e-001  1.1378952e-003
6.2669998e-001  3.6128047e-001  1.3769265e-003
6.2830001e-001  3.6138529e-001  8.9450850e-004
6.2989998e-001  3.5976747e-001  7.8616571e-004
6.3169998e-001  3.5755959e-001  9.2293078e-004
6.3370001e-001  3.5425958e-001  8.6656213e-004
6.3569999e-001  3.5339606e-001  1.2393950e-003
6.3770002e-001  3.5337555e-001  6.9946441e-004
6.3970000e-001  3.5287315e-001  1.1081323e-003
6.4170003e-001  3.5368899e-001  8.8849699e-004
6.4370006e-001  3.5238466e-001  1.4515844e-003
6.4570004e-001  3.5089883e-001  1.1146717e-003
6.4770007e-001  3.5052884e-001  1.5610403e-003
6.4970005e-001  3.4986579e-001  8.8328659e-004
6.5170002e-001  3.5134855e-001  8.5800723e-004
6.5370005e-001  3.5084710e-001  1.1484172e-003
6.5570003e-001  3.5106382e-001  1.0846984e-003
6.5770006e-001  3.5029396e-001  1.5291834e-003
6.5970004e-001  3.4995928e-001  1.4210916e-003
6.6170001e-001  3.5154840e-001  1.3513220e-003
6.6370004e-001  3.5104653e-001  1.4392642e-003
6.6570002e-001  3.5241956e-001  1.6013265e-003
6.6770005e-001  3.5088032e-001  1.0844441e-003
6.7019999e-001  3.5183233e-001  1.1094880e-003
6.7320001e-001  3.5278392e-001  1.0346749e-003
6.7619997e-001  3.5553947e-001  9.4832567e-004
6.7919999e-001  3.5659939e-001  1.2332823e-003
6.8219995e-001  3.5649806e-001  1.0501053e-003
6.8519998e-001  3.5251760e-001  1.3652118e-003
6.8820000e-001  3.4932578e-001  1.2210571e-003
6.9120002e-001  3.4747899e-001  8.5349591e-004
6.9420004e-001  3.4359974e-001  9.4553642e-004
6.9720006e-001  3.4486896e-001  1.1716954e-003
7.0019996e-001  3.4324858e-001  1.3303794e-003
7.0199996e-001  3.4449881e-001  9.3211955e-004
7.0400000e-001  3.4275430e-001  1.1364175e-003
7.0599997e-001  3.4269068e-001  1.1963882e-003
7.0800000e-001  3.4100524e-001  1.3776318e-003
7.0999998e-001  3.3936599e-001  1.1078530e-003
7.1199995e-001  3.3805868e-001  8.7792159e-004
7.1399999e-001  3.3744627e-001  1.3347983e-003
7.1599996e-001  3.3863786e-001  1.0831143e-003
7.1799999e-001  3.3713192e-001  1.0377694e-003
7.1999997e-001  3.3659208e-001  1.4518918e-003
7.2199994e-001  3.3345428e-001  1.3612435e-003
7.2399998e-001  3.3368105e-001  1.4151494e-003
7.2599995e-001  3.3323064e-001  1.1819566e-003
7.2799999e-001  3.3013305e-001  1.6720480e-003
7.2999996e-001  3.2937798e-001  1.3986559e-003
7.3199993e-001  3.2823831e-001  1.5027552e-003
7.3399997e-001  3.2645023e-001  1.3439266e-003
7.3599994e-001  3.2474369e-001  1.3683368e-003
7.3799998e-001  3.2200888e-001  1.3326167e-003
7.4000001e-001  3.2059887e-001  1.7618680e-003
7.4199998e-001  3.2169238e-001  1.7553919e-003
7.4400002e-001  3.1662422e-001  1.7876441e-003
7.4599999e-001  3.1459987e-001  1.7891162e-003
7.4800003e-001  3.1098154e-001  2.7925475e-003
7.5050002e-001  3.0757505e-001  2.5880001e-003
7.5350004e-001  3.0382165e-001  7.3282298e-004
7.5650001e-001  3.0125818e-001  7.5379945e-004
7.5950003e-001  2.9649863e-001  9.2833565e-004
7.6249999e-001  2.9395822e-001  1.7485439e-003
7.6550001e-001  2.8907967e-001  5.8967056e-004
7.6850003e-001  2.8481719e-001  8.0326915e-004
7.7149999e-001  2.8229502e-001  8.9267304e-004
7.7450001e-001  2.7649885e-001  9.0774067e-004
7.7750003e-001  2.7329269e-001  7.7997288e-004
7.8099996e-001  2.6730603e-001  1.0300630e-003
7.8499997e-001  2.6122546e-001  9.2250953e-004
7.8899997e-001  2.5912812e-001  7.4859284e-004
7.9299998e-001  2.5228900e-001  1.6234845e-003
7.9699999e-001  2.4926399e-001  7.9897902e-004
8.0150002e-001  2.4378462e-001  7.7670009e-004
8.0650002e-001  2.3855515e-001  1.7336670e-003
8.1150001e-001  2.3304628e-001  7.1286492e-004
8.1650001e-001  2.3007938e-001  1.0411264e-003
8.2199997e-001  2.2406118e-001  6.7526061e-004
8.2800001e-001  2.1986990e-001  9.1351417e-004
8.3499998e-001  2.1541689e-001  7.3943392e-004
8.4300005e-001  2.0946677e-001  1.4540001e-003
8.5100001e-001  2.1012811e-001  1.8514387e-003
8.5900003e-001  2.0518050e-001  1.4817130e-003
8.7099999e-001  1.9743270e-001  1.4636900e-003
8.8300002e-001  1.9034617e-001  1.0413104e-003
8.9399999e-001  1.8343069e-001  1.1804816e-003
9.0399998e-001  1.7819992e-001  9.8172878e-004
9.1399997e-001  1.7172401e-001  7.9400162e-004
9.2399997e-001  1.6289426e-001  9.1474690e-004
9.3299997e-001  1.5455192e-001  1.1264961e-003
9.4099998e-001  1.4934956e-001  9.0116588e-004
9.4900000e-001  1.4136486e-001  1.1099667e-003
9.5700002e-001  1.3446362e-001  7.9777557e-004
9.6399999e-001  1.3020748e-001  7.2539825e-004
9.6999997e-001  1.2445401e-001  8.2112383e-004
9.7599995e-001  1.1976970e-001  1.0238431e-003
9.8199993e-001  1.1580820e-001  8.0490881e-004
9.8799998e-001  1.1219923e-001  7.4237364e-004
9.9400002e-001  1.0850209e-001  8.0950186e-004
1.0000000e+000  1.0415056e-001  9.7783341e-004
1.0060000e+000  1.0211848e-001  7.5709872e-004
1.0120000e+000  9.8314025e-002  5.5975863e-004
1.0180000e+000  9.7360894e-002  6.1546615e-004
1.0235000e+000  9.5460929e-002  1.0127296e-003
1.0285000e+000  9.4054721e-002  9.2581508e-004
1.0335000e+000  9.2116535e-002  1.1221779e-003
1.0385000e+000  9.1851868e-002  1.0035443e-003
1.0434999e+000  9.1642611e-002  7.5860485e-004
1.0484999e+000  9.0931855e-002  6.9741230e-004
1.0534999e+000  8.9894593e-002  7.0307800e-004
1.0584999e+000  8.8686161e-002  1.0031362e-003
1.0634999e+000  8.9607932e-002  9.1947988e-004
1.0684999e+000  8.9688905e-002  6.0539279e-004
1.0735000e+000  9.0099685e-002  6.8655680e-004
1.0785000e+000  9.1604695e-002  7.9489924e-004
1.0835000e+000  9.2565410e-002  7.2048174e-004
1.0885000e+000  9.3114384e-002  1.0025518e-003
1.0935000e+000  9.5092259e-002  7.6054956e-004
1.0985000e+000  9.6365407e-002  7.1183569e-004
1.1035000e+000  9.6142314e-002  8.6738594e-004
1.1085000e+000  9.9675052e-002  7.2655309e-004
1.1135000e+000  1.0031146e-001  8.0893235e-004
1.1185000e+000  1.0235213e-001  7.0727716e-004
1.1235000e+000  1.0334676e-001  9.8947738e-004
1.1285000e+000  1.0648610e-001  7.6880079e-004
1.1335000e+000  1.0664769e-001  7.9469959e-004
1.1385000e+000  1.0950933e-001  1.0585899e-003
1.1435000e+000  1.1030073e-001  8.7362685e-004
1.1485000e+000  1.1241072e-001  8.2505163e-004
1.1535000e+000  1.1402096e-001  7.4856926e-004
1.1585000e+000  1.1604049e-001  8.4279460e-004
1.1635000e+000  1.1676804e-001  7.1279920e-004
1.1684999e+000  1.1756969e-001  1.1510992e-003
1.1735001e+000  1.1972792e-001  1.7542647e-003
1.1785001e+000  1.2110831e-001  8.6634461e-004
1.1835001e+000  1.2177742e-001  8.3283166e-004
1.1885000e+000  1.2300348e-001  1.0284144e-003
1.1935000e+000  1.2394367e-001  7.6321961e-004
1.1985000e+000  1.2446649e-001  8.7941979e-004
1.2035000e+000  1.2572800e-001  1.0322346e-003
1.2085000e+000  1.2756120e-001  7.7267166e-004
1.2135000e+000  1.2759300e-001  9.3395007e-004
1.2185000e+000  1.2819590e-001  6.3543400e-004
1.2235000e+000  1.2958856e-001  6.6861819e-004
