#
# Draine & Li IR Dust Emission
# "small" graphitic/PAH grains (a<250A)
#
# lambda - wavelength in microns
# PAHs - PAH IR emission per H column (erg s^-1 H^-1)
# sigPAHs - PAH exinction cross section
# smGra - small graphitic grain IR emission per H column (erg s^-1 H^-1)
# sigGra - small graphitic grain exinction cross section
# 
lambda      PAHs         sigPAHs      smGra        sigGra    
   0.4470   5.7262E-28   5.7197E-23   8.4885E-31   9.4385E-24
   0.4491   5.7433E-28   5.6226E-23   8.5023E-31   9.3330E-24
   0.4511   5.7623E-28   5.5263E-23   8.5200E-31   9.2290E-24
   0.4532   5.7817E-28   5.4308E-23   8.5397E-31   9.1264E-24
   0.4552   5.8004E-28   5.3359E-23   8.5596E-31   9.0253E-24
   0.4573   5.8174E-28   5.2417E-23   8.5784E-31   8.9256E-24
   0.4594   5.8324E-28   5.1482E-23   8.5956E-31   8.8273E-24
   0.4615   5.8456E-28   5.0554E-23   8.6113E-31   8.7304E-24
   0.4636   5.8575E-28   4.9632E-23   8.6263E-31   8.6349E-24
   0.4657   5.8693E-28   4.8718E-23   8.6418E-31   8.5406E-24
   0.4679   5.8820E-28   4.7812E-23   8.6594E-31   8.4477E-24
   0.4700   5.8968E-28   4.6912E-23   8.6805E-31   8.3561E-24
   0.4721   5.9146E-28   4.6021E-23   8.7064E-31   8.2658E-24
   0.4743   5.9362E-28   4.5137E-23   8.7380E-31   8.1767E-24
   0.4765   5.9620E-28   4.4261E-23   8.7757E-31   8.0888E-24
   0.4786   5.9919E-28   4.3393E-23   8.8195E-31   8.0022E-24
   0.4808   6.0257E-28   4.2534E-23   8.8688E-31   7.9167E-24
   0.4830   6.0626E-28   4.1684E-23   8.9226E-31   7.8325E-24
   0.4852   6.1020E-28   4.0844E-23   8.9799E-31   7.7494E-24
   0.4874   6.1429E-28   4.0016E-23   9.0391E-31   7.6683E-24
   0.4897   6.1842E-28   3.9199E-23   9.0987E-31   7.5886E-24
   0.4919   6.2248E-28   3.8394E-23   9.1570E-31   7.5099E-24
   0.4941   6.2636E-28   3.7601E-23   9.2125E-31   7.4322E-24
   0.4964   6.2999E-28   3.6821E-23   9.2638E-31   7.3555E-24
   0.4987   6.3329E-28   3.6053E-23   9.3098E-31   7.2798E-24
   0.5009   6.3622E-28   3.5299E-23   9.3501E-31   7.2050E-24
   0.5032   6.3880E-28   3.4558E-23   9.3845E-31   7.1311E-24
   0.5055   6.4106E-28   3.3831E-23   9.4137E-31   7.0582E-24
   0.5078   6.4310E-28   3.3117E-23   9.4390E-31   6.9862E-24
   0.5101   6.4503E-28   3.2417E-23   9.4624E-31   6.9151E-24
   0.5125   6.4702E-28   3.1731E-23   9.4862E-31   6.8449E-24
   0.5148   6.4924E-28   3.1058E-23   9.5131E-31   6.7756E-24
   0.5172   6.5183E-28   3.0401E-23   9.5456E-31   6.7071E-24
   0.5195   6.5494E-28   2.9757E-23   9.5857E-31   6.6395E-24
   0.5219   6.5866E-28   2.9127E-23   9.6351E-31   6.5728E-24
   0.5243   6.6304E-28   2.8510E-23   9.6947E-31   6.5069E-24
   0.5267   6.6809E-28   2.7905E-23   9.7646E-31   6.4419E-24
   0.5291   6.7379E-28   2.7312E-23   9.8448E-31   6.3776E-24
   0.5315   6.8009E-28   2.6729E-23   9.9344E-31   6.3142E-24
   0.5339   6.8690E-28   2.6157E-23   1.0032E-30   6.2516E-24
   0.5363   6.9417E-28   2.5594E-23   1.0138E-30   6.1897E-24
   0.5388   7.0181E-28   2.5039E-23   1.0250E-30   6.1287E-24
   0.5413   7.0977E-28   2.4493E-23   1.0367E-30   6.0684E-24
   0.5437   7.1803E-28   2.3954E-23   1.0490E-30   6.0088E-24
   0.5462   7.2659E-28   2.3425E-23   1.0617E-30   5.9500E-24
   0.5487   7.3547E-28   2.2903E-23   1.0750E-30   5.8920E-24
   0.5512   7.4472E-28   2.2390E-23   1.0889E-30   5.8345E-24
   0.5537   7.5438E-28   2.1886E-23   1.1034E-30   5.7776E-24
   0.5563   7.6448E-28   2.1389E-23   1.1185E-30   5.7214E-24
   0.5588   7.7504E-28   2.0900E-23   1.1343E-30   5.6659E-24
   0.5613   7.8601E-28   2.0418E-23   1.1507E-30   5.6111E-24
   0.5639   7.9735E-28   1.9944E-23   1.1676E-30   5.5569E-24
   0.5665   8.0896E-28   1.9476E-23   1.1848E-30   5.5033E-24
   0.5691   8.2072E-28   1.9016E-23   1.2022E-30   5.4504E-24
   0.5717   8.3250E-28   1.8562E-23   1.2195E-30   5.3982E-24
   0.5743   8.4413E-28   1.8117E-23   1.2366E-30   5.3465E-24
   0.5769   8.5547E-28   1.7680E-23   1.2531E-30   5.2955E-24
   0.5795   8.6636E-28   1.7251E-23   1.2688E-30   5.2451E-24
   0.5822   8.7663E-28   1.6831E-23   1.2835E-30   5.1953E-24
   0.5848   8.8614E-28   1.6420E-23   1.2969E-30   5.1461E-24
   0.5875   8.9473E-28   1.6019E-23   1.3088E-30   5.0976E-24
   0.5902   9.0229E-28   1.5626E-23   1.3191E-30   5.0496E-24
   0.5929   9.0871E-28   1.5241E-23   1.3274E-30   5.0021E-24
   0.5956   9.1392E-28   1.4865E-23   1.3338E-30   4.9553E-24
   0.5983   9.1790E-28   1.4497E-23   1.3382E-30   4.9090E-24
   0.6010   9.2071E-28   1.4137E-23   1.3408E-30   4.8633E-24
   0.6038   9.2245E-28   1.3785E-23   1.3416E-30   4.8181E-24
   0.6065   9.2330E-28   1.3440E-23   1.3410E-30   4.7735E-24
   0.6093   9.2346E-28   1.3103E-23   1.3393E-30   4.7294E-24
   0.6121   9.2317E-28   1.2773E-23   1.3369E-30   4.6858E-24
   0.6149   9.2262E-28   1.2450E-23   1.3341E-30   4.6428E-24
   0.6177   9.2199E-28   1.2135E-23   1.3313E-30   4.6002E-24
   0.6205   9.2136E-28   1.1828E-23   1.3285E-30   4.5582E-24
   0.6233   9.2077E-28   1.1527E-23   1.3259E-30   4.5167E-24
   0.6262   9.2016E-28   1.1232E-23   1.3235E-30   4.4757E-24
   0.6290   9.1943E-28   1.0944E-23   1.3210E-30   4.4352E-24
   0.6319   9.1846E-28   1.0662E-23   1.3184E-30   4.3952E-24
   0.6348   9.1710E-28   1.0386E-23   1.3155E-30   4.3556E-24
   0.6377   9.1521E-28   1.0115E-23   1.3119E-30   4.3165E-24
   0.6406   9.1272E-28   9.8496E-24   1.3077E-30   4.2779E-24
   0.6435   9.0958E-28   9.5896E-24   1.3028E-30   4.2398E-24
   0.6465   9.0586E-28   9.3350E-24   1.2972E-30   4.2021E-24
   0.6494   9.0168E-28   9.0858E-24   1.2911E-30   4.1648E-24
   0.6524   8.9723E-28   8.8421E-24   1.2848E-30   4.1280E-24
   0.6554   8.9275E-28   8.6041E-24   1.2786E-30   4.0917E-24
   0.6584   8.8844E-28   8.3716E-24   1.2727E-30   4.0552E-24
   0.6614   8.8456E-28   8.1447E-24   1.2675E-30   4.0188E-24
   0.6644   8.8134E-28   7.9236E-24   1.2633E-30   3.9828E-24
   0.6674   8.7894E-28   7.7080E-24   1.2604E-30   3.9472E-24
   0.6705   8.7744E-28   7.4979E-24   1.2588E-30   3.9120E-24
   0.6735   8.7689E-28   7.2931E-24   1.2586E-30   3.8771E-24
   0.6766   8.7728E-28   7.0934E-24   1.2599E-30   3.8427E-24
   0.6797   8.7859E-28   6.8988E-24   1.2624E-30   3.8086E-24
   0.6828   8.8078E-28   6.7092E-24   1.2663E-30   3.7748E-24
   0.6859   8.8382E-28   6.5245E-24   1.2715E-30   3.7415E-24
   0.6890   8.8771E-28   6.3449E-24   1.2779E-30   3.7084E-24
   0.6922   8.9245E-28   6.1703E-24   1.2855E-30   3.6758E-24
   0.6953   8.9807E-28   6.0007E-24   1.2945E-30   3.6435E-24
   0.6985   9.0461E-28   5.8361E-24   1.3047E-30   3.6115E-24
   0.7017   9.1211E-28   5.6763E-24   1.3163E-30   3.5799E-24
   0.7049   9.2062E-28   5.5213E-24   1.3294E-30   3.5485E-24
   0.7081   9.3017E-28   5.3708E-24   1.3439E-30   3.5175E-24
   0.7114   9.4080E-28   5.2249E-24   1.3599E-30   3.4867E-24
   0.7146   9.5250E-28   5.0832E-24   1.3774E-30   3.4562E-24
   0.7179   9.6527E-28   4.9458E-24   1.3964E-30   3.4260E-24
   0.7211   9.7910E-28   4.8124E-24   1.4168E-30   3.3961E-24
   0.7244   9.9395E-28   4.6830E-24   1.4387E-30   3.3665E-24
   0.7277   1.0098E-27   4.5575E-24   1.4620E-30   3.3372E-24
   0.7311   1.0266E-27   4.4358E-24   1.4865E-30   3.3081E-24
   0.7344   1.0443E-27   4.3176E-24   1.5124E-30   3.2793E-24
   0.7378   1.0629E-27   4.2029E-24   1.5395E-30   3.2508E-24
   0.7411   1.0824E-27   4.0916E-24   1.5677E-30   3.2226E-24
   0.7445   1.1026E-27   3.9833E-24   1.5971E-30   3.1946E-24
   0.7479   1.1236E-27   3.8782E-24   1.6276E-30   3.1669E-24
   0.7513   1.1454E-27   3.7759E-24   1.6590E-30   3.1394E-24
   0.7547   1.1678E-27   3.6765E-24   1.6915E-30   3.1123E-24
   0.7582   1.1909E-27   3.5798E-24   1.7249E-30   3.0853E-24
   0.7617   1.2147E-27   3.4859E-24   1.7592E-30   3.0587E-24
   0.7651   1.2390E-27   3.3945E-24   1.7944E-30   3.0322E-24
   0.7686   1.2640E-27   3.3056E-24   1.8304E-30   3.0061E-24
   0.7721   1.2896E-27   3.2192E-24   1.8673E-30   2.9802E-24
   0.7757   1.3158E-27   3.1352E-24   1.9051E-30   2.9545E-24
   0.7792   1.3426E-27   3.0536E-24   1.9438E-30   2.9291E-24
   0.7828   1.3700E-27   2.9743E-24   1.9833E-30   2.9039E-24
   0.7863   1.3981E-27   2.8972E-24   2.0238E-30   2.8790E-24
   0.7899   1.4269E-27   2.8224E-24   2.0652E-30   2.8543E-24
   0.7935   1.4565E-27   2.7498E-24   2.1077E-30   2.8299E-24
   0.7971   1.4867E-27   2.6793E-24   2.1511E-30   2.8056E-24
   0.8008   1.5177E-27   2.6110E-24   2.1956E-30   2.7816E-24
   0.8044   1.5494E-27   2.5446E-24   2.2412E-30   2.7579E-24
   0.8081   1.5820E-27   2.4801E-24   2.2878E-30   2.7343E-24
   0.8118   1.6152E-27   2.4176E-24   2.3354E-30   2.7110E-24
   0.8155   1.6493E-27   2.3570E-24   2.3842E-30   2.6879E-24
   0.8192   1.6841E-27   2.2982E-24   2.4340E-30   2.6650E-24
   0.8230   1.7198E-27   2.2412E-24   2.4848E-30   2.6423E-24
   0.8267   1.7562E-27   2.1860E-24   2.5368E-30   2.6199E-24
   0.8305   1.7934E-27   2.1325E-24   2.5899E-30   2.5977E-24
   0.8343   1.8313E-27   2.0808E-24   2.6440E-30   2.5756E-24
   0.8381   1.8701E-27   2.0308E-24   2.6993E-30   2.5538E-24
   0.8419   1.9097E-27   1.9825E-24   2.7556E-30   2.5323E-24
   0.8458   1.9501E-27   1.9358E-24   2.8131E-30   2.5109E-24
   0.8496   1.9912E-27   1.8907E-24   2.8716E-30   2.4897E-24
   0.8535   2.0332E-27   1.8473E-24   2.9313E-30   2.4688E-24
   0.8574   2.0760E-27   1.8054E-24   2.9920E-30   2.4481E-24
   0.8613   2.1196E-27   1.7650E-24   3.0539E-30   2.4276E-24
   0.8652   2.1640E-27   1.7261E-24   3.1169E-30   2.4073E-24
   0.8692   2.2092E-27   1.6887E-24   3.1810E-30   2.3873E-24
   0.8732   2.2552E-27   1.6526E-24   3.2462E-30   2.3674E-24
   0.8772   2.3020E-27   1.6179E-24   3.3126E-30   2.3478E-24
   0.8812   2.3497E-27   1.5844E-24   3.3800E-30   2.3283E-24
   0.8852   2.3981E-27   1.5522E-24   3.4486E-30   2.3091E-24
   0.8892   2.4474E-27   1.5211E-24   3.5183E-30   2.2900E-24
   0.8933   2.4975E-27   1.4910E-24   3.5892E-30   2.2712E-24
   0.8974   2.5485E-27   1.4620E-24   3.6612E-30   2.2525E-24
   0.9015   2.6002E-27   1.4339E-24   3.7342E-30   2.2339E-24
   0.9056   2.6527E-27   1.4067E-24   3.8083E-30   2.2155E-24
   0.9097   2.7059E-27   1.3804E-24   3.8835E-30   2.1972E-24
   0.9139   2.7600E-27   1.3549E-24   3.9598E-30   2.1791E-24
   0.9180   2.8149E-27   1.3301E-24   4.0372E-30   2.1612E-24
   0.9222   2.8707E-27   1.3061E-24   4.1158E-30   2.1434E-24
   0.9264   2.9273E-27   1.2828E-24   4.1955E-30   2.1257E-24
   0.9307   2.9847E-27   1.2601E-24   4.2763E-30   2.1083E-24
   0.9349   3.0429E-27   1.2380E-24   4.3583E-30   2.0909E-24
   0.9392   3.1020E-27   1.2164E-24   4.4414E-30   2.0738E-24
   0.9435   3.1620E-27   1.1954E-24   4.5257E-30   2.0567E-24
   0.9478   3.2227E-27   1.1749E-24   4.6111E-30   2.0398E-24
   0.9521   3.2843E-27   1.1549E-24   4.6977E-30   2.0231E-24
   0.9564   3.3468E-27   1.1353E-24   4.7854E-30   2.0065E-24
   0.9608   3.4101E-27   1.1161E-24   4.8742E-30   1.9900E-24
   0.9652   3.4743E-27   1.0974E-24   4.9643E-30   1.9737E-24
   0.9696   3.5393E-27   1.0790E-24   5.0555E-30   1.9575E-24
   0.9740   3.6051E-27   1.0610E-24   5.1478E-30   1.9415E-24
   0.9785   3.6719E-27   1.0434E-24   5.2413E-30   1.9255E-24
   0.9829   3.7394E-27   1.0261E-24   5.3360E-30   1.9098E-24
   0.9874   3.8079E-27   1.0092E-24   5.4318E-30   1.8941E-24
   0.9919   3.8772E-27   9.9272E-25   5.5288E-30   1.8786E-24
   0.9965   3.9473E-27   9.7666E-25   5.6270E-30   1.8633E-24
   1.0010   4.0183E-27   9.6103E-25   5.7263E-30   1.8480E-24
   1.0056   4.0901E-27   9.4587E-25   5.8266E-30   1.8329E-24
   1.0102   4.1627E-27   9.3122E-25   5.9281E-30   1.8179E-24
   1.0148   4.2362E-27   9.1712E-25   6.0308E-30   1.8031E-24
   1.0194   4.3106E-27   9.0360E-25   6.1347E-30   1.7885E-24
   1.0241   4.3858E-27   8.9067E-25   6.2397E-30   1.7741E-24
   1.0287   4.4620E-27   8.7832E-25   6.3459E-30   1.7598E-24
   1.0334   4.5390E-27   8.6656E-25   6.4533E-30   1.7457E-24
   1.0382   4.6168E-27   8.5537E-25   6.5619E-30   1.7318E-24
   1.0429   4.6956E-27   8.4470E-25   6.6717E-30   1.7180E-24
   1.0477   4.7752E-27   8.3454E-25   6.7827E-30   1.7045E-24
   1.0524   4.8558E-27   8.2483E-25   6.8948E-30   1.6911E-24
   1.0572   4.9372E-27   8.1554E-25   7.0082E-30   1.6778E-24
   1.0621   5.0194E-27   8.0664E-25   7.1227E-30   1.6647E-24
   1.0669   5.1026E-27   7.9807E-25   7.2384E-30   1.6518E-24
   1.0718   5.1866E-27   7.8981E-25   7.3553E-30   1.6389E-24
   1.0767   5.2716E-27   7.8183E-25   7.4734E-30   1.6263E-24
   1.0816   5.3574E-27   7.7409E-25   7.5926E-30   1.6137E-24
   1.0865   5.4440E-27   7.6657E-25   7.7130E-30   1.6013E-24
   1.0915   5.5316E-27   7.5924E-25   7.8346E-30   1.5890E-24
   1.0965   5.6200E-27   7.5209E-25   7.9574E-30   1.5768E-24
   1.1015   5.7093E-27   7.4509E-25   8.0814E-30   1.5647E-24
   1.1065   5.7994E-27   7.3823E-25   8.2065E-30   1.5527E-24
   1.1116   5.8905E-27   7.3149E-25   8.3328E-30   1.5409E-24
   1.1166   5.9824E-27   7.2486E-25   8.4602E-30   1.5291E-24
   1.1217   6.0752E-27   7.1833E-25   8.5888E-30   1.5175E-24
   1.1269   6.1688E-27   7.1188E-25   8.7186E-30   1.5059E-24
   1.1320   6.2637E-27   7.0557E-25   8.8501E-30   1.4946E-24
   1.1372   6.3596E-27   6.9933E-25   8.9829E-30   1.4833E-24
   1.1424   6.4563E-27   6.9315E-25   9.1168E-30   1.4721E-24
   1.1476   6.5540E-27   6.8705E-25   9.2520E-30   1.4611E-24
   1.1528   6.6525E-27   6.8100E-25   9.3883E-30   1.4501E-24
   1.1581   6.7519E-27   6.7502E-25   9.5259E-30   1.4393E-24
   1.1634   6.8522E-27   6.6910E-25   9.6646E-30   1.4285E-24
   1.1687   6.9534E-27   6.6323E-25   9.8045E-30   1.4178E-24
   1.1740   7.0555E-27   6.5744E-25   9.9456E-30   1.4072E-24
   1.1794   7.1584E-27   6.5170E-25   1.0088E-29   1.3968E-24
   1.1847   7.2623E-27   6.4605E-25   1.0231E-29   1.3864E-24
   1.1902   7.3670E-27   6.4047E-25   1.0376E-29   1.3761E-24
   1.1956   7.4726E-27   6.3497E-25   1.0522E-29   1.3659E-24
   1.2010   7.5790E-27   6.2957E-25   1.0669E-29   1.3558E-24
   1.2065   7.6864E-27   6.2426E-25   1.0817E-29   1.3457E-24
   1.2120   7.7945E-27   6.1906E-25   1.0966E-29   1.3358E-24
   1.2176   7.9036E-27   6.1396E-25   1.1117E-29   1.3260E-24
   1.2231   8.0135E-27   6.0897E-25   1.1268E-29   1.3163E-24
   1.2287   8.1242E-27   6.0408E-25   1.1421E-29   1.3066E-24
   1.2343   8.2358E-27   5.9929E-25   1.1575E-29   1.2971E-24
   1.2400   8.3482E-27   5.9461E-25   1.1730E-29   1.2876E-24
   1.2456   8.4615E-27   5.9002E-25   1.1886E-29   1.2783E-24
   1.2513   8.5753E-27   5.8550E-25   1.2042E-29   1.2689E-24
   1.2570   8.6891E-27   5.8100E-25   1.2199E-29   1.2596E-24
   1.2628   8.8036E-27   5.7657E-25   1.2357E-29   1.2503E-24
   1.2685   8.9187E-27   5.7221E-25   1.2515E-29   1.2412E-24
   1.2743   9.0346E-27   5.6791E-25   1.2675E-29   1.2320E-24
   1.2801   9.1511E-27   5.6367E-25   1.2835E-29   1.2230E-24
   1.2860   9.2683E-27   5.5948E-25   1.2996E-29   1.2140E-24
   1.2918   9.3861E-27   5.5535E-25   1.3158E-29   1.2051E-24
   1.2977   9.5046E-27   5.5125E-25   1.3321E-29   1.1963E-24
   1.3037   9.6237E-27   5.4721E-25   1.3485E-29   1.1875E-24
   1.3096   9.7433E-27   5.4320E-25   1.3649E-29   1.1788E-24
   1.3156   9.8635E-27   5.3922E-25   1.3814E-29   1.1702E-24
   1.3216   9.9842E-27   5.3528E-25   1.3980E-29   1.1616E-24
   1.3276   1.0106E-26   5.3138E-25   1.4147E-29   1.1530E-24
   1.3337   1.0228E-26   5.2751E-25   1.4314E-29   1.1446E-24
   1.3398   1.0350E-26   5.2368E-25   1.4483E-29   1.1362E-24
   1.3459   1.0473E-26   5.1988E-25   1.4652E-29   1.1278E-24
   1.3520   1.0597E-26   5.1612E-25   1.4821E-29   1.1196E-24
   1.3582   1.0721E-26   5.1238E-25   1.4992E-29   1.1114E-24
   1.3644   1.0846E-26   5.0868E-25   1.5163E-29   1.1032E-24
   1.3706   1.0971E-26   5.0501E-25   1.5335E-29   1.0951E-24
   1.3769   1.1097E-26   5.0136E-25   1.5507E-29   1.0871E-24
   1.3832   1.1223E-26   4.9774E-25   1.5680E-29   1.0791E-24
   1.3895   1.1349E-26   4.9414E-25   1.5854E-29   1.0712E-24
   1.3958   1.1476E-26   4.9057E-25   1.6028E-29   1.0633E-24
   1.4022   1.1604E-26   4.8704E-25   1.6203E-29   1.0555E-24
   1.4086   1.1732E-26   4.8354E-25   1.6378E-29   1.0478E-24
   1.4150   1.1860E-26   4.8007E-25   1.6555E-29   1.0401E-24
   1.4215   1.1990E-26   4.7663E-25   1.6732E-29   1.0325E-24
   1.4280   1.2119E-26   4.7322E-25   1.6910E-29   1.0250E-24
   1.4345   1.2250E-26   4.6984E-25   1.7089E-29   1.0176E-24
   1.4411   1.2381E-26   4.6649E-25   1.7268E-29   1.0102E-24
   1.4476   1.2512E-26   4.6317E-25   1.7448E-29   1.0028E-24
   1.4542   1.2644E-26   4.5988E-25   1.7629E-29   9.9556E-25
   1.4609   1.2776E-26   4.5663E-25   1.7811E-29   9.8838E-25
   1.4675   1.2910E-26   4.5343E-25   1.7994E-29   9.8130E-25
   1.4742   1.3044E-26   4.5025E-25   1.8178E-29   9.7428E-25
   1.4810   1.3179E-26   4.4711E-25   1.8363E-29   9.6733E-25
   1.4877   1.3314E-26   4.4399E-25   1.8548E-29   9.6044E-25
   1.4945   1.3450E-26   4.4090E-25   1.8734E-29   9.5361E-25
   1.5014   1.3586E-26   4.3783E-25   1.8921E-29   9.4684E-25
   1.5082   1.3723E-26   4.3479E-25   1.9109E-29   9.4012E-25
   1.5151   1.3860E-26   4.3178E-25   1.9297E-29   9.3347E-25
   1.5220   1.3997E-26   4.2880E-25   1.9485E-29   9.2687E-25
   1.5290   1.4135E-26   4.2584E-25   1.9674E-29   9.2033E-25
   1.5359   1.4274E-26   4.2290E-25   1.9864E-29   9.1385E-25
   1.5429   1.4412E-26   4.1999E-25   2.0055E-29   9.0742E-25
   1.5500   1.4552E-26   4.1711E-25   2.0246E-29   9.0105E-25
   1.5571   1.4692E-26   4.1426E-25   2.0438E-29   8.9477E-25
   1.5642   1.4832E-26   4.1143E-25   2.0630E-29   8.8852E-25
   1.5713   1.4972E-26   4.0862E-25   2.0823E-29   8.8232E-25
   1.5785   1.5113E-26   4.0583E-25   2.1016E-29   8.7615E-25
   1.5857   1.5253E-26   4.0305E-25   2.1209E-29   8.7003E-25
   1.5929   1.5394E-26   4.0029E-25   2.1402E-29   8.6395E-25
   1.6002   1.5535E-26   3.9755E-25   2.1596E-29   8.5790E-25
   1.6075   1.5676E-26   3.9483E-25   2.1789E-29   8.5190E-25
   1.6148   1.5817E-26   3.9212E-25   2.1983E-29   8.4594E-25
   1.6222   1.5958E-26   3.8944E-25   2.2177E-29   8.4001E-25
   1.6296   1.6099E-26   3.8677E-25   2.2371E-29   8.3413E-25
   1.6371   1.6241E-26   3.8411E-25   2.2565E-29   8.2828E-25
   1.6445   1.6382E-26   3.8148E-25   2.2759E-29   8.2248E-25
   1.6520   1.6523E-26   3.7885E-25   2.2953E-29   8.1669E-25
   1.6596   1.6662E-26   3.7621E-25   2.3145E-29   8.1089E-25
   1.6672   1.6802E-26   3.7360E-25   2.3337E-29   8.0512E-25
   1.6748   1.6941E-26   3.7099E-25   2.3529E-29   7.9940E-25
   1.6824   1.7081E-26   3.6841E-25   2.3721E-29   7.9371E-25
   1.6901   1.7220E-26   3.6584E-25   2.3913E-29   7.8805E-25
   1.6978   1.7359E-26   3.6328E-25   2.4105E-29   7.8244E-25
   1.7056   1.7498E-26   3.6075E-25   2.4296E-29   7.7686E-25
   1.7133   1.7637E-26   3.5823E-25   2.4487E-29   7.7132E-25
   1.7212   1.7776E-26   3.5572E-25   2.4679E-29   7.6581E-25
   1.7290   1.7914E-26   3.5324E-25   2.4870E-29   7.6035E-25
   1.7369   1.8052E-26   3.5077E-25   2.5061E-29   7.5492E-25
   1.7448   1.8190E-26   3.4831E-25   2.5251E-29   7.4952E-25
   1.7528   1.8328E-26   3.4588E-25   2.5442E-29   7.4417E-25
   1.7608   1.8466E-26   3.4346E-25   2.5632E-29   7.3885E-25
   1.7689   1.8603E-26   3.4105E-25   2.5822E-29   7.3357E-25
   1.7769   1.8741E-26   3.3867E-25   2.6012E-29   7.2833E-25
   1.7850   1.8878E-26   3.3631E-25   2.6202E-29   7.2314E-25
   1.7932   1.9015E-26   3.3396E-25   2.6392E-29   7.1798E-25
   1.8014   1.9152E-26   3.3163E-25   2.6582E-29   7.1287E-25
   1.8096   1.9289E-26   3.2932E-25   2.6772E-29   7.0779E-25
   1.8179   1.9426E-26   3.2703E-25   2.6962E-29   7.0275E-25
   1.8262   1.9562E-26   3.2475E-25   2.7151E-29   6.9775E-25
   1.8345   1.9699E-26   3.2249E-25   2.7340E-29   6.9279E-25
   1.8429   1.9835E-26   3.2025E-25   2.7529E-29   6.8787E-25
   1.8513   1.9971E-26   3.1803E-25   2.7718E-29   6.8298E-25
   1.8597   2.0106E-26   3.1582E-25   2.7907E-29   6.7814E-25
   1.8682   2.0241E-26   3.1363E-25   2.8095E-29   6.7332E-25
   1.8767   2.0376E-26   3.1145E-25   2.8284E-29   6.6855E-25
   1.8853   2.0511E-26   3.0930E-25   2.8471E-29   6.6381E-25
   1.8939   2.0646E-26   3.0716E-25   2.8659E-29   6.5911E-25
   1.9026   2.0780E-26   3.0503E-25   2.8847E-29   6.5444E-25
   1.9113   2.0914E-26   3.0292E-25   2.9034E-29   6.4982E-25
   1.9200   2.1048E-26   3.0084E-25   2.9222E-29   6.4523E-25
   1.9287   2.1182E-26   2.9876E-25   2.9409E-29   6.4069E-25
   1.9375   2.1315E-26   2.9671E-25   2.9596E-29   6.3617E-25
   1.9464   2.1448E-26   2.9467E-25   2.9782E-29   6.3169E-25
   1.9553   2.1581E-26   2.9264E-25   2.9968E-29   6.2724E-25
   1.9642   2.1713E-26   2.9063E-25   3.0154E-29   6.2283E-25
   1.9732   2.1845E-26   2.8864E-25   3.0340E-29   6.1845E-25
   1.9822   2.1976E-26   2.8666E-25   3.0525E-29   6.1410E-25
   1.9912   2.2108E-26   2.8469E-25   3.0710E-29   6.0979E-25
   2.0003   2.2238E-26   2.8274E-25   3.0895E-29   6.0551E-25
   2.0094   2.2369E-26   2.8081E-25   3.1079E-29   6.0126E-25
   2.0186   2.2499E-26   2.7889E-25   3.1263E-29   5.9704E-25
   2.0278   2.2629E-26   2.7698E-25   3.1447E-29   5.9286E-25
   2.0371   2.2758E-26   2.7509E-25   3.1630E-29   5.8871E-25
   2.0464   2.2887E-26   2.7321E-25   3.1813E-29   5.8458E-25
   2.0557   2.3015E-26   2.7135E-25   3.1996E-29   5.8049E-25
   2.0651   2.3144E-26   2.6950E-25   3.2178E-29   5.7644E-25
   2.0745   2.3271E-26   2.6767E-25   3.2360E-29   5.7241E-25
   2.0840   2.3399E-26   2.6585E-25   3.2542E-29   5.6841E-25
   2.0935   2.3526E-26   2.6404E-25   3.2723E-29   5.6445E-25
   2.1031   2.3652E-26   2.6225E-25   3.2904E-29   5.6051E-25
   2.1127   2.3778E-26   2.6047E-25   3.3085E-29   5.5660E-25
   2.1223   2.3904E-26   2.5871E-25   3.3265E-29   5.5272E-25
   2.1320   2.4026E-26   2.5693E-25   3.3441E-29   5.4881E-25
   2.1418   2.4148E-26   2.5516E-25   3.3616E-29   5.4492E-25
   2.1515   2.4269E-26   2.5340E-25   3.3791E-29   5.4106E-25
   2.1614   2.4389E-26   2.5165E-25   3.3966E-29   5.3723E-25
   2.1712   2.4509E-26   2.4992E-25   3.4139E-29   5.3342E-25
   2.1811   2.4629E-26   2.4820E-25   3.4312E-29   5.2964E-25
   2.1911   2.4748E-26   2.4649E-25   3.4485E-29   5.2589E-25
   2.2011   2.4866E-26   2.4479E-25   3.4657E-29   5.2216E-25
   2.2111   2.4984E-26   2.4312E-25   3.4830E-29   5.1847E-25
   2.2212   2.5102E-26   2.4145E-25   3.5002E-29   5.1482E-25
   2.2314   2.5220E-26   2.3980E-25   3.5174E-29   5.1118E-25
   2.2416   2.5337E-26   2.3816E-25   3.5345E-29   5.0758E-25
   2.2518   2.5453E-26   2.3654E-25   3.5517E-29   5.0400E-25
   2.2621   2.5569E-26   2.3492E-25   3.5687E-29   5.0045E-25
   2.2724   2.5685E-26   2.3332E-25   3.5858E-29   4.9693E-25
   2.2828   2.5800E-26   2.3173E-25   3.6028E-29   4.9343E-25
   2.2932   2.5915E-26   2.3015E-25   3.6198E-29   4.8996E-25
   2.3037   2.6029E-26   2.2859E-25   3.6368E-29   4.8651E-25
   2.3142   2.6143E-26   2.2704E-25   3.6538E-29   4.8309E-25
   2.3247   2.6257E-26   2.2549E-25   3.6707E-29   4.7969E-25
