#
# Draine & Li IR Dust Emission
# "small" graphitic/PAH grains (a<250A)
#
# lambda - wavelength in microns
# PAHs - PAH IR emission per H column (erg s^-1 H^-1)
# sigPAHs - PAH exinction cross section
# smGra - small graphitic grain IR emission per H column (erg s^-1 H^-1)
# sigGra - small graphitic grain exinction cross section
# 
lambda      PAHs         sigPAHs      smGra        sigGra    
   0.1307   5.8558E-40   2.9735E-22   9.0899E-43   3.9607E-23
   0.1313   7.0707E-40   2.9362E-22   1.0976E-42   3.8712E-23
   0.1319   8.5314E-40   2.9001E-22   1.3243E-42   3.7859E-23
   0.1325   1.0287E-39   2.8652E-22   1.5968E-42   3.7048E-23
   0.1331   1.2394E-39   2.8315E-22   1.9240E-42   3.6280E-23
   0.1337   1.4924E-39   2.7990E-22   2.3166E-42   3.5549E-23
   0.1343   1.7957E-39   2.7676E-22   2.7875E-42   3.4854E-23
   0.1349   2.1593E-39   2.7373E-22   3.3519E-42   3.4195E-23
   0.1355   2.5948E-39   2.7081E-22   4.0278E-42   3.3572E-23
   0.1362   3.1161E-39   2.6800E-22   4.8371E-42   3.2984E-23
   0.1368   3.7398E-39   2.6529E-22   5.8051E-42   3.2430E-23
   0.1374   4.4855E-39   2.6269E-22   6.9626E-42   3.1906E-23
   0.1380   5.3765E-39   2.6020E-22   8.3457E-42   3.1412E-23
   0.1387   6.4406E-39   2.5781E-22   9.9974E-42   3.0946E-23
   0.1393   7.7106E-39   2.5552E-22   1.1969E-41   3.0501E-23
   0.1399   9.2257E-39   2.5332E-22   1.4321E-41   3.0070E-23
   0.1406   1.1032E-38   2.5123E-22   1.7124E-41   2.9661E-23
   0.1412   1.3184E-38   2.4924E-22   2.0466E-41   2.9276E-23
   0.1419   1.5748E-38   2.4735E-22   2.4445E-41   2.8919E-23
   0.1425   1.8800E-38   2.4555E-22   2.9181E-41   2.8587E-23
   0.1432   2.2430E-38   2.4386E-22   3.4817E-41   2.8285E-23
   0.1438   2.6748E-38   2.4226E-22   4.1519E-41   2.8009E-23
   0.1445   3.1879E-38   2.4076E-22   4.9484E-41   2.7757E-23
   0.1451   3.7976E-38   2.3935E-22   5.8947E-41   2.7530E-23
   0.1458   4.5215E-38   2.3805E-22   7.0184E-41   2.7333E-23
   0.1465   5.3807E-38   2.3684E-22   8.3520E-41   2.7176E-23
   0.1471   6.4000E-38   2.3573E-22   9.9342E-41   2.7044E-23
   0.1478   7.6087E-38   2.3471E-22   1.1810E-40   2.6935E-23
   0.1485   9.0413E-38   2.3379E-22   1.4034E-40   2.6847E-23
   0.1491   1.0739E-37   2.3295E-22   1.6668E-40   2.6781E-23
   0.1498   1.2748E-37   2.3221E-22   1.9788E-40   2.6737E-23
   0.1505   1.5128E-37   2.3157E-22   2.3481E-40   2.6712E-23
   0.1512   1.7943E-37   2.3101E-22   2.7851E-40   2.6706E-23
   0.1519   2.1272E-37   2.3054E-22   3.3019E-40   2.6718E-23
   0.1526   2.5208E-37   2.3017E-22   3.9128E-40   2.6748E-23
   0.1533   2.9860E-37   2.2988E-22   4.6349E-40   2.6795E-23
   0.1540   3.5356E-37   2.2969E-22   5.4878E-40   2.6859E-23
   0.1547   4.1845E-37   2.2959E-22   6.4950E-40   2.6940E-23
   0.1554   4.9504E-37   2.2958E-22   7.6839E-40   2.7033E-23
   0.1561   5.8543E-37   2.2967E-22   9.0868E-40   2.7139E-23
   0.1568   6.9204E-37   2.2984E-22   1.0742E-39   2.7263E-23
   0.1575   8.1775E-37   2.3011E-22   1.2693E-39   2.7402E-23
   0.1582   9.6593E-37   2.3048E-22   1.4993E-39   2.7557E-23
   0.1590   1.1405E-36   2.3094E-22   1.7703E-39   2.7727E-23
   0.1597   1.3462E-36   2.3151E-22   2.0895E-39   2.7912E-23
   0.1604   1.5884E-36   2.3217E-22   2.4654E-39   2.8116E-23
   0.1612   1.8735E-36   2.3294E-22   2.9079E-39   2.8342E-23
   0.1619   2.2090E-36   2.3381E-22   3.4286E-39   2.8585E-23
