#
# Draine & Li IR Dust Emission
# "big" silicate grains (a>250A)
#
# lambda - wavelength in microns
# lamIlamH - IR emission per H column (erg s^-1 H^-1)
# sigExt - exinction cross section 
# 
lambda       lamIlamH       sigExt
   0.1726    1.00000E-90    7.40922E-22
   0.1733    1.00000E-90    7.39469E-22
   0.1741    1.00000E-90    7.37976E-22
   0.1749    1.00000E-90    7.36444E-22
   0.1757    1.00000E-90    7.34875E-22
   0.1765    1.00000E-90    7.33270E-22
   0.1773    1.00000E-90    7.31629E-22
   0.1781    1.00000E-90    7.29953E-22
   0.1790    1.00000E-90    7.28244E-22
   0.1798    1.00000E-90    7.26502E-22
   0.1806    1.00000E-90    7.24728E-22
   0.1814    1.00000E-90    7.22927E-22
   0.1822    1.00000E-90    7.21101E-22
   0.1831    1.00000E-90    7.19254E-22
   0.1839    1.00000E-90    7.17384E-22
   0.1848    1.00000E-90    7.15492E-22
   0.1856    1.00000E-90    7.13580E-22
   0.1864    1.00000E-90    7.11649E-22
   0.1873    1.00000E-90    7.09700E-22
   0.1881    1.00000E-90    7.07735E-22
   0.1890    1.00000E-90    7.05749E-22
   0.1899    1.00000E-90    7.03745E-22
   0.1907    1.00000E-90    7.01761E-22
   0.1916    1.00000E-90    6.99776E-22
   0.1925    1.00000E-90    6.97778E-22
   0.1934    1.00000E-90    6.95762E-22
   0.1942    1.00000E-90    6.93737E-22
   0.1951    1.00000E-90    6.91717E-22
   0.1960    1.00000E-90    6.89695E-22
   0.1969    1.00000E-90    6.87651E-22
   0.1978    1.00000E-90    6.85578E-22
   0.1987    1.00000E-90    6.83505E-22
   0.1996    1.00000E-90    6.81452E-22
   0.2005    1.00000E-90    6.79398E-22
   0.2015    1.00000E-90    6.77301E-22
   0.2024    1.00000E-90    6.75160E-22
   0.2033    1.00000E-90    6.73032E-22
   0.2042    1.00000E-90    6.70946E-22
   0.2052    1.00000E-90    6.68857E-22
   0.2061    1.00000E-90    6.66698E-22
   0.2070    1.00000E-90    6.64478E-22
   0.2080    1.00000E-90    6.62287E-22
   0.2089    1.00000E-90    6.60167E-22
   0.2099    1.00000E-90    6.58039E-22
   0.2108    1.00000E-90    6.55829E-22
   0.2118    1.00000E-90    6.53544E-22
   0.2128    1.00000E-90    6.51304E-22
   0.2137    1.00000E-90    6.49166E-22
   0.2147    1.00000E-90    6.47004E-22
   0.2157    1.00000E-90    6.44716E-22
   0.2167    1.00000E-90    6.42326E-22
   0.2177    1.00000E-90    6.39984E-22
   0.2187    1.00000E-90    6.37779E-22
   0.2197    1.00000E-90    6.35583E-22
   0.2207    1.00000E-90    6.33277E-22
   0.2217    1.00000E-90    6.30881E-22
   0.2227    1.00000E-90    6.28535E-22
   0.2237    1.00000E-90    6.26333E-22
   0.2247    1.00000E-90    6.24184E-22
   0.2257    1.00000E-90    6.21970E-22
   0.2268    1.00000E-90    6.19694E-22
   0.2278    1.00000E-90    6.17452E-22
   0.2289    1.00000E-90    6.15331E-22
   0.2299    1.00000E-90    6.13291E-22
   0.2309    1.00000E-90    6.11215E-22
   0.2320    1.00000E-90    6.09072E-22
   0.2331    1.00000E-90    6.06922E-22
   0.2341    1.00000E-90    6.04854E-22
   0.2352    1.00000E-90    6.02880E-22
   0.2363    1.00000E-90    6.00926E-22
   0.2373    1.00000E-90    5.98928E-22
   0.2384    1.00000E-90    5.96901E-22
   0.2395    1.00000E-90    5.94925E-22
   0.2406    1.00000E-90    5.93020E-22
   0.2417    1.00000E-90    5.91163E-22
   0.2428    1.00000E-90    5.89291E-22
   0.2439    1.00000E-90    5.87377E-22
   0.2450    1.00000E-90    5.85454E-22
   0.2462    1.00000E-90    5.83581E-22
   0.2473    1.00000E-90    5.81775E-22
   0.2484    1.00000E-90    5.79998E-22
   0.2495    1.00000E-90    5.78197E-22
   0.2507    1.00000E-90    5.76367E-22
   0.2518    1.00000E-90    5.74550E-22
   0.2530    1.00000E-90    5.72788E-22
   0.2541    1.00000E-90    5.71079E-22
   0.2553    1.00000E-90    5.69383E-22
   0.2565    1.00000E-90    5.67664E-22
   0.2576    1.00000E-90    5.65929E-22
   0.2588    1.00000E-90    5.64218E-22
   0.2600    1.00000E-90    5.62557E-22
   0.2612    1.00000E-90    5.60938E-22
   0.2624    1.00000E-90    5.59322E-22
   0.2636    1.00000E-90    5.57687E-22
   0.2648    1.00000E-90    5.56046E-22
   0.2660    1.00000E-90    5.54429E-22
   0.2672    1.00000E-90    5.52857E-22
   0.2684    1.00000E-90    5.51317E-22
   0.2696    1.00000E-90    5.49777E-22
   0.2709    1.00000E-90    5.48220E-22
   0.2721    1.00000E-90    5.46661E-22
   0.2733    1.00000E-90    5.45124E-22
   0.2746    1.00000E-90    5.43625E-22
   0.2758    1.00000E-90    5.42151E-22
   0.2771    1.00000E-90    5.40675E-22
   0.2784    1.00000E-90    5.39187E-22
   0.2796    1.00000E-90    5.37695E-22
   0.2809    1.00000E-90    5.36221E-22
   0.2822    1.00000E-90    5.34776E-22
   0.2835    1.00000E-90    5.33351E-22
   0.2848    1.00000E-90    5.31925E-22
