READ SERR 1 2
@0761100301/analysis/pnspec_err.pco
!
0.332783997 2.61998177E-3 -0.926619828 1
0.338023007 2.61901319E-3 0.590995431 1
0.3432585 2.61649489E-3 -0.799962282 1
0.34849 2.61500478E-3 0.125913426 1
0.353717983 2.61299312E-3 0.50094986 1
0.358942509 2.61150301E-3 0.722284853 1
0.364163518 2.60950625E-3 0.874790251 1
0.369380504 2.60749459E-3 0.327844054 1
0.374593496 2.60549784E-3 1.09058106 1
0.379803002 2.60400772E-3 1.45921254 1
0.385008514 2.60148942E-3 1.07276142 1
0.390209973 2.59999931E-3 0.284760565 1
0.395408005 2.59801745E-3 0.690853655 1
0.40060252 2.59649754E-3 -0.810342968 1
0.405793011 2.59399414E-3 1.15749609 1
0.410979509 2.59248912E-3 0.372339845 1
0.416162014 2.59001553E-3 -0.22393921 1
0.421340495 2.58848071E-3 -3.10989674E-2 1
0.42651549 2.58651376E-3 -1.8823967 1
0.431686521 2.5845021E-3 -0.161255479 1
0.436853528 2.58250535E-3 0.972583354 1
0.442016482 2.58047879E-3 0.194869384 1
0.44717598 2.57901847E-3 0.61931324 1
0.452331483 2.57648528E-3 0.472714275 1
0.457482994 2.57501006E-3 2.30003357 1
0.46263051 2.57250667E-3 0.904825807 1
0.467774004 2.57098675E-3 1.48169672 1
0.47291398 2.56900489E-3 -0.902754366 1
0.478049994 2.56700814E-3 0.511589408 1
0.483182013 2.56499648E-3 1.16412818 1
0.488309979 2.56298482E-3 0.320942104 1
0.493433982 2.56100297E-3 1.11505961 1
0.498554498 2.55951285E-3 1.45518112 1
0.50367099 2.55697966E-3 -0.624243855 1
0.50878346 2.55551934E-3 -1.71201873 1
0.513891995 2.55298615E-3 -1.71430981 1
0.518996477 2.55149603E-3 0.434502244 1
0.524097443 2.54949927E-3 -1.32418489 1
0.529194951 2.54800916E-3 -1.63076735 1
0.534288526 2.54550576E-3 -0.50309968 1
0.539377987 2.54398584E-3 -2.03572559 1
0.544463992 2.54201889E-3 -0.678390384 1
0.549546003 2.53999233E-3 -2.62381434 1
0.554623961 2.53799558E-3 -0.496342748 1
0.559698462 2.53650546E-3 -2.12181592 1
0.564769506 2.53450871E-3 -1.16580987 1
0.569836497 2.53251195E-3 1.9659729 1
0.574899554 2.53048539E-3 1.80503166 1
0.579959035 2.52899528E-3 1.52012289 1
0.585014999 2.52699852E-3 2.80145788 1
0.590067506 2.5255084E-3 2.04399157 1
0.595116496 2.52351165E-3 0.344050676 1
0.600161552 2.52148509E-3 0.88058424 1
0.605203032 2.51999497E-3 1.09449327 1
0.610240996 2.51799822E-3 -1.52381337 1
0.615275502 2.5165081E-3 -1.82149768 1
0.620307028 2.51501799E-3 1.07614994 1
0.625334501 2.51245499E-3 0.15375644 1
0.630358458 2.51153111E-3 -1.07419395 1
0.635379493 2.50947475E-3 -1.49137592 1
0.640396476 2.5075078E-3 -1.03470242 1
0.645410478 2.50649452E-3 3.49976718E-2 1
0.6504215 2.50452757E-3 -0.893413901 1
0.655428529 2.50250101E-3 0.173298568 1
0.660432518 2.50148773E-3 -0.416541636 1
0.665433526 2.49949098E-3 0.37912482 1
0.670431018 2.49800086E-3 -0.988842249 1
0.675425529 2.49651074E-3 0.165838435 1
0.680416524 2.49451399E-3 -9.89869013E-2 1
0.685404539 2.49350071E-3 -0.729701757 1
0.690389514 2.49147415E-3 1.1331476 1
0.695371032 2.49001384E-3 0.336704731 1
0.700350046 2.48900056E-3 0.295565844 1
0.705325961 2.486974E-3 -0.14678666 1
0.710298479 2.48551369E-3 0.328412265 1
0.715268493 2.48450041E-3 -0.100430623 1
0.722717047 4.96402383E-3 -0.307819992 1
0.730161011 2.47997046E-3 1.83401442 1
0.737596512 4.95550036E-3 -3.09136581 1
0.747501969 4.95001674E-3 -5.80709018E-2 1
0.757396996 4.94498014E-3 0.254117429 1
0.767281532 4.93952632E-3 0.418853343 1
0.777155519 4.93448973E-3 -4.4684574E-2 1
0.787019491 4.92948294E-3 0.812384963 1
0.796873987 4.92501259E-3 1.23313725 1
0.806719542 4.92051244E-3 -2.23243737 1
0.8165555 4.91550565E-3 0.677202404 1
0.826382518 4.91148233E-3 -1.5849067 1
0.836201549 4.90751863E-3 -0.256978452 1
0.846011996 4.90295887E-3 0.1374951 1
0.855814457 4.8995316E-3 1.40714478 1
0.865609527 4.89547849E-3 -0.662895381 1
0.875396967 4.89202142E-3 1.03345394 1
0.885177493 4.88847494E-3 -0.853110731 1
0.897392511 7.32651353E-3 -1.86718035 1
0.912038445 7.31948018E-3 -0.652861357 1
0.926671505 7.31351972E-3 -0.938297451 1
0.941291988 7.30699301E-3 1.40937936 1
0.95590049 7.30150938E-3 1.15190375 1
0.970498502 7.29650259E-3 1.85552919 1
0.989947498 1.2152493E-2 -2.99233556 1
1.01424003 1.21400356E-2 -1.94938207 1
1.03851008 1.21299624E-2 -0.185011908 1
1.062765 1.21250153E-2 0.248251393 1
1.08701003 1.21200085E-2 2.39618111 1
1.11125004 1.21200085E-2 -0.565561533 1
1.13548493 1.21149421E-2 -0.182991132 1
1.15971494 1.21150017E-2 -0.455943257 1
1.18394494 1.21150613E-2 0.236790434 1
1.20818508 1.21250153E-2 -0.428993315 1
1.23243499 1.21249557E-2 -0.285117 1
1.25669003 1.21299624E-2 -8.84794891E-2 1
1.28095496 1.21350288E-2 -1.92805731 1
1.30523491 1.21449828E-2 -1.59013104 1
1.32953501 1.21549964E-2 0.57526654 1
1.35385489 1.216501E-2 1.08868706 1
1.37819505 1.21750236E-2 -0.9371382 1
1.40254998 1.21799707E-2 -1.0956161 1
1.42448497 9.75501537E-3 -0.746566355 1
1.44156003 7.31998682E-3 -1.48822522 1
1.45376492 4.88501787E-3 0.124569364 1
1.46353507 4.88501787E-3 -0.22443752 1
1.47330499 4.88495827E-3 -0.508790135 1
1.48307991 4.89002466E-3 1.42299247 1
1.49286008 4.89002466E-3 1.69479895 1
1.50264502 4.89497185E-3 -0.125024781 1
1.51487994 7.34001398E-3 -0.256498307 1
1.5295701 7.35002756E-3 2.22289586 1
1.54672003 9.79995728E-3 1.35802007 1
1.56878495 1.22650266E-2 -2.00999641 1
1.59332502 1.22749805E-2 -0.7901721 1
1.61789 1.22900009E-2 0.525651872 1
1.64248002 1.23000145E-2 2.54127288 1
1.66708994 1.23099685E-2 0.284386873 1
1.69172502 1.23250484E-2 1.28293085 1
1.71638501 1.23349428E-2 1.21779513 1
1.74106503 1.2345016E-2 0.628693283 1
1.76575994 1.23500228E-2 -1.22449684 1
1.79047501 1.23649836E-2 0.450459629 1
1.81521499 1.23749971E-2 1.82693839 1
1.839975 1.23850107E-2 -1.2249769 1
1.86475003 1.23900175E-2 0.377704918 1
1.88953996 1.23999715E-2 0.891265631 1
1.91435003 1.24099851E-2 1.49213457 1
1.93917489 1.24149919E-2 5.53121567E-2 1
1.96401501 1.24250054E-2 9.70291272E-2 1
1.98886502 1.2425065E-2 0.462947011 1
2.01372504 1.24349594E-2 2.41527867 1
2.03859997 1.24399662E-2 1.07648599 1
2.06348991 1.24499798E-2 1.15412712 1
2.08838987 1.2450099E-2 -0.292462319 1
2.11329508 1.24549866E-2 -0.328458071 1
2.13820982 1.24598742E-2 0.528234601 1
2.16312981 1.24601126E-2 0.408715159 1
2.18806005 1.24700069E-2 -1.36791384 1
2.21300006 1.24700069E-2 0.440583438 1
2.23794508 1.24748945E-2 -1.11530495 1
2.26289511 1.24751329E-2 -0.126193017 1
2.28784513 1.24750137E-2 -0.541468322 1
2.31280518 1.24849081E-2 1.8426981 1
2.33776999 1.24800205E-2 0.395471513 1
2.36273503 1.24850273E-2 0.951249421 1
2.38770485 1.24849081E-2 -1.38105929 1
2.41267991 1.24900341E-2 -1.74311411 1
2.43765998 1.24900341E-2 -0.467072904 1
2.46263981 1.24899149E-2 5.68568241E-3 1
2.48761988 1.24901533E-2 2.78692985 1
2.51260519 1.24949217E-2 0.537489235 1
2.53759503 1.24950409E-2 0.840621173 1
2.56258011 1.24900341E-2 -0.332705587 1
2.58757019 1.24999285E-2 0.502848625 1
2.61256504 1.24950409E-2 -1.6162324 1
2.63755512 1.24950409E-2 0.862017095 1
2.6625452 1.24949217E-2 -1.33750904 1
2.68754005 1.25000477E-2 1.15009284 1
2.7125349 1.24949217E-2 1.39667356 1
2.73752999 1.25000477E-2 -1.43225038 1
2.76252508 1.24950409E-2 0.568065107 1
2.78751993 1.24999285E-2 -0.241661906 1
2.81252003 1.25000477E-2 0.883399367 1
2.83751488 1.24949217E-2 1.0355072 1
2.86250997 1.25000477E-2 -9.43497792E-2 1
2.88751006 1.25000477E-2 -0.461079895 1
2.91250992 1.24999285E-2 0.204432145 1
2.93751001 1.25000477E-2 -0.668922722 1
2.96251011 1.24999285E-2 -1.73726344 1
2.98750997 1.25000477E-2 -0.674205124 1
3.01250505 1.24950409E-2 0.564951956 1
3.0374999 1.24999285E-2 -0.517251015 1
3.0625 1.25000477E-2 0.245140001 1
3.0875001 1.24999285E-2 -0.955164015 1
3.11249995 1.25000477E-2 -0.865716755 1
3.13750005 1.25000477E-2 -0.985302508 1
3.1624999 1.24999285E-2 -1.27298677 1
3.1875 1.25000477E-2 0.511164486 1
3.2125001 1.24999285E-2 -0.317478925 1
3.23749995 1.25000477E-2 1.22262275 1
3.26250005 1.25000477E-2 0.253018469 1
3.2874999 1.24999285E-2 1.13093185 1
3.3125 1.25000477E-2 1.15521181 1
3.3375001 1.24999285E-2 -0.375018388 1
3.36249995 1.25000477E-2 1.0668273 1
3.38750005 1.25000477E-2 0.477041781 1
3.4124999 1.24999285E-2 1.46470356 1
3.4375 1.25000477E-2 0.121019349 1
3.4625001 1.24999285E-2 0.265573978 1
3.48749995 1.25000477E-2 0.800835848 1
3.51250005 1.25000477E-2 -1.93782973 1
3.5374999 1.24999285E-2 -1.68659282 1
3.5625 1.25000477E-2 -0.450523317 1
3.5875001 1.24999285E-2 -0.980699122 1
3.61249995 1.25000477E-2 0.465422183 1
3.63750005 1.25000477E-2 -1.47897124 1
3.6624999 1.24999285E-2 -0.816065609 1
3.6875 1.25000477E-2 0.323064029 1
3.7125001 1.24999285E-2 0.793840468 1
3.73749995 1.25000477E-2 0.458386958 1
3.76250005 1.25000477E-2 1.39477563 1
3.7874999 1.24999285E-2 -0.137195259 1
3.8125 1.25000477E-2 1.06754613 1
3.8375001 1.24999285E-2 -0.135780454 1
3.86249995 1.25000477E-2 1.03536701 1
3.88750005 1.25000477E-2 7.73202404E-2 1
3.9124999 1.24999285E-2 1.49907243 1
3.9375 1.25000477E-2 -1.22636318 1
3.9625001 1.24999285E-2 -0.238347381 1
3.98749995 1.25000477E-2 0.460729927 1
4.01249981 1.25000477E-2 1.8998574 1
4.03750038 1.25000477E-2 0.744614124 1
4.0625 1.24998093E-2 6.38398752E-2 1
4.08749962 1.25000477E-2 -2.05123162 1
4.11250019 1.25000477E-2 -0.336846948 1
4.13749981 1.25000477E-2 0.312988073 1
4.16250038 1.25000477E-2 -2.66813016 1
4.1875 1.24998093E-2 1.14523351 1
4.21249962 1.25000477E-2 -0.184513792 1
4.23750019 1.25000477E-2 -0.465678483 1
4.26249981 1.25000477E-2 -0.126674369 1
4.28750038 1.25000477E-2 -0.896660447 1
4.3125 1.24998093E-2 -1.5009855 1
4.33749962 1.25000477E-2 -1.09050749E-3 1
4.36250019 1.25000477E-2 1.73421693 1
4.38749981 1.25000477E-2 -0.468365937 1
4.41250038 1.25000477E-2 -1.43402112 1
4.4375 1.24998093E-2 0.226362944 1
4.46249962 1.25000477E-2 0.813650191 1
4.48750019 1.25000477E-2 -0.489009678 1
4.51249981 1.25000477E-2 0.422440767 1
4.53750038 1.25000477E-2 -0.888132095 1
4.5625 1.24998093E-2 -1.4707762 1
4.58749962 1.25000477E-2 1.26565814 1
4.61250019 1.25000477E-2 0.46860218 1
4.63749981 1.25000477E-2 0.532367587 1
4.66250038 1.25000477E-2 0.258545816 1
4.6875 1.24998093E-2 -0.530188859 1
4.71249962 1.25000477E-2 -1.24858642 1
4.73750019 1.25000477E-2 -0.976165056 1
4.76249981 1.25000477E-2 -0.203537837 1
4.78750038 1.25000477E-2 -1.33934867 1
4.8125 1.24998093E-2 1.56596279 1
4.83749962 1.25000477E-2 1.2188642 1
4.86250019 1.25000477E-2 -1.28717947 1
4.88749981 1.25000477E-2 -1.91582358 1
4.91250038 1.25000477E-2 -0.506511092 1
4.9375 1.24998093E-2 -0.139307469 1
4.96500015 1.50001049E-2 0.160351098 1
4.99250031 1.25000477E-2 1.02864134 1
5.01749992 1.25000477E-2 -4.65364344E-2 1
5.04250002 1.24998093E-2 1.46416831 1
5.06750011 1.25000477E-2 -0.568222344 1
5.09249973 1.25000477E-2 0.309308916 1
5.11750031 1.25000477E-2 -0.748244822 1
5.14249992 1.25000477E-2 -0.415150434 1
5.16750002 1.24998093E-2 1.13403356 1
5.19250011 1.25000477E-2 -0.6564973 1
5.21749973 1.25000477E-2 0.346695274 1
5.24250031 1.25000477E-2 1.94615591 1
5.26749992 1.25000477E-2 -0.381951571 1
5.29250002 1.24998093E-2 -1.21489465 1
5.31750011 1.25000477E-2 5.48055843E-2 1
5.34249973 1.25000477E-2 1.82236135 1
5.36750031 1.25000477E-2 0.668125868 1
5.39249992 1.25000477E-2 0.272448987 1
5.41750002 1.24998093E-2 3.06394386 1
5.44250011 1.25000477E-2 2.38679171 1
5.46749973 1.25000477E-2 -0.352353126 1
5.49250031 1.25000477E-2 1.65992701 1
5.51749992 1.25000477E-2 -0.416021973 1
5.54250002 1.24998093E-2 9.24226362E-3 1
5.56750011 1.25000477E-2 2.63114333 1
5.59249973 1.25000477E-2 0.197234079 1
5.61750031 1.25000477E-2 0.870351255 1
5.64249992 1.25000477E-2 -0.337917 1
5.66750002 1.24998093E-2 2.64485526 1
5.69250011 1.25000477E-2 0.300827563 1
5.71749973 1.25000477E-2 -6.10420257E-2 1
5.74250031 1.25000477E-2 0.15518336 1
5.76749992 1.25000477E-2 -0.306827217 1
5.79250002 1.24998093E-2 -0.877337992 1
5.81750011 1.25000477E-2 1.63833773 1
5.84249973 1.25000477E-2 0.184379473 1
5.86750031 1.25000477E-2 0.589500129 1
5.89249992 1.25000477E-2 -0.749511421 1
5.91750002 1.24998093E-2 -1.42823339 1
5.94250011 1.25000477E-2 -1.12948036 1
5.96749973 1.25000477E-2 -1.51757026 1
5.99250031 1.25000477E-2 -1.65032828 1
6.01749992 1.25000477E-2 0.976563156 1
6.04250002 1.24998093E-2 -0.378818125 1
6.06750011 1.25000477E-2 -0.680000305 1
6.09249973 1.25000477E-2 -1.63852715 1
6.11750031 1.25000477E-2 0.284038484 1
6.14249992 1.25000477E-2 -0.285082698 1
6.16750002 1.24998093E-2 -6.99973628E-2 1
6.19250011 1.25000477E-2 -0.385988444 1
6.21749973 1.25000477E-2 1.48884165 1
6.24250031 1.25000477E-2 2.23464084 1
6.26749992 1.25000477E-2 -0.147338629 1
6.29250002 1.24998093E-2 7.98851922E-2 1
6.31750011 1.25000477E-2 0.325143695 1
6.34249973 1.25000477E-2 0.336701632 1
6.36750031 1.25000477E-2 -0.864266813 1
6.39249992 1.25000477E-2 -0.311791062 1
6.41750002 1.24998093E-2 -1.26355267 1
6.44250011 1.25000477E-2 -1.37009466 1
6.47000027 1.50001049E-2 -1.93594217 1
6.49750042 1.25000477E-2 0.298480839 1
6.52250004 1.24998093E-2 -0.412493259 1
6.54749966 1.25000477E-2 0.751525998 1
6.57250023 1.25000477E-2 2.76636147 1
6.59749985 1.25000477E-2 1.70209074 1
6.625 1.49998665E-2 -0.841733396 1
6.65250015 1.25000477E-2 -1.06111288 1
6.67749977 1.25000477E-2 0.335694492 1
6.70250034 1.25000477E-2 1.86715376 1
6.72749996 1.24998093E-2 0.437462062 1
6.75249958 1.25000477E-2 -0.182847932 1
6.77750015 1.25000477E-2 -0.549357653 1
6.80500031 1.50001049E-2 -0.499215841 1
6.83249998 1.24998093E-2 1.45349038 1
6.85750008 1.25000477E-2 -5.575471E-2 1
6.88249969 1.25000477E-2 6.0928978E-2 1
6.90750027 1.25000477E-2 -1.10704696 1
6.93249989 1.25000477E-2 -1.473804 1
6.95749998 1.24998093E-2 1.6634872 1
6.98250008 1.25000477E-2 0.229781792 1
