#
# Milky Way XMM-Newton RGS1 CGM X-ray Absorption Spectrum
# Background source: Blazar 1ES1553+113
#
# Source: Das et al. 2019, ApJL, 882, L23
#
# wavelength: wavelength in Angstroms
# err_wavelength: wavelength error in Angstroms
# flux: X-ray flux in Jansky
# err_flux: error on flux in Jansky
# model: best-fit model
# continuum: bset-fit continuum
#
wavelength                      err_wavelength                  flux                            err_flux                        model                           model_t6                        model_t7                        continuum
8.020000460000000331e+00	1.999999209999999902e-02	1.714649100000000088e-06	6.212570010000000192e-08	1.722723029999999937e-06	1.724705270000000037e-06	1.724760179999999959e-06	1.726744810000000047e-06
8.060000419999999721e+00	2.000011689999999995e-02	1.741893700000000017e-06	6.240023249999999925e-08	1.737322460000000025e-06	1.738723090000000086e-06	1.739167939999999967e-06	1.740570040000000067e-06
8.095000269999999887e+00	1.499963370000000074e-02	1.864802809999999945e-06	7.422691079999999824e-08	1.749176700000000096e-06	1.751081069999999998e-06	1.751050040000000092e-06	1.752956449999999982e-06
8.125000000000000000e+00	1.500057519999999957e-02	1.909559159999999978e-06	7.369409620000000552e-08	1.760187960000000052e-06	1.761617230000000031e-06	1.762092099999999966e-06	1.763522959999999995e-06
8.160000800000000609e+00	1.999979840000000106e-02	1.705812109999999924e-06	6.188961520000000338e-08	1.772301859999999926e-06	1.773757840000000022e-06	1.774241469999999970e-06	1.775699049999999941e-06
8.200000760000000000e+00	2.000014300000000148e-02	1.779223000000000050e-06	6.206694540000000163e-08	1.786006239999999903e-06	1.787500199999999917e-06	1.788257349999999969e-06	1.789753239999999996e-06
8.240000719999999390e+00	2.000022489999999861e-02	1.833396819999999998e-06	6.423687889999999755e-08	1.800119549999999905e-06	1.802026419999999981e-06	1.802142150000000086e-06	1.804051179999999950e-06
8.275000569999999556e+00	1.499960479999999999e-02	1.850094349999999916e-06	7.400078770000000217e-08	1.811794389999999937e-06	1.814251619999999984e-06	1.813853489999999961e-06	1.816313439999999922e-06
8.310000419999999721e+00	2.000020070000000164e-02	1.817156200000000086e-06	6.333174699999999637e-08	1.823809039999999983e-06	1.826501720000000102e-06	1.825905429999999962e-06	1.828601059999999983e-06
8.350000380000000888e+00	1.999980579999999925e-02	1.775351620000000026e-06	6.318195030000000524e-08	1.839220770000000068e-06	1.840923350000000025e-06	1.841362630000000030e-06	1.843067140000000001e-06
8.385000229999999277e+00	1.499982740000000044e-02	1.871876859999999942e-06	7.434105949999999458e-08	1.851345469999999943e-06	1.853210960000000051e-06	1.853525989999999961e-06	1.855393630000000032e-06
8.415000920000000662e+00	1.500046070000000085e-02	1.863914459999999998e-06	7.230480750000000111e-08	1.813514930000000034e-06	1.863757570000000087e-06	1.815671570000000036e-06	1.865973899999999985e-06
8.445000650000000775e+00	1.499960759999999921e-02	2.003168899999999990e-06	7.567923180000000332e-08	1.871417679999999960e-06	1.874469260000000097e-06	1.873664590000000038e-06	1.876719810000000038e-06
8.475000380000000888e+00	1.500001360000000061e-02	1.849536720000000043e-06	7.361691699999999343e-08	1.882839679999999942e-06	1.885284749999999924e-06	1.885122169999999913e-06	1.887570080000000033e-06
8.505000109999999225e+00	1.500033589999999993e-02	1.956731009999999878e-06	7.632445430000000657e-08	1.894094569999999996e-06	1.895862620000000065e-06	1.896412530000000097e-06	1.898182749999999991e-06
8.535000800000000609e+00	1.499988420000000072e-02	1.947915730000000116e-06	7.686215750000000585e-08	1.904674719999999938e-06	1.906451760000000007e-06	1.907027689999999982e-06	1.908807010000000064e-06
8.565000530000000722e+00	1.499971559999999961e-02	2.072906230000000034e-06	7.675299679999999811e-08	1.914185759999999830e-06	1.917236200000000067e-06	1.916572960000000165e-06	1.919627269999999829e-06
8.595000269999999887e+00	1.499985250000000075e-02	1.921515599999999991e-06	7.566741540000000192e-08	1.926267939999999836e-06	1.928100119999999813e-06	1.928693110000000053e-06	1.930527790000000205e-06
8.625000000000000000e+00	1.500031999999999928e-02	1.998666679999999858e-06	7.750648480000000167e-08	1.936894479999999921e-06	1.938743939999999901e-06	1.939356029999999968e-06	1.941207979999999875e-06
8.655000689999999608e+00	1.500005830000000068e-02	1.993537580000000005e-06	7.630477940000000646e-08	1.947524649999999833e-06	1.949400939999999941e-06	1.950023029999999861e-06	1.951901600000000194e-06
8.685000419999999721e+00	1.499979010000000029e-02	2.074011260000000151e-06	7.689736489999999584e-08	1.958317850000000117e-06	1.960260529999999863e-06	1.960853749999999878e-06	1.962798929999999798e-06
8.715000149999999834e+00	1.499989720000000082e-02	2.033539890000000167e-06	7.721119739999999575e-08	1.966752049999999872e-06	1.971168329999999965e-06	1.969322970000000035e-06	1.973744929999999981e-06
8.744999890000000775e+00	1.500040390000000057e-02	2.009429860000000089e-06	7.778191959999999549e-08	1.979337640000000003e-06	1.981866939999999962e-06	1.981948800000000024e-06	1.984481509999999859e-06
8.775000569999999556e+00	1.499985159999999915e-02	2.031188159999999962e-06	7.620001700000000284e-08	1.990210420000000126e-06	1.992581250000000159e-06	1.992860460000000152e-06	1.995234240000000087e-06
8.805000310000000496e+00	1.499972119999999978e-02	2.065946770000000030e-06	7.776272779999999552e-08	2.000974970000000033e-06	2.003513829999999942e-06	2.003663890000000065e-06	2.006206390000000050e-06
8.835000040000000610e+00	1.500041499999999958e-02	2.083251499999999853e-06	8.205088880000000226e-08	2.011535340000000008e-06	2.014468010000000152e-06	2.014263600000000021e-06	2.017200130000000191e-06
